code,pick_count,mean_true,positive_rate,mean_log_amount,mean_avg_amount_20,mean_turnover_rate,mean_avg_turnover_20,mean_amplitude,mean_avg_amplitude_20,mean_ret_20,mean_ret_60,mean_vol_20,mean_vol_60,mean_market_cc_mean,mean_market_amount_top10_share
SH600200,43,-0.023478008697674423,0.3023255813953488,17.618791830517704,43907856.41627907,7.555116279069767,5.796267441860465,11.94906976744186,8.981593023255813,-0.24636244661646337,-0.7075969541965857,0.07696084820052512,0.06828465286931851,0.0013582532487670287,0.7675320589210499
SH600076,16,0.0038329984999999995,0.5625,18.225282533118083,66964318.08125,4.35625,2.1204375,14.3025,10.490125,0.04703087130508921,-0.07858392974219261,0.07482595713364779,0.07465233730641514,0.004003326873341369,0.7483615175659895
SH600136,14,-0.017226745642857144,0.42857142857142855,16.788483554233345,22864495.95,0.6285714285714287,0.54625,9.873571428571427,8.3155,-0.25438798106239935,-0.03830287149364041,0.06346697567811535,0.05563902139891944,-0.0034470495730237346,0.7240236971746233
SH600744,8,-0.010722916749999999,0.375,21.715876298270263,822073067.9375,20.5325,7.3309999999999995,17.53625,9.7726875,1.337096855159602,2.4851456480688596,0.0946667888308688,0.08556953511329023,0.004956732543603457,0.7059752402863053
SZ000856,6,-0.02193865066666667,0.3333333333333333,20.852848878817998,428966017.04616666,39.31,16.80575,15.836666666666666,9.517000000000001,1.0704721936177555,0.8080262284765486,0.06923352972289089,0.05206863008415032,0.002637186870563049,0.7615213284398971
SH600610,5,-0.0026247971999999982,0.6,20.580967841751768,452433097.31000006,13.178,9.632299999999999,8.158,7.9998000000000005,1.4834030126040005,1.2145053076327208,0.049638021164824735,0.042937095707000175,-0.00469743663168447,0.6878775499640403
SZ000565,5,0.0383804903,0.8,21.06323588321774,420247839.252,32.65,11.0944,13.888,7.2021,1.1377017502493516,0.9842821078004294,0.051714389502057236,0.0399911248935423,0.0037979953746081667,0.7008952271300528
SZ002969,4,0.06657760525,0.75,17.412852349011185,130071451.22825,0.48,3.211125,0.0,2.878125,1.4061996764755567,1.5241587516654687,0.048532669954851025,0.03617873927488702,0.00048026197568208553,0.7683972313135579
SH600110,3,0.05223216,0.6666666666666666,21.892666592337232,656969996.75,29.396666666666665,7.488666666666667,13.303333333333335,6.262666666666668,0.9765817522148975,0.6672816304465524,0.05560951699815727,0.04442845010841393,0.006316977817552682,0.7183822142043415
SH600117,3,0.09496284866666667,0.6666666666666666,20.489961119143874,289307355.6166667,8.469999999999999,2.505,9.986666666666666,5.152666666666667,0.8470317948706457,1.0149042785573856,0.055878141498120114,0.03696514492117819,0.0008342068582701453,0.7263757976620319
SH603316,3,-0.028979478333333333,0.3333333333333333,20.765636838880493,164902235.96666667,34.70666666666667,6.800666666666667,13.066666666666668,4.900666666666667,0.6432172158005506,1.0496455474694466,0.049711445568901134,0.03771534155715497,-0.0008003941281399448,0.7009962528272765
SH603778,3,-0.02293169166666667,0.0,21.441696676444632,901866310.6166667,30.096666666666664,19.051833333333335,11.046666666666667,8.07,1.3385316337917639,1.9627261106658505,0.062379955688099765,0.04862586458484424,0.004795900715549457,0.7508914815742541
SZ000592,3,0.021689424300000006,0.3333333333333333,22.5093542982887,1469088025.4415,39.629999999999995,14.284833333333333,10.576666666666666,6.120833333333334,1.4394956587381855,1.8793762283143576,0.06570126366405467,0.04989341702790149,0.0010139892627164932,0.7693771105319874
SZ000609,3,0.017802320866666665,0.6666666666666666,18.873422010148865,60335178.521166675,14.579999999999998,2.325333333333333,5.329999999999999,0.9994999999999999,1.5391850763500576,2.6818370799199656,0.009879120700004391,0.034722002762962674,-0.013977927960016063,0.7408982282513179
SZ000889,3,-0.002489685666666667,0.6666666666666666,19.358207601366235,86307724.40766667,13.163333333333332,3.1445000000000003,9.913333333333332,5.738333333333333,0.7441374567328415,0.8992387262850169,0.08340412709877083,0.06360708429633381,0.0018475244418644976,0.6773532139519953
SZ002105,3,-0.047414766,0.0,21.084029244312635,276090211.0035,35.29,8.784333333333334,13.43,5.886333333333333,0.917494301327826,0.7660235619109996,0.04732543560418153,0.03982055137572755,0.0079011062530433,0.7195520052513982
SZ002451,3,0.050694030333333334,1.0,21.364362483818553,289946025.5455,35.63,6.489333333333332,10.986666666666666,3.1536666666666666,0.8141670618545849,0.6953067744728254,0.04624852986323871,0.032350557146191394,0.002216457364803461,0.7502882630322919
SH600448,2,0.13615365000000001,1.0,20.610244209757525,186012856.425,36.35,8.7285,9.1,5.01825,0.5713535685508175,0.41138716356107663,0.05002984133838663,0.03687194461180339,0.0037559641732338453,0.6997518397660067
SH600749,2,-0.0817970505,0.0,20.304815799243677,211454424.22500002,17.03,4.9955,8.915000000000001,2.4007500000000004,1.2784576994428611,1.3989751195870517,0.05068445693802073,0.035947160113483194,-5.317374726940922e-05,0.7390915680360602
SH603177,2,-0.13353941,0.0,20.19342730250232,84393295.975,24.69,3.9659999999999997,18.715,4.35275,0.37433650416171227,0.48459454359381215,0.05183044174897673,0.03389659062432946,-0.005018959557676532,0.7627358664447957
