month,top1_mean,top3_mean,top5_mean,hit20,regret,max_prob
2025-01,-0.007052477277777776,-0.02207540959814815,-0.02077089034777778,0.16666666666666666,0.2303501600555556,0.0003666916670634522
2025-02,-0.015888725333333336,-0.020992475666666666,-0.02575541190888889,0.0,0.24589478866666667,0.00036873172790282945
2025-03,-0.014404846095238096,-0.024828114603174606,-0.01740988258857143,0.14285714285714285,0.23306372514285711,0.0003663267874247933
2025-04,-0.032207112761904765,-0.009105304484126983,-0.0049461266399999995,0.047619047619047616,0.2586563260952381,0.00036708048329302305
2025-05,-0.011519244236842108,-0.003101554471929826,-0.003256873711578948,0.21052631578947367,0.22943363792105262,0.00036530735303782564
2025-06,-0.016922469752,-0.015826689789000002,-0.007794259029400003,0.05,0.220484992752,0.00036439475616760556
2025-07,-0.0018950083043478253,-0.006455329972463767,-0.013760455150434782,0.13043478260869565,0.212496157,0.00036414755051231704
2025-08,-0.02626915871428571,-0.012863851798412698,-0.005282602907619046,0.09523809523809523,0.23394083204761906,0.0003679540065499742
2025-09,-0.026420221681818182,-0.009219862675757577,-0.011506293744545456,0.13636363636363635,0.23209043213636366,0.000364023780991376
2025-10,-0.017484193294117645,0.0007121743921568622,-0.00814614028235294,0.058823529411764705,0.2151589885882353,0.0003650545930380301
2025-11,-0.010138372825000002,-0.004422886209999998,-0.012960791321999999,0.1,0.22626284182499998,0.0003640780476930318
2025-12,-0.0020954314090909083,0.0023450738257575756,0.008224474669999999,0.09090909090909091,0.2236557973181818,0.0003653737911799942
