kind,members,method,fold_year,num_days,mean_return,cumulative_return,sharpe,ic,rank_ic
pair,patchtst+timemixer,mean,2015,243,0.005052188986279652,0.16850801153286565,0.8766659450123228,0.023250279307997324,7.11125666910949e-05
pair,patchtst+timemixer,zscore_mean,2015,243,0.004653215861999816,0.06095667154247897,0.8070249047810741,0.023306860351202552,0.00021543920690005486
pair,patchtst+timemixer,rank_mean,2015,243,0.003615736225794147,-0.15905030834507194,0.6369579348198509,0.022670027122932316,0.00020372568233740452
pair,patchtst+timemixer,zscore_mean,2016,243,0.002204200535478487,0.17241056926474485,0.6226355648280942,-0.0003363276113450489,-0.02803518534534219
pair,patchtst+timemixer,mean,2016,243,0.002199389303791244,0.16889421926845016,0.6198812291928419,-0.000369857586064662,-0.02804921331139723
pair,patchtst+timemixer,rank_mean,2016,243,0.00010380943482902964,-0.29989055872575676,0.029193868103325422,0.000601750179097923,-0.027951742204936965
pair,patchtst+timemixer,rank_mean,2017,243,-0.0018737367358110553,-0.4939988741807967,-0.6877666341000165,-0.013055725131661535,-0.036774853395062125
pair,patchtst+timemixer,mean,2017,243,-0.003540358485312077,-0.6797441100292896,-1.1731143750957505,-0.015125752358321289,-0.03713324319403341
pair,patchtst+timemixer,zscore_mean,2017,243,-0.0035764759075343,-0.6828800066257754,-1.1830796071670433,-0.01506021268956279,-0.03707635308351313
pair,patchtst+timemixer,rank_mean,2018,242,0.006936666309924166,0.30885238790054625,0.9727082531585145,-0.005093095602309553,-0.027756542367744046
pair,patchtst+timemixer,mean,2018,242,0.004692119186302713,-0.2562771664008552,0.6529931720310571,-0.004018413095758757,-0.027962325028586886
pair,patchtst+timemixer,zscore_mean,2018,242,0.004675439492087837,-0.25909388290378976,0.6507211828340821,-0.004028964976644058,-0.02794642282672589
pair,patchtst+timemixer,mean,2019,243,0.028387888018933254,-0.7961599721834504,1.0807701947486634,0.006534729260951033,-0.0289930372021456
pair,patchtst+timemixer,zscore_mean,2019,243,0.028041349389303628,-0.8127720017659731,1.0674983705170518,0.006611991085560779,-0.02896374185539252
pair,patchtst+timemixer,rank_mean,2019,243,0.021249116676919953,-0.9193821022175818,0.836467745208161,0.006919201804601459,-0.028800622789069013
pair,patchtst+timemixer,zscore_mean,2020,242,0.04742681537630289,4.035580799143349,1.0814523092021513,0.0029698182758603935,-0.028102307615144817
pair,patchtst+timemixer,rank_mean,2020,242,0.04722515765476624,4.082027561474549,1.0770297528257384,0.003032330495570186,-0.02770131365656424
pair,patchtst+timemixer,mean,2020,242,0.04621612283911281,2.81773874774535,1.0538971136844226,0.0032834604667745953,-0.02803374099958567
pair,patchtst+timemixer,mean,2021,242,0.015005203653462118,-0.502880042407833,1.2743995619373432,0.0028648754001280694,-0.03677577130349971
pair,patchtst+timemixer,zscore_mean,2021,242,0.014882841062553028,-0.5170076023740311,1.2640610517375912,0.0029243499282474673,-0.03664922202836302
pair,patchtst+timemixer,rank_mean,2021,242,0.014147834604504316,-0.5664440597740021,1.215503791162203,-0.00010364864226296323,-0.03662398285915345
pair,patchtst+timemixer,rank_mean,2022,241,0.00863568468880239,0.5181574309406074,0.8821972773574812,-0.012163247656326077,-0.05099961178335165
pair,patchtst+timemixer,zscore_mean,2022,241,0.007572479366810689,0.19954959760640545,0.7765866611760415,-0.01317925955616192,-0.05110877074465054
pair,patchtst+timemixer,mean,2022,241,0.0067292585161882815,-0.03425197318555395,0.6885095966624761,-0.013136786424549084,-0.05112609757580602
pair,patchtst+timemixer,zscore_mean,2023,241,0.007198154655673512,1.8689739696376328,1.50851478572595,-0.011608181657583878,-0.05726122655419781
pair,patchtst+timemixer,mean,2023,241,0.005730180107995378,1.0149731816148613,1.2000028451674065,-0.011677978411328175,-0.05738352842083499
pair,patchtst+timemixer,rank_mean,2023,241,0.004881263539905877,0.6719577092362103,1.037837798276165,-0.009985522126028724,-0.057272241844073285
pair,patchtst+timemixer,mean,2024,160,0.051931981118835645,0.2686679985562035,1.427002857996937,-0.005409825599766186,-0.05329117336881144
pair,patchtst+timemixer,zscore_mean,2024,160,0.05131201274383566,0.12614423988996615,1.4093959227556274,-0.0054307856117990095,-0.05321689303160491
pair,patchtst+timemixer,rank_mean,2024,160,0.0075135576469606506,-0.7726492252272465,0.6278135927994494,-0.012937158368383888,-0.05322097604966634
pair_aggregate,patchtst+timemixer,zscore_mean,-1,2340,0.015209980553152971,-0.484220980611924,0.7605884574514944,-0.0012232471125390829,-0.034133640219517654
pair_aggregate,patchtst+timemixer,mean,-1,2340,0.014984178949951936,-0.6892915204318286,0.7493504307755923,-0.0012214381388989406,-0.03418613540841885
pair_aggregate,patchtst+timemixer,rank_mean,-1,2340,0.011368700017777096,-0.9600303573656587,0.6423476202946903,-0.0016101368665939074,-0.034004395995593725
selector,patchtst+timemixer,top1_gap_rank,2015,243,0.0049857024101313185,0.18615192267531766,0.8760611375359355,0.0221479160531925,0.0015792525733767655
selector,patchtst+timemixer,top1_gap,2015,243,0.003946554698197162,-0.1011345721837531,0.684696410892676,0.022360581894098563,0.001515940565391747
selector,patchtst+timemixer,top1_gap,2016,243,0.0015829037802521486,0.017603398776147028,0.4521563968883409,-0.0016978610603707754,-0.028753413578805398
selector,patchtst+timemixer,top1_gap_rank,2016,243,-0.0013967568037717936,-0.4899817547835764,-0.42215236963170794,0.001641457787854344,-0.02555722365324602
selector,patchtst+timemixer,top1_gap_rank,2017,243,-0.003694520424284987,-0.662470273794716,-1.4984979835428935,-0.01516335388677605,-0.03575972227405084
selector,patchtst+timemixer,top1_gap,2017,243,-0.004620386162966398,-0.7546475622473574,-1.5214121670180902,-0.014349098772907807,-0.03513995546884203
selector,patchtst+timemixer,top1_gap_rank,2018,242,0.0074686532669489625,0.5038879431262004,1.0512338395815948,-0.004050646172606784,-0.0264226702405611
selector,patchtst+timemixer,top1_gap,2018,242,0.005049310073079574,-0.18330984727283972,0.7048806841601969,-0.0024067344440215697,-0.025621490112885798
selector,patchtst+timemixer,top1_gap,2019,243,0.026643154641940524,-0.9129513295942824,1.0072417045515685,0.008137565472386574,-0.028152722326249453
selector,patchtst+timemixer,top1_gap_rank,2019,243,0.025965267201348553,-0.9222755485662749,0.9825816116928091,0.010566771920364013,-0.024315810814740595
selector,patchtst+timemixer,top1_gap_rank,2020,242,0.049436598540814766,8.539552894453804,1.128848850996745,0.003253044011999356,-0.026017639528275068
selector,patchtst+timemixer,top1_gap,2020,242,0.04609227190525305,2.915238068873381,1.051622567130088,0.0024549137557964146,-0.027004166360722375
selector,patchtst+timemixer,top1_gap,2021,242,0.014362319486901014,-0.5480568487789208,1.2328356675355123,0.0030696897235539177,-0.034787351246446364
selector,patchtst+timemixer,top1_gap_rank,2021,242,0.013371669612139802,-0.6500110300397255,1.145274081830654,0.0042084132786362255,-0.03301180836217445
selector,patchtst+timemixer,top1_gap_rank,2022,241,0.009163403728220523,1.0315711700921852,0.9645589877372142,-0.013413739237306706,-0.048883433118117575
selector,patchtst+timemixer,top1_gap,2022,241,0.005101250178427993,-0.30263190943060436,0.5274769256996176,-0.01358617779218779,-0.05136461549302173
selector,patchtst+timemixer,top1_gap_rank,2023,241,0.0025733237668768318,-0.022186316090998637,0.5586472907420994,-0.010453066597318695,-0.054284444327599615
selector,patchtst+timemixer,top1_gap,2023,241,3.8515180237826826e-05,-0.44459513260148764,0.00865185906851637,-0.011738409860818588,-0.05692482807112624
selector,patchtst+timemixer,top1_gap,2024,160,0.04742932996259517,-0.35522497826218913,1.3043785844658766,-0.004276343149726486,-0.05252785697061385
selector,patchtst+timemixer,top1_gap_rank,2024,160,0.01447097074696065,-0.17011870499846482,1.2465670308831265,-0.005922265088684539,-0.051875271977161595
selector_aggregate,patchtst+timemixer,top1_gap,-1,2340,0.013407910919100053,-0.9929497420621062,0.6707172264987951,-0.0010774690817145387,-0.03318589210640077
selector_aggregate,patchtst+timemixer,top1_gap_rank,-1,2340,0.012151635418213945,-0.8686295444708665,0.6826012354047161,-0.0005171785915534276,-0.031738425675834535
single,patchtst,single,2015,243,0.0049857024101313185,0.18615192267531766,0.8760611375359355,0.0221479160531925,0.0015792525733767655
single,timemixer,single,2015,243,0.004142580230024508,0.009565886288182002,0.7431559619854315,0.021838363805972247,-0.0020067482077473827
single,timemixer,single,2016,243,0.0012380543083913187,-0.09175858280129412,0.34167933259267336,-0.002437969183953089,-0.029538527410621546
single,patchtst,single,2016,243,-0.0013967568037717936,-0.4899817547835764,-0.42215236963170794,0.001641457787854344,-0.02555722365324602
single,patchtst,single,2017,243,-0.003694520424284987,-0.662470273794716,-1.4984979835428935,-0.01516335388677605,-0.03575972227405084
single,timemixer,single,2017,243,-0.006707043997326821,-0.8594145159870042,-2.0561236880703437,-0.013962502320423818,-0.03452199014154827
single,patchtst,single,2018,242,0.0074686532669489625,0.5038879431262004,1.0512338395815948,-0.004050646172606784,-0.0264226702405611
