model,fold_year,seq_len,gpu,status,return_code,des,log_path,metrics_path,num_days,mean_return,cumulative_return,sharpe,ic,rank_ic
iTransformer,2018,20.0,3.0,done,0.0,market_round1_fsA,logs/market_rerun_itransformer_a02/iTransformer_fold2018_sl20.log,test_results/long_term_forecast_market_2018_20_fsA_iTransformer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_round1_fsA_0/market_metrics.txt,242,-0.0019759768620133,-0.7691051959991455,-0.3392061733523126,-0.0035184137367693,-0.0242454861214583
iTransformer,2019,20.0,3.0,done,0.0,market_round1_fsA,logs/market_rerun_itransformer_a02/iTransformer_fold2019_sl20.log,test_results/long_term_forecast_market_2019_20_fsA_iTransformer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_round1_fsA_0/market_metrics.txt,243,0.0008377183112315,-0.8462874293327332,0.1106882351527714,0.0059157459530824,-0.0215313993126201
iTransformer,2020,20.0,3.0,done,0.0,market_round1_fsA,logs/market_rerun_itransformer_a02/iTransformer_fold2020_sl20.log,test_results/long_term_forecast_market_2020_20_fsA_iTransformer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_round1_fsA_0/market_metrics.txt,242,0.0558113418519496,20.214561462402344,1.2607799305009582,0.0077992466784706,-0.0219522909847294
iTransformer,2021,20.0,3.0,done,0.0,market_round1_fsA,logs/market_rerun_itransformer_a02/iTransformer_fold2021_sl20.log,test_results/long_term_forecast_market_2021_20_fsA_iTransformer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_round1_fsA_0/market_metrics.txt,242,0.0125317266210913,-0.5293076038360596,1.150276023687786,0.0045524434853167,-0.0349161693137767
iTransformer,2022,20.0,3.0,done,0.0,market_round1_fsA,logs/market_rerun_itransformer_a02/iTransformer_fold2022_sl20.log,test_results/long_term_forecast_market_2022_20_fsA_iTransformer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_round1_fsA_0/market_metrics.txt,241,0.0030415917281061,0.0325716733932495,0.6244722445298677,-0.0073941592904534,-0.0420354454962398
iTransformer,2023,20.0,3.0,done,0.0,market_round1_fsA,logs/market_rerun_itransformer_a02/iTransformer_fold2023_sl20.log,test_results/long_term_forecast_market_2023_20_fsA_iTransformer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_round1_fsA_0/market_metrics.txt,241,0.0043543158099055,0.2739417552947998,0.8572734580168798,-0.0092648019983117,-0.0513155864036809
iTransformer,2024,20.0,3.0,done,0.0,market_round1_fsA,logs/market_rerun_itransformer_a02/iTransformer_fold2024_sl20.log,test_results/long_term_forecast_market_2024_20_fsA_iTransformer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_round1_fsA_0/market_metrics.txt,160,0.0554313063621521,0.8150712251663208,1.526506289046074,0.0068183011045974,-0.0395783727328603
PatchTST,2015,60.0,2.0,done,0.0,market_round1_fsA,logs/market_rerun_patchtst_base/PatchTST_fold2015_sl60.log,test_results/long_term_forecast_market_2015_60_fsA_PatchTST_market_daily_ftMS_sl60_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_round1_fsA_0/market_metrics.txt,243,0.0049857017584145,0.1861506700515747,0.8760610211293492,0.0221479160723869,0.0015792525733767
PatchTST,2016,60.0,2.0,done,0.0,market_round1_fsA,logs/market_rerun_patchtst_base/PatchTST_fold2016_sl60.log,test_results/long_term_forecast_market_2016_60_fsA_PatchTST_market_daily_ftMS_sl60_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_round1_fsA_0/market_metrics.txt,243,-0.0013967567356303,-0.4899817109107971,-0.4221523628792066,0.0016414577627935,-0.025557223653246
PatchTST,2017,60.0,2.0,done,0.0,market_round1_fsA,logs/market_rerun_patchtst_base/PatchTST_fold2017_sl60.log,test_results/long_term_forecast_market_2017_60_fsA_PatchTST_market_daily_ftMS_sl60_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_round1_fsA_0/market_metrics.txt,243,-0.0036945200990885,-0.6624702215194702,-1.4984978181637116,-0.0151633538734892,-0.0357597222740508
PatchTST,2018,60.0,2.0,done,0.0,market_round1_fsA,logs/market_rerun_patchtst_base/PatchTST_fold2018_sl60.log,test_results/long_term_forecast_market_2018_60_fsA_PatchTST_market_daily_ftMS_sl60_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_round1_fsA_0/market_metrics.txt,242,0.0074686519801616,0.5038881301879883,1.0512336468788608,-0.0040506461696795,-0.0264226702405611
PatchTST,2019,60.0,2.0,done,0.0,market_round1_fsA,logs/market_rerun_patchtst_base/PatchTST_fold2019_sl60.log,test_results/long_term_forecast_market_2019_60_fsA_PatchTST_market_daily_ftMS_sl60_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_round1_fsA_0/market_metrics.txt,243,0.0259652640670537,-0.9222755432128906,0.982581502617708,0.0105667718677262,-0.0243158108147405
