model,num_folds,mean_return_avg,sharpe_avg,pos_years,neg_years
iTransformer,10,0.012731786922085991,0.4178670740366462,8,2
TimeMixer,10,0.012262793777335855,0.25115462164283975,8,2
PatchTST,10,0.012234430818352819,0.603312223931127,8,2
TimesNet,10,0.006595936312805829,0.3854655346070087,8,2
DLinear,10,0.00113185669761148,0.1463480107895686,6,4
