date,n,n_tradable,top1_code,top1_true,top1_pred_gap,best_true_all,best_true_tradable,regret_vs_best_tradable,top3_mean,top5_mean,score_std,score_max_prob,score_entropy,hit_top1_in_true10,hit_top1_in_true20,overlap_pred10_true10,overlap_pred10_true20,overlap_pred20_true10,overlap_pred20_true20,recoverable_by_true20,gap_to_best
2015-01-08,1900,1900,SH600876,-0.21025641,0.01116869999999992,0.13608618,0.13608618,0.34634259,-0.10970274966666667,-0.09017907300000001,0.00647832909251742,0.0005479808878196839,7.5495881389968815,0,0,1,1,1,1,0,0.34634259
2015-09-11,1817,1813,SZ002734,-0.18973607,0.0002359299999999953,0.14770241,0.14770241,0.33743848,-0.16308485133333334,-0.1488947148,0.00737615313636564,0.0005669438953606328,7.504914827789478,0,0,0,1,0,1,0,0.33743848
2015-05-05,1873,1871,SH600858,-0.15874802,0.006843099999999991,0.20375483,0.20375483,0.36250285,0.017938740000000005,-0.0189496612,0.007330351992580623,0.0005565679617605869,7.5352697873907015,0,0,1,3,1,4,0,0.36250285
2015-08-20,1798,1797,SZ002467,-0.15857002,0.0010418899999999898,0.09114419,0.09114419,0.24971421,-0.11034076333333333,-0.1138133688,0.006782718012913384,0.0005699610250575412,7.494407248411491,0,0,0,0,0,0,0,0.24971421
2015-08-21,1796,1794,SH603088,-0.15581524,0.0029169700000000187,0.1261438,0.1261438,0.28195904,-0.12990666666666667,-0.136585132,0.007366047972185912,0.0005691209667875685,7.493290200862961,0,0,0,0,0,0,0,0.28195904
2015-07-06,1723,1706,SZ002735,-0.14594415,0.006441669999999955,0.27320555,0.27320555,0.4191497,-0.15426111333333334,-0.15411160799999998,0.00918665272567875,0.0005987630180699057,7.451780407241093,0,0,0,0,0,0,0,0.4191497
2015-08-28,1772,1770,SZ002115,-0.1293661,0.0044496000000000535,0.24530977,0.24530977,0.37467587,-0.08005500566666666,-0.0853611534,0.00772691965581823,0.0005802120479103202,7.479834330258619,0,0,0,0,0,0,0,0.37467587
2015-08-17,1789,1777,SZ002503,-0.12497164,0.00045760000000005796,0.10117878,0.0997077,0.22467934,-0.10074453266666666,-0.1334245356,0.006956977784127054,0.00058338140075764,7.489387827488397,0,0,2,2,2,2,0,0.22467934
2015-01-14,1877,1875,SZ000498,-0.111666664,0.001753730000000009,0.14391871,0.14391871,0.25558537400000003,-0.027771115000000002,-0.025893749060000006,0.006493633166758585,0.0005462090244470866,7.537408943568002,0,0,0,0,0,0,0,0.25558537400000003
2015-12-18,2021,2019,SZ000520,-0.099074,0.0400682,0.19451973,0.19451973,0.29359373,0.016522246666666667,0.04855654,0.0071045715808445665,0.0005391176632456481,7.611322245159873,0,0,0,0,0,0,0,0.29359373
