date,n,n_tradable,top1_code,top1_true,top1_pred_gap,best_true_all,best_true_tradable,regret_vs_best_tradable,top3_mean,top5_mean,score_std,score_max_prob,score_entropy,hit_top1_in_true10,hit_top1_in_true20,overlap_pred10_true10,overlap_pred10_true20,overlap_pred20_true10,overlap_pred20_true20,recoverable_by_true20,gap_to_best
2017-01-11,2175,2175,SH600870,-0.2421365,0.0005666600000000521,0.12894873,0.12894873,0.37108523000000004,-0.091375402,-0.0637224538,0.0055462166315188395,0.00047364286596215867,7.684768537260323,0,0,0,0,0,0,0,0.37108523000000004
2017-05-22,2131,2131,SH600870,-0.208125,0.014525199999999905,0.095526755,0.095526755,0.303651755,-0.103624164,-0.10078149440000002,0.0074596094619001855,0.0004933735037484828,7.664318656835874,0,0,0,0,0,0,0,0.303651755
2017-07-14,2104,2103,SH600870,-0.106814,0.00468454000000007,0.09065156,0.09065156,0.19746556,-0.09661186666666667,-0.109923108,0.006368341274487975,0.0004966337923867874,7.6515752416196525,0,0,1,1,2,2,0,0.19746556
2017-07-06,2097,2097,SH600870,-0.1048243,0.0006897999999999627,0.19314486,0.19314486,0.29796916,-0.05119857233333333,-0.016388839,0.005605631625774489,0.0004898340404195915,7.648247335096063,0,0,0,0,0,0,0,0.29796916
2017-10-16,2281,2280,SH600358,-0.103358045,0.016605370000000064,0.12846947,0.12846947,0.23182751499999998,-0.021860451666666666,-0.035313685,0.005109357000568302,0.0004558412963569461,7.732356169358015,0,0,0,0,0,0,0,0.23182751499999998
2017-09-18,2271,2271,SZ002654,-0.10144075,0.00012572999999993506,0.14618218,0.14618218,0.24762293,-0.019940579333333333,0.003933017400000002,0.005699252420352248,0.0004520251499413545,7.727959315451994,0,0,1,1,1,1,0,0.24762293
2017-04-13,2190,2186,SH603322,-0.09998832,0.017630859999999915,0.101068996,0.101068996,0.20105731599999999,-0.028843017333333335,-0.032747458,0.006464649068452452,0.00048323427087755934,7.691635810697596,0,0,0,0,1,1,0,0.20105731599999999
2017-10-11,2282,2282,SZ000301,-0.09862219,0.004710930000000002,0.1774942,0.1774942,0.27611639,-0.018912729666666666,-0.023131565399999998,0.0053996261240882954,0.00045432001137762966,7.732792954272698,0,0,0,1,0,1,0,0.27611639
2017-12-27,1853,1853,SZ002248,-0.096875,0.001995500000000039,0.19867061,0.19867061,0.29554561,-0.028361609666666666,-0.00571733282,0.00690130747820251,0.0005576156020614107,7.524537380073223,0,0,0,0,0,0,0,0.29554561
2017-03-29,2199,2199,SH601188,-0.096582465,0.0025759000000000754,0.20459402,0.20459402,0.301176485,-0.06890053933333333,-0.0745588436,0.0050600271650210315,0.000467507422382542,7.695745185866518,0,0,0,0,0,0,0,0.301176485
