date,n,n_tradable,top1_code,top1_true,top1_pred_gap,best_true_all,best_true_tradable,regret_vs_best_tradable,top3_mean,top5_mean,score_std,score_max_prob,score_entropy,hit_top1_in_true10,hit_top1_in_true20,overlap_pred10_true10,overlap_pred10_true20,overlap_pred20_true10,overlap_pred20_true20,recoverable_by_true20,gap_to_best
2024-04-25,2809,2808,SZ000889,-0.75,0.015805749999999952,0.2237158,0.2237158,0.9737158,-0.22020344283333335,-0.11970577020000002,0.004293416313036437,0.00037174760658686165,7.940574577843279,0,0,1,1,1,1,0,0.9737158
2024-10-28,2826,2815,SZ000040,-0.6226415,0.008017669999999977,0.20662075,0.20662075,0.82926225,-0.33919187133333334,-0.20601147420000002,0.00466634019753846,0.0003659651514019441,7.946606640961671,0,0,0,0,0,0,0,0.82926225
2024-07-03,2542,2541,SH600076,-0.58419245,0.0008783700000000172,0.16516854,0.16516854,0.74936099,-0.18400359833333332,-0.17075598499999997,0.004594501823839071,0.0004081059719265865,7.840695838841899,0,0,2,3,2,3,0,0.74936099
2024-09-09,2372,2369,SZ000040,-0.5625,0.0015982299999999228,0.15449011,0.15449011,0.71699011,-0.19712742800000002,-0.159562956,0.0041041262975865245,0.00043313434479541374,7.771480302910348,0,0,1,1,1,1,0,0.71699011
2024-02-02,2825,2825,SH600198,-0.48818898,0.015827099999999983,0.13191573,0.13191573,0.62010471,-0.39572039,-0.369652266,0.005252547425230879,0.00037139347977937863,7.946249811315761,0,0,0,0,0,0,0,0.62010471
2024-07-23,2408,2406,SH600076,-0.46,0.01110184000000003,0.13827054,0.13827054,0.59827054,-0.18986301333333333,-0.14566442999999998,0.004060597800845266,0.0004340601979798273,7.786543512534212,0,0,1,2,1,2,0,0.59827054
2024-05-30,2767,2767,SZ000793,-0.4460094,0.009669759999999972,0.35436863,0.35436863,0.8003780300000001,-0.1879272,-0.1468776676,0.0036455236587375163,0.0003747918146919832,7.925512309358936,0,0,3,3,3,4,0,0.8003780300000001
2024-09-03,2396,2394,SZ000040,-0.43835616,0.01944712999999998,0.18562874,0.18562874,0.6239849,-0.2724079833333333,-0.18462054320000001,0.003797933693162915,0.0004367131208398195,7.781548711638752,0,0,1,3,2,4,0,0.6239849
2024-03-26,2819,2818,SZ002089,-0.40963855,0.011115539999999924,0.23243243,0.23243243,0.64207098,-0.059068706666666665,-0.0500341418,0.0037527487910817134,0.00036592983770337203,7.944130433968565,0,0,2,3,2,3,0,0.64207098
2024-03-28,2800,2798,SZ002089,-0.40963855,0.021107999999999905,0.18535826,0.18535826,0.59499681,-0.1676776166666667,-0.16359363600000001,0.003785787841019578,0.0003723581972440602,7.937367504395031,0,0,0,0,0,0,0,0.59499681
