model,fold_year,seq_len,gpu,status,return_code,log_path,metrics_path,num_days,mean_return,cumulative_return,sharpe,ic,rank_ic
DLinear,2019,60,2,done,0,logs/market_dlinearB60_rerun/DLinear_fold2019_sl60.log,test_results/long_term_forecast_market_2019_60_DLinear_market_daily_ftMS_sl60_ll0_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_market_round1_0/market_metrics.txt,243,0.012231728062033653,1.7540655136108398,1.337849968585304,0.0013597669854105963,0.006837952383797493
DLinear,2021,60,3,done,0,logs/market_dlinearB60_rerun/DLinear_fold2021_sl60.log,test_results/long_term_forecast_market_2021_60_DLinear_market_daily_ftMS_sl60_ll0_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_market_round1_0/market_metrics.txt,242,0.010568163357675076,3.5261378288269043,1.678181921118209,0.013850691580119387,0.023695138305734744
