code,pick_count,mean_true,positive_rate,mean_log_amount,mean_avg_amount_20,mean_turnover_rate,mean_avg_turnover_20,mean_amplitude,mean_avg_amplitude_20,mean_ret_20,mean_ret_60,mean_vol_20,mean_vol_60,mean_market_cc_mean,mean_market_amount_top10_share
SH600200,41,-0.02131326248780488,0.3170731707317073,17.631818819687425,43418291.160975605,7.6621951219512185,5.727463414634146,11.81219512195122,8.893902439024389,-0.25038564786806666,-0.7039138752657814,0.07658527530685687,0.06822435616084635,0.0018823989222614473,0.7665735694215586
SH600076,17,-0.01200259288235294,0.47058823529411764,18.198764154731588,64533892.30294118,4.2952941176470585,2.094558823529412,14.367647058823529,10.80144117647059,0.08258244215434854,-0.10203341089918035,0.07675857498133397,0.07715294564875524,0.003972093749656378,0.7494851691753878
SH600136,12,0.0007002864166666655,0.5,16.971113265294857,22626920.795833334,0.7541666666666668,0.5478333333333333,10.931666666666667,8.376,-0.245473929913007,-0.03435920203053396,0.06361384315569145,0.05602113893505773,0.0024235855183457875,0.7189774415665933
SH600744,10,4.7446900000000516e-05,0.4,21.68937476598571,889171596.1200001,19.944,7.781650000000001,17.169,10.183,1.4314764946666885,2.477821988080908,0.09626448645409628,0.08579707740759453,0.005206312083303949,0.7050225250644535
SZ000565,6,0.008662655249999998,0.6666666666666666,21.13003552409629,492182209.63516665,33.24,12.539916666666668,14.121666666666668,7.5968333333333335,1.2289260074107848,1.0653585466238147,0.05231566445934014,0.040889095408332764,0.004911166801623408,0.6942183388284079
SZ000856,6,-0.044457924,0.16666666666666666,20.641524001622802,430570152.07916665,34.975,16.86375,14.556666666666667,9.583416666666666,1.0932804169251649,0.8363836529973647,0.06977731276231476,0.052394578418956894,0.004179722195450995,0.7608770376174866
SH600610,5,-0.0026247971999999982,0.6,20.580967841751768,452433097.31000006,13.178,9.632299999999999,8.158,7.9998000000000005,1.4834030126040005,1.2145053076327208,0.049638021164824735,0.042937095707000175,-0.00469743663168447,0.6878775499640403
SH605255,5,0.05831571,0.8,18.233508261659875,69097283.49000001,1.488,1.5879,0.246,1.6206,1.9026755992035789,2.5083530263663083,0.04610250401770379,0.044582312618967515,-0.00529331865985219,0.7844733104244705
SZ002969,4,0.06657760525,0.75,17.412852349011185,130071451.22825,0.48,3.211125,0.0,2.878125,1.4061996764755567,1.5241587516654687,0.048532669954851025,0.03617873927488702,0.00048026197568208553,0.7683972313135579
SH603316,3,-0.028979478333333333,0.3333333333333333,20.765636838880493,164902235.96666667,34.70666666666667,6.800666666666667,13.066666666666668,4.900666666666667,0.6432172158005506,1.0496455474694466,0.049711445568901134,0.03771534155715497,-0.0008003941281399448,0.7009962528272765
SH603778,3,-0.019002073333333334,0.0,21.026135824561507,598775223.7666667,27.00333333333333,15.002333333333333,9.423333333333334,7.23,0.9518272389081335,1.3723311485033856,0.05677324956779659,0.04182027275174841,0.0023403724756863383,0.7362839597266478
SZ000592,3,0.021689424300000006,0.3333333333333333,22.5093542982887,1469088025.4415,39.629999999999995,14.284833333333333,10.576666666666666,6.120833333333334,1.4394956587381855,1.8793762283143576,0.06570126366405467,0.04989341702790149,0.0010139892627164932,0.7693771105319874
SZ000609,3,0.017802320866666665,0.6666666666666666,18.873422010148865,60335178.521166675,14.579999999999998,2.325333333333333,5.329999999999999,0.9994999999999999,1.5391850763500576,2.6818370799199656,0.009879120700004391,0.034722002762962674,-0.013977927960016063,0.7408982282513179
SZ000632,3,-0.083595342,0.3333333333333333,20.824336548264814,260693270.02466667,36.11000000000001,10.858666666666666,13.15,7.668,1.088524371539803,1.0650401370337734,0.07292536058439048,0.05062171788062524,0.0009346378166225433,0.7174338626030341
SZ000889,3,-0.002489685666666667,0.6666666666666666,19.358207601366235,86307724.40766667,13.163333333333332,3.1445000000000003,9.913333333333332,5.738333333333333,0.7441374567328415,0.8992387262850169,0.08340412709877083,0.06360708429633381,0.0018475244418644976,0.6773532139519953
SZ002235,3,-0.06916131233333334,0.0,21.553692037154104,1036227800.1728333,40.26,22.134333333333334,10.356666666666667,7.096666666666667,0.90549453767697,0.9575974838530187,0.047602093215394124,0.03724925092983151,0.00041762886416837663,0.7205996425547022
SZ002451,3,0.050694030333333334,1.0,21.364362483818553,289946025.5455,35.63,6.489333333333332,10.986666666666666,3.1536666666666666,0.8141670618545849,0.6953067744728254,0.04624852986323871,0.032350557146191394,0.002216457364803461,0.7502882630322919
SZ002702,3,0.009211805333333331,0.3333333333333333,20.986151855746275,477414650.8821667,35.60333333333333,17.333,13.186666666666667,7.538166666666666,0.6690173316824947,0.860035823005191,0.05346417432531015,0.034983779559623555,0.0013102248476495337,0.7416978339723143
SH600110,2,-0.0030421199999999954,0.5,22.00810430125697,787114381.5,30.315,8.61725,13.305,6.6960000000000015,1.117385013318808,0.7862815067400495,0.056529762034181016,0.04557688545937597,0.0032630490517712844,0.7221327859005855
SH600117,2,0.19548946,1.0,20.05681240122008,136419344.375,6.75,1.41525,8.005,4.28625,0.5868267620734103,0.7337488228993696,0.052127350598131804,0.03378823504328218,-0.0024968231748762034,0.7295123279274538
