year,top1_mean,top1_cum,top1_sharpe,top1_pos,top3_mean,top3_cum,top3_sharpe,top3_pos,top5_mean,top5_cum,top5_sharpe,top5_pos,ic,rank_ic,debias015_top1_mean,debias015_top1_sharpe,hit_true10_rate,hit_true20_rate,avg_overlap_pred10_true10,avg_overlap_pred20_true20,avg_regret,unique_top1,max_rep_top1,debias015_top1_mean_diag
2015,0.059920451691358,576262.653421872,10.3085410593576,0.8024691358024691,0.0476416927203155,53457.42297826771,12.373909661794258,0.8189300411522634,0.0392272232137366,8105.460616148452,11.355139937501038,0.8148148148148148,0.1003910528519167,0.077671447587271,0.0354360664720164,7.657232963395476,0.0411522633744856,0.1563786008230452,0.419753086419753,1.1851851851851851,0.1459369065843621,145,8,0.0354360664720164
2016,0.0404794641185185,7892.560154801591,8.074236495069998,0.6790123456790124,0.02288522223417,192.4001052671166,8.047228217921687,0.7283950617283951,0.0146423681136707,28.08725577194464,6.25949046178979,0.6790123456790124,0.0684728641205087,0.0584994541780112,0.0241372674332098,5.225305098461795,0.176954732510288,0.3127572016460905,0.6213991769547325,1.411522633744856,0.1372733513711934,110,11,0.0241372674332098
2017,0.0059239565588477,1.7568952517602177,1.5819465420728362,0.4691358024691358,0.0045269203531961,1.6378541648844855,2.2106403202127924,0.5432098765432098,0.0023780788305679,0.6041196798082502,1.289352399583974,0.5432098765432098,0.0154437601546177,0.0061155944684638,-0.0010599604811111,-0.3825356105524682,0.0864197530864197,0.1316872427983539,0.419753086419753,1.0781893004115226,0.1555991611119341,101,35,-0.0010599604811111
2018,0.0075534337254958,-0.453119035201697,0.8170489833954401,0.4917355371900826,0.0056793400097382,1.2053272931053196,1.2775732000740727,0.5330578512396694,0.0038437663282561,0.8422955987159477,1.1796547756207785,0.5578512396694215,0.0279535671984588,0.002521008687026,0.0084671658966942,1.104534871334219,0.1115702479338843,0.152892561983471,0.5785123966942148,1.4421487603305785,0.1967421672001239,62,62,0.0084671658966942
2019,0.01466311591893,2.6840383686887512,1.670409882257495,0.5308641975308642,0.0048251661855967,0.7390815187567581,1.070652099487932,0.5349794238683128,0.0044403650832921,1.0919659946019027,1.3305623546883134,0.5102880658436214,0.0158772614469692,-0.0099874876397706,0.0081357090162139,1.0633878395867518,0.1111111111111111,0.1440329218106996,0.5102880658436214,1.300411522633745,0.2152010616448559,47,72,0.0081357090162139
2020,0.0140510664603305,-0.2738120061378429,1.1913128741214605,0.4586776859504132,0.0062556356058402,1.1002068034462489,1.2127595566483709,0.5082644628099173,0.0018588139039338,0.0281798061046525,0.4912530921819792,0.5041322314049587,0.0082861564736789,-0.017294058228411,0.0090102642812396,0.8612450763294672,0.1652892561983471,0.2107438016528925,0.6074380165289256,1.3016528925619837,0.2734728168950412,52,63,0.0090102642812396
2021,0.04985762513719,51.17176893321648,2.4054915917839,0.6198347107438017,0.023577453071763,67.0795058314472,3.0194655642782267,0.6157024793388429,0.0174485746185041,31.28013304056785,3.316900744841103,0.5702479338842975,0.0191861925796689,-0.0200256120240425,0.0195183513997107,1.76556689056305,0.1198347107438016,0.1818181818181818,0.6322314049586777,1.4545454545454546,0.2143069065157024,70,41,0.0195183513997107
2022,0.0057256789630705,0.2356031670616318,0.911772122414708,0.4813278008298755,0.0022718425113139,0.1467157220008623,0.6170697261941013,0.5145228215767634,-0.0002206670983983,-0.2623245874563236,-0.0767120016234639,0.4813278008298755,0.0006464330504692,-0.0288158429127201,-0.0015164499319502,-0.29147685786632,0.0954356846473029,0.1327800829875518,0.5145228215767634,1.5850622406639003,0.2247631433605809,78,51,-0.0015164499319502
2023,0.0111178368875518,3.14128261120311,1.658312136058835,0.4979253112033195,0.0056945007809958,1.3872893835228073,1.3493104247892334,0.5103734439834025,0.0026605905472199,0.4299303067717932,0.8513922968806942,0.4979253112033195,0.0067561815836294,-0.0042175880529362,0.0056122266685062,0.9250839199168832,0.1078838174273859,0.1950207468879668,0.8713692946058091,2.203319502074689,0.1969881101041493,69,39,0.0056122266685062
2024,0.0496307706116182,-0.0106829329990167,1.5605745350051932,0.4771784232365145,0.0223596109627939,4.2415980718974335,1.6173011119070466,0.5186721991701245,0.0169587355563485,6.01569276707669,1.7693350444593767,0.5062240663900415,0.0097154041664063,-0.0208836306460782,0.0578094757107883,1.711802843929651,0.2116182572614107,0.2780082987551867,1.2821576763485478,2.6141078838174274,0.3023440494547717,47,47,0.0578094757107883
2025,-0.0154981305123966,-0.9921758832935496,-2.643080948880163,0.3801652892561983,-0.0101530450832506,-0.9433362502283068,-2.8252931513111994,0.4090909090909091,-0.0085785985432561,-0.9044790727823748,-2.9549637323637703,0.4173553719008264,-0.0045187715125965,-0.0210752142848182,-0.0099919440520661,-1.7035930386947955,0.0495867768595041,0.1033057851239669,0.5371900826446281,1.859504132231405,0.2303961736942149,108,41,-0.0099919440520661
