year,top1_mean,top1_cum,top1_sharpe,top1_pos,top3_mean,top3_cum,top3_sharpe,top3_pos,top5_mean,top5_cum,top5_sharpe,top5_pos,ic,rank_ic,debias015_top1_mean,debias015_top1_sharpe
2015,0.059920451691358026,576262.653421872,10.308541059357601,0.8024691358024691,0.04764169272031551,53457.42297826771,12.373909661794258,0.8189300411522634,0.039227223213736624,8105.460616148452,11.355139937501038,0.8148148148148148,0.10039105285191677,0.07767144758727107,0.03543606647201646,7.657232963395476
2016,0.04047946411851852,7892.560154801591,8.074236495069998,0.6790123456790124,0.022885222234170093,192.4001052671166,8.047228217921687,0.7283950617283951,0.014642368113670784,28.08725577194464,6.25949046178979,0.6790123456790124,0.06847286412050874,0.05849945417801128,0.024137267433209878,5.225305098461795
2017,0.005923956558847735,1.7568952517602177,1.5819465420728362,0.4691358024691358,0.004526920353196159,1.6378541648844855,2.2106403202127924,0.5432098765432098,0.0023780788305679014,0.6041196798082502,1.289352399583974,0.5432098765432098,0.01544376015461773,0.006115594468463848,-0.0010599604811111114,-0.3825356105524682
2018,0.007553433725495867,-0.45311903520169705,0.8170489833954401,0.49173553719008267,0.0056793400097382915,1.2053272931053196,1.2775732000740727,0.5330578512396694,0.003843766328256197,0.8422955987159477,1.1796547756207783,0.5578512396694215,0.02795356719845881,0.0025210086870260757,0.008467165896694216,1.1045348713342187
2019,0.01466311591893004,2.6840383686887512,1.6704098822574953,0.5308641975308642,0.004825166185596708,0.7390815187567581,1.070652099487932,0.5349794238683128,0.0044403650832921795,1.0919659946019027,1.3305623546883134,0.5102880658436214,0.015877261446969267,-0.009987487639770629,0.008135709016213992,1.0633878395867518
2020,0.01405106646033058,-0.27381200613784296,1.1913128741214603,0.45867768595041325,0.006255635605840221,1.1002068034462487,1.2127595566483709,0.5082644628099173,0.0018588139039338847,0.02817980610465254,0.49125309218197927,0.5041322314049587,0.008286156473678944,-0.017294058228411003,0.009010264281239671,0.8612450763294672
2021,0.04985762513719008,51.17176893321648,2.4054915917839,0.6198347107438017,0.02357745307176308,67.0795058314472,3.0194655642782267,0.6157024793388429,0.01744857461850413,31.280133040567854,3.316900744841103,0.5702479338842975,0.01918619257966897,-0.020025612024042537,0.01951835139971074,1.76556689056305
2022,0.0057256789630705405,0.23560316706163187,0.9117721224147081,0.48132780082987553,0.002271842511313969,0.14671572200086236,0.6170697261941013,0.5145228215767634,-0.00022066709839834077,-0.2623245874563236,-0.07671200162346395,0.48132780082987553,0.0006464330504692228,-0.028815842912720165,-0.0015164499319502082,-0.29147685786632
2023,0.011117836887551868,3.14128261120311,1.658312136058835,0.4979253112033195,0.00569450078099585,1.3872893835228073,1.3493104247892334,0.5103734439834025,0.002660590547219917,0.4299303067717932,0.8513922968806942,0.4979253112033195,0.006756181583629468,-0.00421758805293624,0.005612226668506223,0.9250839199168833
2024,0.04963077061161827,-0.010682932999016792,1.5605745350051932,0.47717842323651455,0.022359610962793916,4.2415980718974335,1.6173011119070466,0.5186721991701245,0.01695873555634855,6.01569276707669,1.7693350444593767,0.5062240663900415,0.009715404166406356,-0.020883630646078212,0.05780947571078838,1.7118028439296513
2025,-0.015498130512396693,-0.9921758832935496,-2.643080948880163,0.38016528925619836,-0.01015304508325069,-0.9433362502283067,-2.8252931513111994,0.4090909090909091,-0.008578598543256198,-0.9044790727823749,-2.9549637323637703,0.41735537190082644,-0.004518771512596551,-0.02107521428481828,-0.009991944052066116,-1.7035930386947955
