year,hit_true10_rate,hit_true20_rate,avg_overlap_pred10_true10,avg_overlap_pred20_true20,avg_regret,unique_top1,max_rep_top1,debias015_top1_mean_diag
2015,0.0411522633744856,0.15637860082304528,0.41975308641975306,1.1851851851851851,0.14593690658436215,145,8,0.03543606647201646
2016,0.17695473251028807,0.31275720164609055,0.6213991769547325,1.4115226337448559,0.1372733513711934,110,11,0.024137267433209878
2017,0.08641975308641975,0.13168724279835392,0.41975308641975306,1.0781893004115226,0.15559916111193414,101,35,-0.0010599604811111114
2018,0.1115702479338843,0.15289256198347106,0.5785123966942148,1.4421487603305785,0.19674216720012394,62,62,0.008467165896694216
2019,0.1111111111111111,0.1440329218106996,0.5102880658436214,1.300411522633745,0.21520106164485595,47,72,0.008135709016213992
2020,0.1652892561983471,0.21074380165289255,0.6074380165289256,1.3016528925619835,0.27347281689504127,52,63,0.009010264281239671
2021,0.11983471074380166,0.18181818181818182,0.6322314049586777,1.4545454545454546,0.21430690651570247,70,41,0.01951835139971074
2022,0.0954356846473029,0.13278008298755187,0.5145228215767634,1.5850622406639003,0.2247631433605809,78,51,-0.0015164499319502082
2023,0.1078838174273859,0.1950207468879668,0.8713692946058091,2.203319502074689,0.19698811010414938,69,39,0.005612226668506223
2024,0.21161825726141079,0.27800829875518673,1.2821576763485478,2.6141078838174274,0.3023440494547717,47,47,0.05780947571078838
2025,0.049586776859504134,0.10330578512396695,0.5371900826446281,1.859504132231405,0.2303961736942149,108,41,-0.009991944052066116
