date,code,pred,true
2015-01-05,SZ300250,0.043002654,-0.03033722
2015-01-06,SH600784,0.05613805,-0.04842987
2015-01-07,SZ000722,0.06564593,7.2229755e-13
2015-01-08,SH600338,0.048880994,-0.013674198
2015-01-09,SZ002488,0.07318684,0.070754714
2015-01-12,SZ300059,0.057627063,0.009194971
2015-01-13,SZ300226,0.050362296,0.0013317398
2015-01-14,SH601766,0.044289697,0.019214703
2015-01-15,SZ000008,0.07110628,-0.045876686
2015-01-16,SZ300139,0.06453268,0.042747766
2015-01-19,SZ300182,0.051545445,0.017925883
2015-01-20,SZ300224,0.04167593,0.0069067585
2015-01-21,SZ300085,0.050545048,-0.059273124
2015-01-22,SH601766,0.048358496,0.025052192
2015-01-23,SH601766,0.06152965,-0.024439918
2015-01-26,SZ002496,0.057334393,-0.07862122
2015-01-27,SZ300269,0.061236523,0.004751299
2015-01-28,SH600986,0.057569347,-0.026768172
2015-01-29,SZ000627,0.09372325,0.04857055
2015-01-30,SZ000627,0.07295411,0.019251442
2015-02-02,SZ000627,0.0739322,-0.007526366
2015-02-03,SZ000627,0.07034356,-0.0775733
2015-02-04,SZ000627,0.04992439,0.051002774
2015-02-05,SH601519,0.056283336,0.096553005
2015-02-06,SH601519,0.069482245,-0.049349334
2015-02-09,SH601519,0.07228085,0.1744
2015-02-10,SH601519,0.07536185,0.0021192858
2015-02-11,SH601519,0.05624469,0.012537764
2015-02-12,SH601519,0.07412651,7.2229755e-13
2015-02-13,SH601519,0.05790683,0.006415038
2015-02-16,SH601519,0.061969444,-0.04669434
2015-02-17,SH601519,0.065771826,0.026278961
2015-02-25,SH601519,0.078236416,0.01560606
2015-02-26,SH601519,0.050095294,0.09010891
2015-02-27,SZ000509,0.051384546,0.017914178
2015-03-02,SZ000509,0.0613633,0.061527967
2015-03-03,SZ002195,0.05558438,-0.027505936
2015-03-04,SH601519,0.068123415,-0.055270102
2015-03-05,SH601519,0.04772168,0.04409819
2015-03-06,SZ000626,0.052382596,-0.031805426
2015-03-09,SH600318,0.05917392,-0.044378698
2015-03-10,SH600318,0.04791136,-0.019543344
2015-03-11,SZ300081,0.051755585,0.15100905
2015-03-12,SZ300081,0.07044852,0.11809754
2015-03-13,SZ300343,0.035894122,0.0053376034
2015-03-16,SZ300343,0.053872548,-0.01256526
2015-03-17,SZ002312,0.055288985,0.011166386
2015-03-18,SZ300081,0.04319309,0.14819533
2015-03-19,SZ300081,0.04825087,-0.0040680473
2015-03-20,SZ300343,0.05486058,0.07677115
2015-03-23,SZ002312,0.052118614,0.011624171
2015-03-24,SZ300159,0.051717415,0.099285565
2015-03-25,SZ300081,0.049443364,-0.051635113
2015-03-26,SH600804,0.05187956,-0.033589214
2015-03-27,SZ300159,0.058354277,0.034611538
2015-03-30,SZ300159,0.08597552,0.0709037
2015-03-31,SZ300159,0.055600323,0.14274107
2015-04-01,SZ300159,0.06135398,-0.0292065
2015-04-02,SZ300159,0.06260404,0.03629754
2015-04-03,SZ002625,0.049655426,0.09931507
2015-04-07,SZ002044,0.061303053,0.0971238
2015-04-08,SZ300159,0.06649248,-0.011273895
2015-04-09,SZ300131,0.067187674,7.2229755e-13
2015-04-10,SZ300018,0.05947241,-0.082973205
2015-04-13,SZ002044,0.0632917,0.09806174
2015-04-14,SZ002044,0.06402246,0.09832636
2015-04-15,SZ002044,0.06668792,-0.10511905
2015-04-16,SZ002044,0.06989925,0.019156579
2015-04-17,SZ002044,0.08745616,-0.011225688
2015-04-20,SZ300379,0.068154216,-0.0033705253
2015-04-21,SZ002044,0.08484453,-0.051518373
2015-04-22,SZ002044,0.07031209,-0.0064781364
2015-04-23,SZ300379,0.06603935,-0.0457
2015-04-24,SZ002044,0.0632711,-0.101113416
2015-04-27,SZ002625,0.07570321,0.06176951
2015-04-28,SZ300379,0.064042754,0.021459227
2015-04-29,SZ300059,0.065542586,-0.12857428
2015-04-30,SH603003,0.07185562,-0.076008126
2015-05-04,SZ300059,0.08352137,-0.029210621
2015-05-05,SZ002261,0.082256004,0.0724364
2015-05-06,SZ002517,0.09209676,0.10285714
2015-05-07,SZ000796,0.074674144,0.22880189
2015-05-08,SZ002517,0.071729764,-0.07093161
2015-05-11,SZ002517,0.06766477,0.001826484
2015-05-12,SZ000796,0.054923225,-0.119915076
2015-05-13,SZ300348,0.057076737,0.099860765
2015-05-14,SZ000796,0.100768514,0.058911484
2015-05-15,SZ002491,0.08251854,0.04145741
2015-05-18,SZ002421,0.08103011,0.028805673
2015-05-19,SZ300348,0.08483248,-0.10195315
2015-05-20,SZ300348,0.077657185,-0.11210762
2015-05-21,SZ300348,0.08466535,0.08179013
2015-05-22,SZ002491,0.07994241,0.040362928
2015-05-25,SZ002491,0.08639273,0.12014019
2015-05-26,SZ002119,0.085144505,0.05126935
2015-05-27,SZ002119,0.09003739,-0.030156674
2015-05-28,SZ002491,0.10656581,0.020513719
2015-05-29,SZ000584,0.087429345,0.07477255
2015-06-01,SZ000584,0.09944044,-0.059077684
2015-06-02,SZ000584,0.08475223,-0.048167933
2015-06-03,SZ002659,0.10602603,0.033264033
2015-06-04,SH600076,0.10659972,-0.009702458
2015-06-05,SH600076,0.082325056,-0.03216852
2015-06-08,SH600076,0.08664132,0.0033743884
2015-06-09,SH600076,0.08610711,0.029762905
2015-06-10,SZ002036,0.0728926,0.01929942
2015-06-11,SZ000938,0.07839077,0.09932153
2015-06-12,SZ002188,0.082444444,0.11746784
2015-06-15,SZ000938,0.08601016,-0.0022707263
2015-06-16,SZ002188,0.08630438,-0.06041145
2015-06-17,SZ002188,0.09747793,0.007877665
2015-06-18,SZ000938,0.09615978,-0.027168706
2015-06-19,SZ000938,0.10235484,-0.0074164206
2015-06-23,SZ000411,0.0819829,-0.034073308
2015-06-24,SZ300078,0.06782613,-0.013958835
2015-06-25,SZ300350,0.09597725,-0.16909188
2015-06-26,SZ300078,0.06581447,0.14967246
2015-06-29,SZ300078,0.066085726,-0.12155396
2015-06-30,SZ002312,0.075443916,-0.17670998
2015-07-01,SZ300348,0.100766964,0.18415162
2015-07-02,SZ300131,0.09288609,-0.0659325
2015-07-03,SZ300011,0.08559255,-0.12632707
2015-07-06,SZ300011,0.118739426,0.0828874
2015-07-07,SZ002579,0.06548822,-0.055298418
2015-07-08,SZ300120,0.1173196,0.099065006
2015-07-09,SH600810,0.09821145,0.08235294
2015-07-10,SH600751,0.08956774,-0.091911145
2015-07-13,SH600751,0.056571644,-0.16918768
2015-07-14,SZ002055,0.068834424,-0.041097563
2015-07-15,SH600325,0.065932,0.080585405
2015-07-16,SH600810,0.14761862,-0.005974608
2015-07-17,SH600810,0.22191508,0.029301276
2015-07-20,SH600810,0.13945405,0.028467154
2015-07-21,SZ002679,0.08833518,0.0485348
2015-07-22,SH600727,0.093193136,-0.11191173
2015-07-23,SH600810,0.11619498,-0.20264317
2015-07-24,SZ002234,0.11224869,0.2477996
2015-07-27,SZ000663,0.123409174,0.1254961
2015-07-28,SH600749,0.13335748,0.15471618
2015-07-29,SH600165,0.11665497,7.2229755e-13
2015-07-30,SZ002723,0.109884605,-0.03983006
2015-07-31,SZ002723,0.11409889,0.084070794
2015-08-03,SZ002723,0.09918138,-0.030612247
2015-08-04,SZ300248,0.07670011,0.044748478
2015-08-05,SZ000070,0.104291625,0.09114053
2015-08-06,SZ300063,0.09161502,0.018885741
2015-08-07,SZ002151,0.095809266,-0.11329887
2015-08-10,SZ300232,0.056081906,-0.039638877
2015-08-11,SZ300232,0.0684582,0.077262044
2015-08-12,SZ300032,0.059202105,-0.06874618
2015-08-13,SZ002131,0.07789982,-0.037711658
2015-08-14,SZ300032,0.089136705,-0.045519948
2015-08-17,SZ002334,0.09330336,0.05417645
2015-08-18,SZ002506,0.18962906,-0.14462924
2015-08-19,SZ002395,0.07525631,-0.11874708
2015-08-20,SZ000564,0.06134616,-0.13732858
2015-08-21,SZ002506,0.6360773,-0.09464856
2015-08-24,SZ300182,0.11849383,-0.069303766
2015-08-25,SZ002115,0.056876678,-0.034216337
2015-08-26,SZ002506,0.23386942,0.07449316
2015-08-27,SZ002506,0.9188148,-0.154344
2015-08-28,SZ000628,0.06020098,-0.11702128
2015-08-31,SZ002506,0.523195,0.009756808
2015-09-01,SZ002506,0.08273197,-0.027689645
2015-09-02,SZ002506,0.6765502,0.017057253
2015-09-07,SZ002506,0.6552854,0.05585533
2015-09-08,SZ002506,0.1483126,0.0066298344
2015-09-09,SZ002506,0.5438263,-0.020993413
2015-09-10,SZ300385,0.09151051,-0.20045172
2015-09-11,SZ002027,0.074867934,-0.09973834
2015-09-14,SH600810,0.086388506,0.14226376
2015-09-15,SH600774,0.058727127,-0.055519182
2015-09-16,SH600359,0.094825074,-0.012927054
2015-09-17,SH600476,0.0802848,0.104477614
2015-09-18,SZ002517,0.08441367,-0.048484847
2015-09-21,SH600052,0.05316056,0.008217771
2015-09-22,SZ300011,0.052345753,0.011696453
2015-09-23,SH603558,0.062713206,-0.06375956
2015-09-24,SH603558,0.07094885,-0.009834848
2015-09-25,SZ002488,0.08292041,0.025562508
2015-09-28,SZ002227,0.058413822,0.0003112356
2015-09-29,SZ300287,0.056168754,0.03715992
2015-09-30,SZ300026,0.049030606,0.016794242
2015-10-08,SZ002111,0.078420095,0.034447476
2015-10-09,SZ300252,0.05715654,0.025958467
2015-10-12,SZ300314,0.05846343,-0.037349503
2015-10-13,SZ000025,0.033694346,0.16455697
2015-10-14,SZ002030,0.07159107,0.03007005
2015-10-15,SZ002474,0.047646187,0.009118541
2015-10-16,SZ000426,0.07110431,-0.012901119
2015-10-19,SZ000426,0.07748706,-0.13111092
2015-10-20,SZ002474,0.066337235,0.046557378
2015-10-21,SH600604,0.05299354,0.08080886
2015-10-22,SZ000025,0.059055496,-0.099826224
2015-10-23,SZ002316,0.049781144,0.049339693
2015-10-26,SZ000676,0.09138623,-0.03821123
2015-10-27,SZ000676,0.07694599,0.19652006
2015-10-28,SH600593,0.118261695,-0.027856916
2015-10-29,SH600593,0.0892722,0.041354608
2015-10-30,SH600593,0.09267072,0.046904314
2015-11-02,SZ000676,0.10009448,0.04272047
2015-11-03,SZ000676,0.08716408,-0.04778343
2015-11-04,SH600626,0.06609701,0.008676092
2015-11-05,SZ000676,0.083367206,-0.06690562
2015-11-06,SZ002166,0.053953215,0.021302562
2015-11-09,SZ002343,0.07988948,0.09771881
2015-11-10,SZ002166,0.0474319,-0.049649104
2015-11-11,SZ002343,0.045783855,-0.03368794
2015-11-12,SZ002343,0.066801004,0.0764526
2015-11-13,SZ300299,0.07636216,-0.049724
2015-11-16,SZ002343,0.07458984,0.05263158
2015-11-17,SZ002343,0.10907676,0.0057142857
2015-11-18,SZ002343,0.08016644,0.046164773
2015-11-19,SZ002343,0.07674818,-0.022131704
2015-11-20,SZ002343,0.07023748,-0.036517635
2015-11-23,SH600226,0.08341097,0.023577519
2015-11-24,SZ002343,0.06578411,0.035114933
2015-11-25,SH600392,0.082728826,-0.003821656
2015-11-26,SH600226,0.063694626,0.03599482
2015-11-27,SZ000670,0.06862313,-0.03926835
2015-11-30,SZ000633,0.06999385,-0.0134312045
2015-12-01,SZ002224,0.058892008,0.1207941
2015-12-02,SH600053,0.084076814,0.15509646
2015-12-03,SH600053,0.10401254,0.057732772
2015-12-04,SH600165,0.08118809,-0.05031908
2015-12-07,SH600053,0.10080703,7.2229755e-13
2015-12-08,SH600053,0.08319057,-0.028277474
2015-12-09,SH600053,0.0953907,0.044884704
2015-12-10,SH600053,0.09052309,-0.015106304
2015-12-11,SZ002667,0.077244714,0.062110003
2015-12-14,SZ002667,0.0651929,0.0396229
2015-12-15,SZ002667,0.054892823,0.12616639
2015-12-16,SZ002667,0.061827324,-0.01750496
2015-12-17,SZ002667,0.071221046,-0.08290771
2015-12-18,SZ002667,0.0679669,-0.0002590338
2015-12-21,SZ000520,0.10803769,0.023622047
2015-12-22,SZ002602,0.044862874,0.09930515
2015-12-23,SH600734,0.055972,-0.014705883
2015-12-24,SZ000520,0.19930904,-0.079790644
2015-12-25,SZ002602,0.08670926,-0.017857144
2015-12-28,SZ002602,0.07421888,-0.13792208
2015-12-29,SZ000520,0.09495217,-0.065624624
2015-12-30,SZ002602,0.08016821,-0.10485086
2017-01-03,SZ002608,0.031031646,-0.031949934
2017-01-04,SZ000710,0.0501933,-0.06420015
2017-01-05,SZ000710,0.04028514,-0.035646085
2017-01-06,SZ000710,0.039198652,-0.00022002198
2017-01-09,SZ002602,0.04610142,0.009280742
2017-01-10,SH600568,0.04307656,-0.016400518
2017-01-11,SZ002602,0.04995268,-0.003953771
2017-01-12,SH600050,0.033655398,-0.014067995
2017-01-13,SZ000659,0.049422313,0.044434223
2017-01-16,SZ002602,0.054675117,-0.045016076
2017-01-17,SH600609,0.048491605,0.02157779
2017-01-18,SZ000885,0.05046768,0.099647485
2017-01-19,SZ002602,0.048744682,0.11872146
2017-01-20,SZ002725,0.038563453,0.2241279
2017-01-23,SH600760,0.040917125,0.008807588
2017-01-24,SH600760,0.045150097,0.056749497
2017-01-25,SH600760,0.037513755,-0.0065671015
2017-01-26,SH600760,0.020111287,0.010768739
2017-02-03,SZ002638,0.028929096,-0.09888919
2017-02-06,SZ300417,0.025151074,-0.0023255814
2017-02-07,SH600760,0.02753483,0.015785927
2017-02-08,SH600760,0.027538564,0.06652137
2017-02-09,SH600760,0.020904467,-0.031896934
2017-02-10,SZ000803,0.031791102,0.0014115433
2017-02-13,SZ000803,0.016775217,-0.0112764295
2017-02-14,SH603308,0.021042004,-0.005873715
2017-02-15,SZ300323,0.024408597,-0.028462999
2017-02-16,SH600760,0.02746649,-0.021100918
2017-02-17,SZ300417,0.024741147,-0.0004753981
