strategy,scenario,buy_cost_bps,sell_cost_bps,fold_year,num_days,mean_return,cumulative_return,sharpe,switch_count,same_code_streak_days,avg_entry_cost_bps,avg_exit_cost_bps
dlinear_a01,low,5.0,10.0,2015,243,0.0021152516838478506,-0.15340939635248907,0.4570581501713454,210,32,4.341563786008231,8.683127572016462
dlinear_a01,low,5.0,10.0,2017,243,-0.001662832080043404,-0.41628145912670167,-0.7935430139125192,230,12,4.753086419753086,9.506172839506172
dlinear_a01,low,5.0,10.0,2019,243,0.010583631579129766,1.127255786087681,1.1880285321639328,229,13,4.732510288065844,9.465020576131687
dlinear_a01,low,5.0,10.0,2021,242,0.012096034233867074,1.9228226614093926,1.208575511357957,220,21,4.566115702479339,9.132231404958677
dlinear_a01,low,5.0,10.0,2022,241,-0.0032031499070627276,-0.6412661551264561,-1.1208234415463294,220,20,4.5850622406639,9.1701244813278
dlinear_a01,low,5.0,10.0,2024,160,0.028213271566533756,2.90362945253814,1.8946298481140196,143,16,4.5,9.0
dlinear_a01,base,8.0,13.0,2015,243,0.0015922378319735116,-0.25416590883105794,0.3442662347191018,210,32,6.946502057613169,11.2880658436214
dlinear_a01,base,8.0,13.0,2017,243,-0.00223274968877222,-0.49189198445693194,-1.0662552252376312,230,12,7.604938271604938,12.358024691358025
dlinear_a01,base,8.0,13.0,2019,243,0.010007855560860252,0.8528193725431574,1.1240785173276395,229,13,7.57201646090535,12.304526748971194
dlinear_a01,base,8.0,13.0,2021,242,0.011540021541470939,1.5595471733031667,1.1537361331668132,220,21,7.305785123966942,11.87190082644628
dlinear_a01,base,8.0,13.0,2022,241,-0.003751761514380459,-0.6858529219930509,-1.3134013902596142,220,20,7.33609958506224,11.921161825726141
dlinear_a01,base,8.0,13.0,2024,160,0.02765866327329302,2.5802366912934973,1.8580183798659304,143,16,7.2,11.7
dlinear_a01,high,12.0,17.0,2015,243,0.0008951083770646785,-0.370143572445194,0.1936994337931578,210,32,10.419753086419753,14.761316872427983
dlinear_a01,high,12.0,17.0,2017,243,-0.002992387389800644,-0.5777224704581554,-1.4303193358498583,230,12,11.407407407407407,16.160493827160494
dlinear_a01,high,12.0,17.0,2019,243,0.009240410918442332,0.5410718214552293,1.038718774533988,229,13,11.358024691358025,16.090534979423868
dlinear_a01,high,12.0,17.0,2021,242,0.010798911258328624,1.1442912267654806,1.0805337940002608,220,21,10.958677685950413,15.524793388429751
dlinear_a01,high,12.0,17.0,2022,241,-0.004483008289202589,-0.7368195318646994,-1.5703518504065155,220,20,11.004149377593361,15.589211618257261
dlinear_a01,high,12.0,17.0,2024,160,0.026919425296958045,2.1902035518533483,1.8091791799417827,143,16,10.8,15.3
timesnet_hbce_a01,low,5.0,10.0,2015,243,0.0032789702241535846,0.08601617890704616,0.6786349888675821,165,77,3.4156378600823047,6.8312757201646095
timesnet_hbce_a01,low,5.0,10.0,2017,243,-0.005924995676023213,-0.8083011605159677,-2.2711950325294654,209,33,4.320987654320987,8.641975308641975
timesnet_hbce_a01,low,5.0,10.0,2019,243,0.003227881508742851,-0.9172119732329259,0.37094464227995066,208,34,4.300411522633745,8.60082304526749
timesnet_hbce_a01,low,5.0,10.0,2021,242,0.011205988838234674,-0.16850371778481155,1.140901391682059,202,39,4.194214876033058,8.388429752066116
timesnet_hbce_a01,low,5.0,10.0,2022,241,-0.0018364596951823463,-0.6490049399565447,-0.4152179584998833,196,44,4.087136929460581,8.174273858921161
timesnet_hbce_a01,low,5.0,10.0,2024,160,0.09367057553957739,205.6804433003062,2.33774488565206,100,59,3.15625,6.3125
timesnet_hbce_a01,base,8.0,13.0,2015,243,0.0028684836520532077,-0.017026982782407885,0.5938409127002569,165,77,5.465020576131687,8.880658436213992
timesnet_hbce_a01,base,8.0,13.0,2017,243,-0.006440481449076962,-0.8310146397849485,-2.4696609174593873,209,33,6.91358024691358,11.234567901234568
timesnet_hbce_a01,base,8.0,13.0,2019,243,0.0027099655194219013,-0.9269772909093624,0.311530040445039,208,34,6.8806584362139915,11.181069958847736
timesnet_hbce_a01,base,8.0,13.0,2021,242,0.01069920101626789,-0.2639359788907437,1.0895288449030063,202,39,6.710743801652892,10.90495867768595
timesnet_hbce_a01,base,8.0,13.0,2022,241,-0.0023259735308692546,-0.688167661960402,-0.5260918931882369,196,44,6.539419087136929,10.62655601659751
timesnet_hbce_a01,base,8.0,13.0,2024,160,0.09325958364334234,193.51694010007313,2.3282930469409022,100,59,5.05,8.20625
timesnet_hbce_a01,high,12.0,17.0,2015,243,0.0023213146375093523,-0.13941236494733777,0.480733805552285,165,77,8.197530864197532,11.613168724279836
timesnet_hbce_a01,high,12.0,17.0,2017,243,-0.007127584764528349,-0.8571776129598406,-2.7343603004578028,209,33,10.37037037037037,14.691358024691358
timesnet_hbce_a01,high,12.0,17.0,2019,243,0.0020196266899711996,-0.9382334965652351,0.23227325539912289,208,34,10.320987654320987,14.621399176954732
timesnet_hbce_a01,high,12.0,17.0,2021,242,0.01002368978171921,-0.37439834560590013,1.021017930114538,202,39,10.066115702479339,14.260330578512397
timesnet_hbce_a01,high,12.0,17.0,2022,241,-0.0029784634141700648,-0.7336880391551496,-0.674001383056198,196,44,9.809128630705395,13.896265560165975
timesnet_hbce_a01,high,12.0,17.0,2024,160,0.09271173625446896,178.40003098471783,2.315683242838181,100,59,7.575,10.73125
selector_top1_gap,low,5.0,10.0,2015,243,0.0002042698508078014,-0.5519967892799121,0.03925829968307355,186,56,3.847736625514403,7.695473251028806
selector_top1_gap,low,5.0,10.0,2017,243,-0.002776727413617627,-0.5744144719233943,-1.1430171067321246,216,26,4.465020576131687,8.930041152263374
selector_top1_gap,low,5.0,10.0,2019,243,0.006074556016592473,-0.8946125216300079,0.640257144287483,209,33,4.320987654320987,8.641975308641975
selector_top1_gap,low,5.0,10.0,2021,242,0.013869290497452384,0.49907035144236445,1.4000523272076226,195,46,4.049586776859504,8.099173553719009
selector_top1_gap,low,5.0,10.0,2022,241,-0.0002969992988293819,-0.4841403564817047,-0.0678859287076293,194,46,4.045643153526971,8.091286307053942
selector_top1_gap,low,5.0,10.0,2024,160,0.09145635860297638,131.27605730625604,2.2793772659577543,107,52,3.375,6.75
selector_top1_gap,base,8.0,13.0,2015,243,-0.00025821092017247493,-0.5995858764837434,-0.049651411370879174,186,56,6.156378600823046,10.004115226337449
selector_top1_gap,base,8.0,13.0,2017,243,-0.0033111094159518897,-0.6264138480419628,-1.3634893738286187,216,26,7.1440329218107,11.609053497942387
selector_top1_gap,base,8.0,13.0,2019,243,0.005553975885945308,-0.9070993802443317,0.5855192496082448,209,33,6.91358024691358,11.234567901234568
selector_top1_gap,base,8.0,13.0,2021,242,0.013379319122634603,0.33260970872803375,1.350827193764796,195,46,6.479338842975206,10.52892561983471
selector_top1_gap,base,8.0,13.0,2022,241,-0.0007820548437618796,-0.5411472664102066,-0.17881131095604816,194,46,6.473029045643154,10.518672199170124
selector_top1_gap,base,8.0,13.0,2024,160,0.09102153842479452,122.96914511424852,2.269308524939448,107,52,5.4,8.775
selector_top1_gap,high,12.0,17.0,2015,243,-0.000874677593084746,-0.6552870385594605,-0.16830917516950006,186,56,9.234567901234568,13.08230452674897
selector_top1_gap,high,12.0,17.0,2017,243,-0.00402339449127951,-0.6860193517064856,-1.657579017726286,216,26,10.716049382716049,15.181069958847736
selector_top1_gap,high,12.0,17.0,2019,243,0.0048600875811125105,-0.92148261687208,0.5125192758369446,209,33,10.37037037037037,14.691358024691358
selector_top1_gap,high,12.0,17.0,2021,242,0.012726218177197128,0.1389911898301015,1.2851834922264715,195,46,9.71900826446281,13.768595041322314
selector_top1_gap,high,12.0,17.0,2022,241,-0.0014286012275122912,-0.6075009719954224,-0.32676964009490383,194,46,9.70954356846473,13.755186721991702
selector_top1_gap,high,12.0,17.0,2024,160,0.09044193562687067,112.69558425243665,2.2558761897144546,107,52,8.1,11.475
gated_q80_left,low,5.0,10.0,2015,243,-0.00026205603741292984,-0.5219680834768592,-0.05698529921227199,205,37,4.238683127572016,8.477366255144032
gated_q80_left,low,5.0,10.0,2017,243,-0.0016212432267169268,-0.41042338048020877,-0.7734142488580268,230,12,4.753086419753086,9.506172839506172
gated_q80_left,low,5.0,10.0,2019,243,0.009970867368799948,-0.8058714512770908,0.9061415550007182,221,21,4.567901234567901,9.135802469135802
gated_q80_left,low,5.0,10.0,2021,242,0.02603294323631771,15.27114975440045,2.083633336362949,205,36,4.256198347107438,8.512396694214877
gated_q80_left,low,5.0,10.0,2022,241,-0.0008901744635906952,-0.39113169523612223,-0.2939168512705217,214,26,4.460580912863071,8.921161825726141
gated_q80_left,low,5.0,10.0,2024,160,0.08900002051493652,108.72425534754856,2.228758111717295,112,47,3.53125,7.0625
