variant,year,model,dir,num_days,top1_mean_return,top1_cumulative_return,top1_sharpe,top3_mean_return,top5_mean_return,ic,rank_ic
stage2topheavy_topk,2021,WPMixer,long_term_forecast_market_2021_csattn_transformer_fp32_stage2topheavy_topk_WPMixer_WPMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_backbone_stage2topheavy_topk_0,242,-0.0008179942960850894,-0.287311851978302,-0.38070000743450655,0.0013653229689225554,0.0008549495250917971,0.005912390996885535,0.020593935850584298
stage2topheavy_topk,2021,iTransformer,long_term_forecast_market_2021_csattn_transformer_fp32_stage2topheavy_topk_iTransformer_iTransformer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_backbone_stage2topheavy_topk_0,242,0.0003946557699237019,-0.04157209396362305,0.18505611012281606,0.0018785950960591435,0.002739813644438982,0.00045717314579771576,0.0006471173639480104
stage2topheavy_topk,2022,PatchTST,long_term_forecast_market_2022_csattn_transformer_fp32_stage2topheavy_topk_PatchTST_PatchTST_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_backbone_stage2topheavy_topk_0,241,0.00042651116382330656,0.0017894506454467773,0.2333452969077639,0.0009347816812805831,0.0012341826222836971,0.010205970819299429,0.01526918847808949
stage2topheavy_topk,2022,TimeMixer,long_term_forecast_market_2022_csattn_transformer_fp32_stage2topheavy_topk_TimeMixer_TimeMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_backbone_stage2topheavy_topk_0,241,-0.002467133104801178,-0.5235743522644043,-1.1298225491549785,-0.0012956392019987106,-0.0009840382263064384,0.007201054383872446,0.005418288831732045
stage2topheavy_topk,2022,TimesNet,long_term_forecast_market_2022_csattn_transformer_fp32_stage2topheavy_topk_TimesNet_TimesNet_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_backbone_stage2topheavy_topk_0,241,0.003532339120283723,0.6397002935409546,1.0260434108925618,2.7908143238164485e-05,0.00048678964958526194,0.013983755246040471,0.022016501172058903
stage2topheavy_topk,2022,Transformer,long_term_forecast_market_2022_csattn_transformer_fp32_stage2topheavy_topk_Transformer_Transformer_market_daily_ftMS_sl20_ll0_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_backbone_stage2topheavy_topk_0,241,-0.0008020413224585354,-0.5432109832763672,-0.181668883108596,0.0009031843510456383,0.0009684353717602789,0.029999817311106337,0.035890341170592886
stage2topheavy_topk,2022,WPMixer,long_term_forecast_market_2022_csattn_transformer_fp32_stage2topheavy_topk_WPMixer_WPMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_backbone_stage2topheavy_topk_0,241,0.002338710241019726,0.6114188432693481,1.3837540231751346,0.00013002574269194156,0.00033999510924331844,0.008177372606055755,0.01769631300998405
stage2topheavy_topk,2022,iTransformer,long_term_forecast_market_2022_csattn_transformer_fp32_stage2topheavy_topk_iTransformer_iTransformer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_backbone_stage2topheavy_topk_0,241,0.0035958546213805676,1.1243319511413574,1.865694610695927,0.0025447988882660866,0.0005096801905892789,0.0007114450497644766,-0.00046426456959592055
stage2topheavy_topk,2023,PatchTST,long_term_forecast_market_2023_csattn_transformer_fp32_stage2topheavy_topk_PatchTST_PatchTST_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_backbone_stage2topheavy_topk_0,241,0.001171592390164733,0.24031388759613037,0.7862092410310314,0.0005744349909946322,0.0006953645497560501,0.0028995349142569744,0.005296438939851233
stage2topheavy_topk,2023,TimeMixer,long_term_forecast_market_2023_csattn_transformer_fp32_stage2topheavy_topk_TimeMixer_TimeMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_backbone_stage2topheavy_topk_0,241,-0.0037547822576016188,-0.6333942413330078,-2.1042358753790986,-0.0009586928645148873,-0.0009064017795026302,0.00040174719441221505,0.006728194590663616
