year,variant,top1_mean,top1_pos,top3_mean,top5_mean,avg_regret,hit20,unique_top1,max_rep_top1,debias015_top1_mean
2018,single_head_csrank_topq_v1,0.006755111960619833,0.49173553719008267,0.006669129240730028,0.003738450506107438,0.197540488965,0.15289256198347106,69,64,0.005766633816942147
2018,stage2topheavy_topk_csrank_topq_headcand_v2,0.007553433725495867,0.49173553719008267,0.005679340009738291,0.0038437663282561967,0.19674216720012394,0.15289256198347106,62,62,0.008467165896694216
2019,single_head_csrank_topq_v1,0.016996767948971196,0.5432098765432098,0.0048142816611797,0.005989769014444445,0.21286740961481482,0.13991769547325103,51,72,0.00945709780452675
2019,stage2topheavy_topk_csrank_topq_headcand_v2,0.01466311591893004,0.5308641975308642,0.004825166185596709,0.004440365083292181,0.21520106164485595,0.1440329218106996,47,72,0.008135709016213992
2020,single_head_csrank_topq_v1,0.015146047640495867,0.45454545454545453,0.007188546766184572,0.0008145924905454554,0.27237783571487606,0.2024793388429752,52,60,0.009879839849421486
2020,stage2topheavy_topk_csrank_topq_headcand_v2,0.01405106646033058,0.45867768595041325,0.006255635605840221,0.0018588139039338854,0.27347281689504127,0.21074380165289255,52,63,0.009010264281239671
2021,single_head_csrank_topq_v1,0.04892835781818182,0.5950413223140496,0.02545227232203856,0.01701423044715702,0.21523617383471075,0.1652892561983471,68,45,0.015987043905082644
2021,stage2topheavy_topk_csrank_topq_headcand_v2,0.04985762513719008,0.6198347107438017,0.023577453071763087,0.01744857461850413,0.21430690651570247,0.18181818181818182,70,41,0.01951835139971074
2022,single_head_csrank_topq_v1,0.0026503566829875515,0.47717842323651455,0.0021633725484508986,0.00018418166765975133,0.22783846564066387,0.12863070539419086,80,51,-0.001943702794439834
2022,stage2topheavy_topk_csrank_topq_headcand_v2,0.0057256789630705405,0.48132780082987553,0.0022718425113139695,-0.00022066709839834123,0.2247631433605809,0.13278008298755187,78,51,-0.0015164499319502082
2023,single_head_csrank_topq_v1,0.010780180745477179,0.5145228215767634,0.00367100166362379,0.0022071725056431535,0.19732576624622405,0.1908713692946058,65,44,0.006056211798796681
2023,stage2topheavy_topk_csrank_topq_headcand_v2,0.011117836887551868,0.4979253112033195,0.005694500780995851,0.002660590547219917,0.19698811010414938,0.1950207468879668,69,39,0.005612226668506223
2024,single_head_csrank_topq_v1,0.05535371846348548,0.45228215767634855,0.028529831443706778,0.0157009572793361,0.29662110160290456,0.26556016597510373,41,44,0.05294725299709545
2024,stage2topheavy_topk_csrank_topq_headcand_v2,0.04963077061161827,0.47717842323651455,0.022359610962793913,0.01695873555634855,0.3023440494547717,0.27800829875518673,47,47,0.05780947571078838
2025,single_head_csrank_topq_v1,-0.015172266334876032,0.3925619834710744,-0.010369820899641873,-0.010008432958380166,0.23007030951669422,0.10330578512396695,113,43,-0.01043967516710744
2025,stage2topheavy_topk_csrank_topq_headcand_v2,-0.015498130512396693,0.38016528925619836,-0.01015304508325069,-0.008578598543256198,0.2303961736942149,0.10330578512396695,108,41,-0.009991944052066116
