group,year,model,variant,annual_cum_return,top1_mean,top1_sharpe,top3_mean,top5_mean,ic,rank_ic,unique,max_rep,debias015_top1_mean,num_days
baseline_before,2021,PatchTST,baseline_before,1.146403832894126,,1.7791544363827336,,,0.007147926130883643,-0.03804743087255491,11,148,,242
baseline_before,2021,TimeMixer,baseline_before,1.9905497066487206,,1.8496377373251205,,,0.006807991309153186,-0.038732823502087135,11,146,,242
baseline_before,2021,TimesNet,baseline_before,4.965689965173187,,1.9691888083662434,,,0.020870212224689714,-0.017858846980201397,20,123,,242
baseline_before,2021,WPMixer,baseline_before,1.873409049867131,,1.8375781617087792,,,0.006657313716486342,-0.03840319542805185,13,146,,242
baseline_before,2021,iTransformer,baseline_before,0.18756885345478458,,1.650211892877251,,,0.0091726255551962,-0.0330994899627712,17,137,,242
modified_stage2topheavy_topk,2021,PatchTST,modified_stage2topheavy_topk,0.7467099627215155,,1.480818971295945,,,0.010045282410144761,0.012402670700310496,225,3,,242
modified_stage2topheavy_topk,2021,TimesNet,modified_stage2topheavy_topk,3.0875427210159785,,2.458572766119794,,,0.009093839765490138,0.0179452167138537,211,4,,242
modified_stage2topheavy_topk,2021,WPMixer,modified_stage2topheavy_topk,-0.03741881504214617,,0.14714242581432938,,,0.00789975856610595,0.022560514775047967,230,2,,242
modified_stage2topheavy_topk,2021,iTransformer,modified_stage2topheavy_topk,1.2993157857285191,,2.235856386915097,,,0.0037818556657636627,0.006915845068231822,228,3,,242
transformer_old_mainline,2021,Transformer,transformer_headreg_lossstop_fullyear,0.012382962033215206,,0.5032265847246916,,,0.014875849400301691,0.0218433384656157,95,30,,242
transformer_old_mainline,2021,Transformer,transformer_stage2topheavy_lossstop_fullyear,-0.4693252305550828,,-0.4558086834722158,,,0.018303339100094674,0.03192940480114229,162,5,,242
transformer_old_mainline,2021,Transformer,transformer_stage2topheavy_topk_lossstop_fullyear,1.5080622656923994,,1.3814404810870629,,,0.01879958772356582,0.015642907902257024,113,28,,242
baseline_before,2022,PatchTST,baseline_before,-0.9378301418546272,,-1.6629638263016573,,,-0.011065828399837276,-0.05292072428091188,18,57,,241
