variant,year,model,dir,num_days,top1_mean_return,top1_cumulative_return,top1_sharpe,top3_mean_return,top3_cumulative_return,top3_sharpe,top5_mean_return,top5_cumulative_return,top5_sharpe,ic,rank_ic
baseline,2021,PatchTST,long_term_forecast_market_2021_20_fsA_PatchTST_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_backbone_baseline_0,242,0.03744243085384369,1.1464049816131592,1.7791546489004797,0.017771746963262558,14.66310977935791,2.208795074976974,0.012938483618199825,10.150601387023926,2.484030217108968,0.007147926006355082,-0.03804743087255491
baseline,2021,TimeMixer,long_term_forecast_market_2021_20_fsA_TimeMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_market_backbone_baseline_0,242,0.03896603360772133,1.9905486106872559,1.8496376145566564,0.018228204920887947,16.491905212402344,2.2663224022333135,0.01292093563824892,10.221638679504395,2.501082448321536,0.006807991350847772,-0.038732823502087135
baseline,2021,TimesNet,long_term_forecast_market_2021_20_fsA_TimesNet_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_market_backbone_baseline_0,242,0.04129871726036072,4.965693473815918,1.9691886556020017,0.021851593628525734,44.94092559814453,2.780142203871826,0.015460546128451824,20.74588966369629,3.103709500957145,0.02087021224437449,-0.017858846980201397
baseline,2021,Transformer,long_term_forecast_market_2021_20_fsA_iTransformer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_backbone_baseline_0,242,0.03457941859960556,0.18756890296936035,1.6502117776904044,0.017360743135213852,13.418492317199707,2.147813383350152,0.011386340484023094,6.795652389526367,2.1979528404026416,0.009172625510462024,-0.0330994899627712
baseline,2021,WPMixer,long_term_forecast_market_2021_20_fsA_WPMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_backbone_baseline_0,242,0.03866344690322876,1.8734095096588135,1.837578158424112,0.01740381121635437,14.237443923950195,2.2227951947474924,0.013447160832583904,11.603297233581543,2.5914003481723626,0.006657313715551756,-0.03840319542805185
baseline,2022,PatchTST,long_term_forecast_market_2022_20_fsA_PatchTST_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_backbone_baseline_0,241,-0.008317808620631695,-0.9378300905227661,-1.6629636889978576,-0.004157654941082001,-0.7447226047515869,-1.2089687287887179,-0.003085220232605934,-0.618126630783081,-1.1530286615643335,-0.011065828387300058,-0.05292072428091188
baseline,2022,TimeMixer,long_term_forecast_market_2022_20_fsA_TimeMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_market_backbone_baseline_0,241,-0.0030356948263943195,-0.7639513611793518,-0.6189499717671503,-0.0030953779350966215,-0.6610905528068542,-0.9339208085067039,-0.0021969007793813944,-0.520047128200531,-0.8471969500882348,-0.010770666694746139,-0.052273352324913584
baseline,2022,TimesNet,long_term_forecast_market_2022_20_fsA_TimesNet_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_market_backbone_baseline_0,241,0.002906480338424444,0.0676729679107666,0.6361205789284113,0.0025957145262509584,0.4167739152908325,0.858286950509795,0.001958274282515049,0.35879647731781006,0.8410141161208724,0.008761883397899536,-0.020787847568643138
baseline,2022,Transformer,long_term_forecast_market_2022_20_fsA_iTransformer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_backbone_baseline_0,241,-0.000573765195440501,-0.5609408020973206,-0.12008533204441466,0.0006918254075571895,-0.15062999725341797,0.2094337612622361,-0.0011014601914212108,-0.37626051902770996,-0.42275196040593327,-0.0060827737385607495,-0.045480404596313743
baseline,2022,WPMixer,long_term_forecast_market_2022_20_fsA_WPMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_backbone_baseline_0,241,-0.00818534567952156,-0.935966432094574,-1.620830088618453,-0.0032518459483981133,-0.6824961304664612,-0.9451348584366771,-0.0025729036424309015,-0.5649186372756958,-0.976672071216535,-0.011384968669320115,-0.05329495037089703
baseline,2023,PatchTST,long_term_forecast_market_2023_20_fsA_PatchTST_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_backbone_baseline_0,241,0.009134937077760696,2.6709723472595215,1.5849301686678585,0.0026588081382215023,0.47208380699157715,0.9024383080984465,0.002587792696431279,0.6026360988616943,1.1475804004491066,-0.012392909011731866,-0.0606811487087299
