variant,year,days,top1_mean,top1_sharpe,top1_cum,top1_pos,top3_mean,top3_sharpe,top3_cum,top3_pos,top5_mean,top5_sharpe,top5_cum,top5_pos,ic,rank_ic,debias015_top1_mean,debias015_top1_sharpe,unique_top1,max_rep_top1
headcand_v2,2015,243,0.059920451691358026,10.308541059357601,576262.653421872,0.8024691358024691,0.04764169272031551,12.373909661794258,53457.42297826771,0.8189300411522634,0.039227223213736624,11.355139937501038,8105.460616148452,0.8148148148148148,0.10039105285191677,0.07767144758727107,0.03543606647201646,7.657232963395476,151,7
headcand_v2,2016,243,0.04047946411851852,8.074236495069998,7892.560154801591,0.6790123456790124,0.022885222234170093,8.047228217921687,192.4001052671166,0.7283950617283951,0.014642368113670784,6.25949046178979,28.08725577194464,0.6790123456790124,0.06847286412050874,0.05849945417801128,0.024137267433209878,5.225305098461795,106,11
headcand_v2,2017,243,0.005923956558847735,1.5819465420728362,1.7568952517602177,0.4691358024691358,0.004526920353196159,2.2106403202127924,1.6378541648844855,0.5432098765432098,0.0023780788305679014,1.289352399583974,0.6041196798082502,0.5432098765432098,0.01544376015461773,0.006115594468463848,-0.0010599604811111114,-0.3825356105524682,98,35
headcand_v2,2018,242,0.007553433725495867,0.8170489833954401,-0.45311903520169705,0.49173553719008267,0.0056793400097382915,1.2775732000740727,1.2053272931053196,0.5330578512396694,0.003843766328256197,1.1796547756207783,0.8422955987159477,0.5578512396694215,0.02795356719845881,0.0025210086870260757,0.008467165896694216,1.1045348713342187,63,63
rankmain_weighted,2018,242,-0.0015686051653305787,-0.19231209243568462,-0.8910875739601599,0.44214876033057854,-0.001795228953911846,-0.5687470766246938,-0.5110687475871943,0.41735537190082644,-0.002746032472198347,-1.334728116269245,-0.5456398096454522,0.4214876033057851,-0.003972667200638508,-0.016393083315060807,-0.006271140311570249,-1.4455172999197579,81,15
single_head_csrank_topq_v1,2018,242,0.006755111960619833,0.7781645611171263,-0.4315092329391147,0.49173553719008267,0.006669129240730026,1.5129783085071908,1.839625465313441,0.5330578512396694,0.003738450506107437,1.1465321858089872,0.7953460131293546,0.5495867768595041,0.028692564924192615,0.0054631845897500884,0.005766633816942147,0.8181586880989625,71,66
twostage_v1,2018,242,0.003037258954834711,0.3278638583074916,-0.7992117598405613,0.4214876033057851,-0.0011164636670661155,-0.2569572391245866,-0.5670805429444088,0.4297520661157025,-0.0015263234247851235,-0.5015948689072427,-0.47765093080524224,0.4462809917355372,-0.006189210324737242,-0.00860223374256393,-0.010384314187603307,-3.458932083135269,92,38
headcand_v2,2019,243,0.01466311591893004,1.6704098822574953,2.6840383686887512,0.5308641975308642,0.004825166185596708,1.070652099487932,0.7390815187567581,0.5349794238683128,0.0044403650832921795,1.3305623546883134,1.0919659946019027,0.5102880658436214,0.015877261446969267,-0.009987487639770629,0.008135709016213992,1.0633878395867518,42,72
rankmain_weighted,2019,243,0.0058404459074074076,0.6554538686595723,-0.8290450120065196,0.5349794238683128,0.0014744629209053498,0.4559493954388617,0.03490269065415852,0.4897119341563786,0.002175078632378601,0.9768480583031912,0.457007385927088,0.51440329218107,0.004008862465690672,-0.009495133309169875,-0.006108073270781893,-0.7784529874539872,54,39
single_head_csrank_topq_v1,2019,243,0.016996767948971196,2.061327380432001,7.680317932402151,0.5432098765432098,0.0048142816611797,1.112059792990758,0.8122952383215924,0.5349794238683128,0.005989769014444445,1.8348943921826326,2.0897166693005507,0.5390946502057613,0.01626626098975316,-0.003846929982214509,0.00945709780452675,1.2710440078258929,47,72
twostage_v1,2019,243,0.003195678703292181,0.42324890746258936,-0.655963653972267,0.5061728395061729,-0.00405091402829904,-1.1962183010421719,-0.7375922161988968,0.4567901234567901,-0.002462111055440329,-0.9992813011371846,-0.5442512875159553,0.46502057613168724,-0.004511563258800285,-0.008876398241203414,0.000798127983950618,0.21005908767815776,114,29
headcand_v2,2020,242,0.01405106646033058,1.1913128741214603,-0.27381200613784296,0.45867768595041325,0.006255635605840221,1.2127595566483709,1.1002068034462487,0.5082644628099173,0.0018588139039338847,0.49125309218197927,0.02817980610465254,0.5041322314049587,0.008286156473678944,-0.017294058228411003,0.009010264281239671,0.8612450763294672,53,59
rankmain_weighted,2020,242,0.005703248257355371,0.701959568482534,-0.12278806226214012,0.48760330578512395,0.0036136670361101926,0.9338806792574122,0.6064486946994949,0.45867768595041325,0.011983824224938844,1.3195390709140842,4.280969829771014,0.49586776859504134,0.006525927711736806,-0.005597051905769417,0.0032986617680165298,0.7256064372207754,48,101
single_head_csrank_topq_v1,2020,242,0.015146047640495867,1.2765895064064132,-0.0879623072797805,0.45454545454545453,0.007188546766184572,1.3874355579857078,1.6129007700606368,0.49586776859504134,0.0008145924905454551,0.20907157633961995,-0.2230245971524225,0.49173553719008267,0.009527800378700251,-0.01096368491996899,0.009879839849421486,0.9767419878365466,51,57
twostage_v1,2020,242,0.0037645440958677706,0.3687383135808402,-0.8524116035276885,0.4049586776859504,0.002643384308636363,0.619256719983549,0.10378675056637965,0.4834710743801653,0.0017692220880413225,0.5830758602609668,0.15955161001243523,0.5165289256198347,-0.0016742793344362657,-0.005037820092356689,-0.0015670365815289252,-0.43168644089935515,81,67
headcand_v2,2021,242,0.04985762513719008,2.4054915917839,51.17176893321648,0.6198347107438017,0.02357745307176308,3.0194655642782267,67.0795058314472,0.6157024793388429,0.01744857461850413,3.316900744841103,31.280133040567854,0.5702479338842975,0.01918619257966897,-0.020025612024042537,0.01951835139971074,1.76556689056305,60,49
rankmain_weighted,2021,242,0.012563253104880167,0.746539285774324,-0.8269378452026495,0.47107438016528924,0.010161678906980717,1.5198377211886962,3.244456817887971,0.5247933884297521,0.008239940662214876,1.841841588307734,3.4611299413437884,0.5495867768595041,0.00994130448438542,0.001495243841181731,0.006428476146404962,0.7725482840770759,19,140
single_head_csrank_topq_v1,2021,242,0.04892835781818182,2.357733208348017,40.0088822362065,0.5950413223140496,0.02545227232203856,3.195488272916463,99.70015666101433,0.640495867768595,0.017014230447157018,3.233834838599665,28.100816205735796,0.5785123966942148,0.021407859397156816,-0.011297616982576884,0.015987043905082644,1.4370735997879218,57,54
twostage_v1,2021,242,0.03927153893731405,1.7895051396849706,1.7583435667830032,0.4628099173553719,0.015045089877314049,1.9278648159029501,8.200489669788825,0.49586776859504134,0.008969247805867768,1.818747123523971,3.6763655512612567,0.5289256198347108,0.0014967162195297055,-0.009459339561698294,-0.0004372623103305788,-0.15650398411519706,95,33
headcand_v2,2022,241,0.0057256789630705405,0.9117721224147081,0.23560316706163187,0.48132780082987553,0.002271842511313969,0.6170697261941013,0.14671572200086236,0.5145228215767634,-0.00022066709839834077,-0.07671200162346395,-0.2623245874563236,0.48132780082987553,0.0006464330504692228,-0.028815842912720165,-0.0015164499319502082,-0.29147685786632,74,51
rankmain_weighted,2022,241,0.0006748614894190863,0.19059106794465958,-0.18975087385391043,0.4854771784232365,0.00016382548521438458,0.08326265327337999,-0.07475204956245995,0.4896265560165975,0.00010726153219087106,0.06429476152991288,-0.0570333406538448,0.5352697095435685,-0.0035294573823835282,-0.0175413230510972,0.0019234953236514519,0.5344960752559276,40,36
single_head_csrank_topq_v1,2022,241,0.0026503566829875515,0.43024212760881914,-0.3981855746200028,0.47717842323651455,0.0021633725484508986,0.5959880014875036,0.1304082252630756,0.4979253112033195,0.00018418166765975087,0.06355165104220753,-0.1906796983019734,0.5062240663900415,0.0032381006626559868,-0.02022065882542676,-0.001943702794439834,-0.3655214262900059,75,52
