date,code,pred,true,tradable
2024-08-28,SH600198,0.45103854,0.14159292,True
2024-08-28,SZ000889,0.41330409,1.5227075e-12,True
2024-08-28,SZ000793,0.26501886500000005,0.042721517,True
2024-08-28,SH600868,0.20951588,0.06569768,True
2024-08-28,SH600811,0.15945535500000002,-0.009648784,True
2024-08-28,SH600653,0.151782095,0.020154832,True
2024-08-28,SZ000816,0.145061865,0.036427733,True
2024-08-28,SZ000826,0.14363367999999999,0.061349694,True
2024-08-28,SZ300125,0.11915299,-0.012430939,True
2024-08-28,SZ300117,0.10619058,0.07302406,True
2024-08-28,SH600094,0.095492278,0.12132823,True
2024-08-28,SZ000659,0.095311975,0.008191126,True
2024-08-28,SH600165,0.09389750499999999,0.104462475,True
2024-08-28,SZ300338,0.09125604200000001,0.012145749,True
2024-08-28,SH600187,0.089841592,0.057939913,True
2024-08-28,SZ300147,0.0883284375,0.039518252,True
2024-08-28,SZ000890,0.083160817,0.04347826,True
2024-08-28,SH600595,0.07993754,0.020969857,True
2024-08-28,SZ300460,0.07856962,0.0703125,True
2024-08-28,SZ000813,0.075445542,1.5227075e-12,True
