model,year,days,top1_mean,top1_sharpe,top1_cumret,top3_mean,top3_sharpe,top5_mean,top5_sharpe,rank_ic,unique_top1,max_rep_top1,debias015_top1_mean
Transformer,2018,242,0.012480093912975207,1.2683810039760193,0.245242300207968,0.003871978605964188,0.815700072361135,0.00320639471938843,0.9496417290603467,-0.026998244422599994,59,99,0.0006722207493801646
Transformer,2019,243,0.005023610311934157,0.4912462874209643,-0.9363620994310489,0.00151851220877915,0.3420796963908877,0.0016454074709300415,0.4951593593287597,-0.040532515950183264,55,42,-0.00395992934510288
Transformer,2020,242,0.024179342117644626,2.1335614015832247,12.993188551371693,0.008810073232947658,1.7098014655277245,0.008171603576694216,2.2366086349209273,-0.027772607965586935,50,50,0.007468376181239668
Transformer,2021,242,0.04872162961417355,2.379617017743574,75.10157608604507,0.01632463622342975,2.1374090675989077,0.010340019093374378,2.1676027334297765,-0.04470428979297695,47,57,0.010137500555619836
PatchTST,2022,241,-0.003308085681742739,-0.9030862612673218,-0.6998935581304151,-0.003942481401230981,-1.5746650082420428,-0.005050560482838173,-2.4680203799367986,-0.036226854331057684,222,2,-0.0005651551269709549
TimeMixer,2022,241,-0.006156616428215767,-1.6060586075369796,-0.8572791330848978,-0.006771608163762101,-2.6591177987516152,-0.005320590668929461,-2.427935174521462,-0.031100036875837903,220,4,-0.0011425307344398333
TimesNet,2022,241,-0.00350398132946058,-0.9416156787034875,-0.722168564781249,-0.0003438302646611339,-0.14131613295433842,-0.0003287038770124476,-0.16287084328608117,-0.023178458437825993,198,5,-0.0042618051885892115
Transformer,2022,241,0.0058544532347302915,1.1443266574254527,0.8777474877569014,0.0012492417423692946,0.39145478064727063,-0.0020341146864572613,-0.8141818027441626,-0.059637969590701084,48,49,0.002856848344107883
WPMixer,2022,241,-0.005593466540663901,-1.6129648094710318,-0.8209098436013904,-0.005086531081728906,-2.2828895706078356,-0.004138475850614108,-2.1143811284448906,-0.03116161607105349,217,3,-0.0066825515197510375
iTransformer,2022,241,-0.00424495987506224,-0.9965871468786687,-0.7935639187420738,-0.0037014733969432914,-1.38523611098976,-0.004158861187966805,-1.9520728784047214,-0.030508092958758698,221,2,-0.002375466737136929
PatchTST,2023,241,-0.0013667785006224063,-0.5039173602056255,-0.4235905993762087,-0.002166294025975103,-1.181713093230825,-0.0030520376433278013,-2.0776377587778243,-0.032611288889617035,225,3,-0.0014891799821576763
TimeMixer,2023,241,-0.00603921674713693,-1.7318152117142886,-0.8393575832660716,-0.005257244297316736,-2.3366156263788755,-0.004708314407975103,-2.742312920717128,-0.02920140174497408,217,3,-0.004206742692116182
TimesNet,2023,241,0.0032908471508298755,0.8279143874295412,0.38112955339645893,-0.0009156389611009684,-0.39849680155344386,-0.0005380093075817425,-0.3081067864598588,-0.024477536829505646,203,5,0.00038222249414937695
Transformer,2023,241,0.006420522935020747,1.0726504880259413,0.661316664925657,0.0049586906350899025,1.2414276733764265,0.0006129267774356832,0.20819432329461937,-0.06886403605297974,67,34,-0.0025314261159751035
WPMixer,2023,241,-0.006304291832199171,-1.9377313079743106,-0.8413500348116535,-0.0014068458018395567,-0.6827034381299204,-0.0019636074885228216,-1.1757119773991032,-0.030603411296165936,216,3,-0.002854814155850622
iTransformer,2023,241,-0.0036783908846473035,-1.0684072863897056,-0.7121641286932104,-0.004964948362434301,-2.6310690740976104,-0.0044637846421078835,-2.9003674201365377,-0.0300047393157628,208,4,-0.0038492479800829884
TimeMixer,2024,241,-0.0052705696600829875,-1.1140952116000422,-0.8586520117997978,-0.008935773812876902,-3.0236007962594442,-0.008367003627726141,-3.3123175014007025,-0.029391370697944813,221,3,-0.002982223100000001
TimesNet,2024,241,-0.0018133617141078832,-0.3646882017882505,-0.7029350335878222,-0.0007716107866666673,-0.2478841097136035,-0.0012232879480663886,-0.4733070435990483,-0.025364720650734966,191,5,-0.005038755280497924
Transformer,2024,241,0.05780484744688797,1.645292211057002,-0.7638239791510473,0.0280191667540249,1.9931850998275338,0.018151215061045646,1.9112556485896894,-0.05730375227932768,27,68,0.07824523117427386
WPMixer,2024,241,-0.008617765398921163,-1.9381720471641017,-0.9337562690710668,-0.008440468057662517,-2.8754176389045445,-0.006926845600215767,-2.8300022558144287,-0.03168931232968627,213,3,-0.007096229429211618
iTransformer,2024,241,-0.004501404669004149,-1.0345677048302182,-0.8115464156977644,-0.005581466871507606,-2.0528395067893905,-0.004836008296265559,-2.08772889049506,-0.030945539534438,204,5,-0.0035891049751037344
TimeMixer,2025,242,-0.005990038829338842,-1.4781464810876301,-0.858790228786595,-0.005062357995454546,-1.98367259934184,-0.005204555751041322,-2.35133333074903,-0.05228344167805357,213,4,-0.0064509286892562
TimesNet,2025,242,0.003347791022314049,0.6881664196059295,0.07263211030063332,0.0012389112493663911,0.42572346041816783,-0.0006471459176942145,-0.2837078630880053,-0.03358409322470407,187,4,0.002105327999586777
Transformer,2025,242,0.0014813201943388416,0.2902067565597609,-0.34914668397253834,-0.0023658338240495867,-0.797651314703006,-0.0007423944996363637,-0.3056149773291121,-0.050772204800244934,56,34,0.000897387658016529
WPMixer,2025,242,0.0008884544938016526,0.2342502684054483,-0.1904172682592391,-0.0009531304213911839,-0.3923262693000807,-0.003106157540264463,-1.6123478865815886,-0.049952963922582305,223,3,-0.0012450122037190093
iTransformer,2025,242,-0.0026982916272727283,-0.7258432306642019,-0.6578773303388187,-0.002511548680578512,-1.10203210979275,-0.00207925984909091,-1.1611462868771805,-0.050461979392608186,210,3,-0.0047549466194214875
