month,top1_mean,top3_mean,top5_mean,hit20,regret,max_prob
2018-01,0.001676375070000001,-0.000951036041818181,-0.007025775646454546,0.09090909090909091,0.1614937897027273,0.0005176959559356574
2018-02,0.03192762758,0.02751700783555555,0.022073350715999997,0.2,0.17756718175333333,0.000531690504336377
2018-03,0.023819010227272727,0.009220010645454545,0.007136515110909091,0.22727272727272727,0.1670168915909091,0.0005242897559192806
2018-04,-0.12497367737777777,-0.03581563589444445,-0.03131669436111111,0.1111111111111111,0.33834658404444445,0.0004815655073994917
2018-05,0.051010229918181826,0.013209290696969696,0.01845778171909091,0.13636363636363635,0.1840281269,0.0005024942300351796
2018-06,0.0176270124,0.0051644581349999975,-0.0010954694059999986,0.2,0.1792142653,0.0005189136378888807
2018-07,0.016354433633181818,0.011635188227727272,0.008205189799363636,0.13636363636363635,0.19393493954863636,0.0005521083269702322
2018-08,-0.02501292415652174,-0.008051646055072465,-0.00470577797652174,0.08695652173913043,0.21261928980869566,0.000540104584702645
2018-09,0.006199505010526315,0.0029855913368421073,0.001419207009473685,0.15789473684210525,0.1748454639368421,0.0006210446535238425
2018-10,0.02350361294444444,0.023491364948148147,0.013296559990000005,0.2222222222222222,0.23331982622222222,0.0006037480021509026
2018-11,0.04670509131818182,0.025043213039393938,0.020522136900636364,0.09090909090909091,0.18207820368181818,0.0004936539372839903
2018-12,0.00088511417368421,0.008880885917543858,-0.0020717960326315783,0.21052631578947367,0.18455576319473685,0.0004815123608405331
