year,model,feature_set,seq_len,prediction_path,completed,top1_mean,top1_sharpe,top3_mean,top5_mean,ic,rank_ic,unique,max_rep,debias015_top1_mean,debias015_top1_sharpe,num_days
2021,TimesNet,A,20,/huanghb28/aigc/cv_banc/zsw/zhuangcailin/project/Time-Series-Library2/test_results/long_term_forecast_market_2021_csattn_transformer_fp32_stage2topheavy_topk_TimesNet_TimesNet_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_backbone_stage2topheavy_topk_0/top1_predictions.csv,True,0.006778731025826446,2.458572766119794,0.005209352090082645,0.0032064864432975212,0.009093839765490138,0.0179452167138537,211,4,0.00686082382252066,2.432821327684498,242
2021,WPMixer,A,20,/huanghb28/aigc/cv_banc/zsw/zhuangcailin/project/Time-Series-Library2/test_results/long_term_forecast_market_2021_csattn_transformer_fp32_stage2topheavy_topk_WPMixer_WPMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_backbone_stage2topheavy_topk_0/top1_predictions.csv,True,0.0002698812914876034,0.14714242581432938,0.0004603135400413221,0.00033655617228099167,0.00789975856610595,0.022560514775047967,230,2,-0.0008037337791735537,-0.44249133559443143,242
