job_tag,topk_weight,head_concentration_weight,static_bias_weight,top1_mean,top1_sharpe,top3_mean,top5_mean,ic,rank_ic,unique,max_rep,debias015_top1_mean,debias015_top1_sharpe,num_days
s2hg_tw080_hc020_sb000_fy,0.08,0.02,0.0,0.044465966413636364,2.2736217828690624,0.017730853566666666,0.011911911771438015,0.020147308573883853,-0.009288104468495406,36,60,0.04296893893264463,2.199140176584968,242
s2hg_tw080_hc000_sb020_fy,0.08,0.0,0.02,0.04329976084793389,2.2818099442103326,0.014703412751336086,0.009962032398735535,0.018415947156398826,-0.010159162596882682,88,33,0.04044381027933885,2.1485903357640592,242
s2hg_tw080_hc000_sb000_fy,0.08,0.0,0.0,0.04219026905289257,2.140678307048498,0.01983195207424242,0.011839268579537189,0.020143429323769554,-0.00907755131390954,34,61,0.041356161674380165,2.131721262214401,242
s2hg_tw080_hc010_sb020_fy,0.08,0.01,0.02,0.041747126030578514,2.2055691348422486,0.015460092179242423,0.010320772881297518,0.01839432861858323,-0.010330480741286521,91,31,0.03379353328842975,1.9235573440424696,242
s2hg_tw080_hc010_sb000_fy,0.08,0.01,0.0,0.03973395648677686,2.0173941408419975,0.01749801951046832,0.011670840676396692,0.020034184121951355,-0.009204566065435845,34,63,0.041549523285950414,2.1402885551058977,242
s2hg_tw080_hc020_sb020_fy,0.08,0.02,0.02,0.03701036985289256,1.9560407610380415,0.013883079661198344,0.009855995196504132,0.018366007589633433,-0.01030334397495557,87,34,0.035053252225743806,1.861006456307516,242
s2hg_tw080_hc010_sb010_fy,0.08,0.01,0.01,0.036839908953719004,1.9262645016344522,0.014798819800055095,0.011859027294520659,0.01913231877996583,-0.009840965736745208,62,50,0.03927020680495868,2.074036601015063,242
s2hg_tw080_hc020_sb010_fy,0.08,0.02,0.01,0.036494154222727275,1.9048285442532975,0.014525871518099172,0.011502456479231404,0.01912050883064363,-0.009859953606386002,61,50,0.03800125422661157,1.9948617175961658,242
s2hg_tw080_hc000_sb010_fy,0.08,0.0,0.01,0.03549789385867769,1.854567399512948,0.013812641791597793,0.012623316762041323,0.01895329503098645,-0.009816485731470904,61,49,0.03644667150661157,1.9160811137477545,242
s2hg_tw050_hc010_sb010_fy,0.05,0.01,0.01,0.035446437488595044,1.893860767767043,0.012471933881776857,0.00837968379790909,0.02091770956505487,0.0028046585492901522,88,30,0.02894798919710744,1.661523743488035,242
s2hg_tw050_hc010_sb000_fy,0.05,0.01,0.0,0.03452874959355372,1.8197316138025215,0.011499916535316802,0.01075138221790909,0.02155227292767876,0.0026254240706883192,56,48,0.025944087969173555,1.480505410231775,242
s2hg_tw050_hc020_sb000_fy,0.05,0.02,0.0,0.03375706060785123,1.7775184813295548,0.01533258596796143,0.011179884882454543,0.021784843533455035,0.002806014618927312,51,50,0.03200711602289255,1.6992952451057932,242
s2hg_tw030_hc020_sb010_fy,0.03,0.02,0.01,0.032773550188842974,1.8870920136976392,0.016992759026501377,0.011262836521876032,0.021263346563028616,0.012243667833153228,113,26,0.026052005985950415,1.5270429467729838,242
s2hg_tw050_hc000_sb000_fy,0.05,0.0,0.0,0.03186176261033058,1.7843061217672875,0.01273027634936639,0.010605416795429751,0.02150674945417439,0.00265121634180654,54,43,0.03252324562619834,1.8475618461811143,242
s2hg_tw050_hc000_sb010_fy,0.05,0.0,0.01,0.031832825231157026,1.8193212442844158,0.014861938473512398,0.008892722693446282,0.020792225257957465,0.00283723700575565,88,29,0.033641101552644624,1.9229513881155045,242
s2hg_tw030_hc020_sb000_fy,0.03,0.02,0.0,0.029902666202644625,1.718183706604946,0.012470724290730028,0.0076013070703057845,0.022173597905940215,0.011854981984297302,76,33,0.02934047855318182,1.6945934753890475,242
s2hg_tw050_hc010_sb020_fy,0.05,0.01,0.02,0.029616815054132235,1.7014422363866921,0.016527362109008265,0.010602605450578511,0.02010221443969265,0.002710594675461534,117,23,0.023944656551239667,1.3882048969226501,242
s2hg_tw030_hc000_sb000_fy,0.03,0.0,0.0,0.029368218717520655,1.6873498363422554,0.012499207046928373,0.007940835576090906,0.021934139516178647,0.011904535407946804,81,33,0.029308290353884298,1.6879205892733433,242
s2hg_tw050_hc020_sb010_fy,0.05,0.02,0.01,0.029134546182644626,1.669429428823877,0.012544353036597795,0.007607074198123966,0.020630681259229056,0.002753622121425654,86,29,0.029329031146404956,1.7009124593199336,242
s2hg_tw050_hc020_sb020_fy,0.05,0.02,0.02,0.027746528526859507,1.6082903677225087,0.013158335976170797,0.010578672997355373,0.020483765181346026,0.002887138186930121,114,23,0.02268286265702479,1.3247095444220052,242
s2hg_tw030_hc010_sb000_fy,0.03,0.01,0.0,0.027191475782396692,1.5554234789497574,0.012073209256432505,0.007098597449396693,0.022073397260911228,0.01182659375458424,77,34,0.0279174225431405,1.6040277237967526,242
s2hg_tw030_hc000_sb010_fy,0.03,0.0,0.01,0.025395565513223143,1.5811034385853622,0.014163404447438015,0.011587682181380165,0.021194200419526667,0.012304314637194039,117,27,0.011244607028512396,1.345711937752079,242
s2hg_tw050_hc000_sb020_fy,0.05,0.0,0.02,0.024323387324793392,1.5048381342661992,0.016141869299366392,0.00968657347801653,0.02041024513869595,0.002806797231632532,108,25,0.024245700392975206,1.4034987675239248,242
s2hg_tw030_hc020_sb020_fy,0.03,0.02,0.02,0.02006745182768595,1.2536133780470298,0.009697879211983472,0.009936713170371902,0.021061971697892763,0.012652298957881149,133,19,0.015297256147107436,0.9597410917511789,242
s2hg_tw030_hc010_sb020_fy,0.03,0.01,0.02,0.017510943808677685,1.0917670468142244,0.009513418805550965,0.009372814899140497,0.02085920257238607,0.01257160931022429,130,19,0.016149052726446282,1.0278946302772587,242
s2hg_tw030_hc010_sb010_fy,0.03,0.01,0.01,0.009281853272727271,1.5765100793938214,0.01466472399100551,0.011243059452867767,0.021203814861804463,0.012340615884398703,112,27,0.0036026026553719007,0.6308284210433226,242
s2hg_tw030_hc000_sb020_fy,0.03,0.0,0.02,0.004734484204958677,0.8489267654132946,0.006324507392603305,0.00904453982294215,0.020888823806523155,0.012576802320568087,130,18,0.0012031865615702473,0.22707321777089046,242
