quantile,threshold,fallback_source,num_days,switch_count,switch_rate,active_selector_rate,fallback_rate,left_usage_rate,right_usage_rate,mean_return,cumulative_return,sharpe,alpha_vs_left_mean,alpha_vs_right_mean,active_day_mean_return,fallback_day_mean_return,top1_positive_share,top5_positive_share,top10_positive_share,bottom1_negative_share,bottom5_negative_share,bottom10_negative_share
0.5,0.017487471500000008,right,2340,509,0.2176143651132963,0.5,0.5,0.24188034188034188,0.7581196581196581,0.015523756050385437,0.7545328025269653,0.7784703192831276,0.004199242784192361,0.003372120632171495,0.02977581284233202,0.0012716992584388615,0.09323189218421121,0.236012753242426,0.27298541484482225,0.010872097278962801,0.04736731237938132,0.07961567805450062
0.6,0.024925435999999978,right,2340,409,0.1748610517315092,0.4,0.6,0.19017094017094016,0.8098290598290598,0.015427430285964244,0.41042466387438425,0.7736694852609142,0.004102917019771167,0.0032757948677502994,0.035320801598799446,0.002165182744074109,0.09324826532051297,0.23605420117282042,0.27303335581545934,0.010843741533115094,0.047243772694548145,0.07940803072809427
0.6,0.024925435999999978,left,2340,324,0.13852073535699017,0.4,0.6,0.7901709401709401,0.20982905982905983,0.015100653405962157,-0.28196251267613437,0.7555937760758159,0.003776140139769079,0.0029490179877482135,0.035320801598799446,0.0016205546107372982,0.09423982817542098,0.23856430231865333,0.28383757604568627,0.010905154547095208,0.04751133555226687,0.07728328726259173
0.7,0.038258768,right,2340,307,0.13125267208208635,0.3,0.7,0.14273504273504273,0.8572649572649572,0.0150338536511968,-0.492909053396296,0.7536700367980772,0.0037093403850037205,0.002882218232982855,0.022544482702821965,0.011815012629071727,0.09348147776158174,0.236644569007448,0.27371620793269774,0.010756996751051651,0.04686584495127537,0.07877280419686793
0.5,0.017487471500000008,left,2340,384,0.16417272338606242,0.5,0.5,0.7418803418803419,0.25811965811965815,0.01494359960280211,-0.5883910564234652,0.7471718733245128,0.0036190863366090302,0.002791964184588164,0.02977581284233202,0.00011138636327219933,0.09376592723744037,0.2373646413172872,0.28241025071916076,0.010775494219184641,0.046946434310329244,0.07636440286483294
0.0,3.4280000000067035e-06,left,2340,738,0.3155194527575887,1.0,0.0,0.4905982905982906,0.5094017094017094,0.014516205540214253,-0.8899763676807106,0.7255056330695268,0.0031916922740211733,0.0023645701220003073,0.014516205540214253,0.0,0.09354534273868846,0.23680624060639982,0.27967671358317686,0.010605508178905845,0.04620584289880832,0.0771023937650646
0.0,3.4280000000067035e-06,right,2340,738,0.3155194527575887,1.0,0.0,0.4905982905982906,0.5094017094017094,0.014516205540214253,-0.8899763676807106,0.7255056330695268,0.0031916922740211733,0.0023645701220003073,0.014516205540214253,0.0,0.09354534273868846,0.23680624060639982,0.27967671358317686,0.010605508178905845,0.04620584289880832,0.0771023937650646
0.8,0.06700112400000001,left,2340,164,0.07011543394613083,0.2,0.8,0.8961538461538462,0.10384615384615385,0.014230134899107218,-0.42615551583004174,0.7233505044718344,0.0029056216329141375,0.0020784994808932724,0.026125300744486935,0.011256343437762288,0.09713251525596837,0.23457044135892705,0.2722407984247369,0.01109597179434793,0.04834268390448247,0.07863558209439835
0.7,0.038258768,left,2340,258,0.11030354852501069,0.3,0.7,0.8427350427350427,0.15726495726495726,0.013897247252549837,-0.7757527480132164,0.7059602134696227,0.002572733986356758,0.0017456118343358925,0.022544482702821965,0.010191289202433208,0.09690062814758678,0.234010444933269,0.27159087052609404,0.010947544567610667,0.04769601945381818,0.07758369934005616
0.9,0.1694916809999999,left,2340,50,0.021376656690893545,0.1,0.9,0.9495726495726495,0.05042735042735043,0.013701986493956536,-0.8892824300232942,0.6961209015974389,0.002377473227763457,0.0015503510757425912,0.04212935378679003,0.010543390128086149,0.0980010922593331,0.23666801384015604,0.27467522623983304,0.011058707721101874,0.04892512619927794,0.0826731888674982
0.95,0.32482553049999957,left,2340,42,0.01795639162035058,0.05,0.95,0.9705128205128205,0.029487179487179487,0.013597142730406991,-0.8938418051941437,0.6914578513951906,0.0022726294642139116,0.0014455073121930457,0.06499340912855076,0.010892076077873111,0.09863393975506843,0.23819631068283878,0.27644895676730946,0.011124371727794747,0.04921563209700312,0.08316408282762683
0.8,0.06700112400000001,right,2340,191,0.08165882855921335,0.2,0.8,0.09615384615384616,0.9038461538461539,0.012251295587822975,-0.8093921258737966,0.6888728037253716,0.0009267823216298959,9.96601696090302e-05,0.026125300744486935,0.008782794298656985,0.0998855160920917,0.19817457327597662,0.23486768108414022,0.01087077989041746,0.04583840841990023,0.07511915956324629
0.9,0.1694916809999999,right,2340,104,0.04446344591705857,0.1,0.9,0.04957264957264957,0.9504273504273504,0.01216059084274386,-0.8614421031777009,0.6832640055554039,0.0008360775765507798,8.95542452991452e-06,0.04212935378679003,0.008830728293405398,0.09968472999228763,0.19777621021789585,0.2343955589236917,0.01081181550051087,0.04558977549622645,0.074711704398245
0.95,0.32482553049999957,right,2340,56,0.02394185549380077,0.05,0.95,0.020512820512820513,0.9794871794871794,0.012096552302572922,-0.8826624849169167,0.679602429403579,0.0007720390363798401,-5.508311564102566e-05,0.06499340912855076,0.009312507206468824,0.09983751007988528,0.19807932852622814,0.2347548012472415,0.01081379872113637,0.04559813806799544,0.07472540883050449
