date,code,pred,true,selected_source,gated_active_selector,confidence_edge
2015-04-21,SZ300380,0.13313498,0.1263987,right,False,-0.0027934500000000306
2015-04-22,SZ300380,0.13161927,-0.06905762,right,False,-0.0031804100000000224
2015-04-23,SZ300380,0.1277327,-0.0354299,right,False,0.010964660000000001
2015-04-24,SZ300380,0.13069282,-0.10685161,right,False,0.002790470000000017
2015-04-27,SZ300380,0.13013385,0.0775362,right,False,-0.0014662499999999745
2015-04-28,SZ300380,0.12911315,0.028477166,right,False,0.009408360000000004
2015-04-29,SZ300377,0.15363725,-0.056214865,left,True,0.02348053
2015-04-30,SZ300377,0.164345,-0.016545335,left,True,0.025978859999999993
2015-05-04,SZ300377,0.13109241,0.090780616,right,False,0.014415349999999993
2015-05-05,SZ300380,0.13071615,0.11949877,right,False,0.007431910000000014
2015-05-06,SZ300377,0.1728452,0.09451355,left,True,0.022017829999999988
2015-05-07,SZ300380,0.13398169,0.004455684,right,False,-0.006488889999999969
2015-05-08,SZ300380,0.12979418,0.047164608,right,False,0.00019202999999998194
2015-05-11,SZ300380,0.12631193,-0.021798864,right,False,0.0042350700000000074
2015-05-12,SZ300380,0.1278764,-0.121465355,right,False,0.00217023999999999
2015-05-13,SZ002657,0.13079868,0.11686595,right,False,-0.0017622700000000102
2015-05-14,SZ300380,0.1290712,-0.07508558,right,False,0.01210170000000002
2015-05-15,SZ300380,0.18284363,0.032526474,left,True,0.017682870000000017
2015-05-18,SZ300380,0.12783127,-0.005232862,right,False,0.014327840000000008
2015-05-19,SZ300359,0.12840553,0.01493419,right,False,0.012503080000000028
2015-05-20,SZ300359,0.13098773,-0.14536853,right,False,0.01373654000000002
2015-05-21,SZ300380,0.13483906,-0.024281379,right,False,0.014968819999999994
2015-05-22,SZ300380,0.18481202,0.025922537,left,True,0.019915410000000022
2015-05-25,SZ300380,0.13521215,-0.048513673,right,False,-0.0018806799999999957
2015-05-26,SZ300380,0.13530399,-0.029617596,right,False,-0.004444110000000001
2015-05-27,SZ300380,0.13749121,0.024339987,right,False,-0.008968100000000034
2015-05-28,SZ300380,0.13930264,0.00075433747,right,False,-0.008723869999999995
2015-05-29,SZ300380,0.14052674,0.031407036,right,False,-0.0011444100000000124
2015-06-01,SZ300380,0.1379698,0.08447016,right,False,0.00864311000000001
2015-06-02,SH600571,0.1748639,0.0695265,left,True,0.01749980000000001
2015-06-03,SZ300085,0.13451989,-0.08314437,right,False,0.013327199999999984
2015-06-04,SZ300085,0.13328446,-0.10992031,right,False,0.01745104000000003
2015-06-05,SZ300085,0.13384831,0.04116497,right,False,0.014379529999999974
2015-06-08,SZ300085,0.13313158,0.13146189,right,False,0.015173120000000012
2015-06-09,SZ300085,0.1337257,0.0525902,right,False,0.007383499999999987
2015-06-10,SZ300085,0.13509595,-0.06290978,right,False,0.006463059999999993
2015-06-11,SZ300085,0.13533165,-0.14197148,right,False,-0.005234800000000012
2015-06-12,SZ300085,0.13222069,-0.068125516,right,False,-0.0003008099999999847
2015-06-15,SZ300085,0.13574767,0.11331414,right,False,0.0001493500000000203
2015-06-16,SZ300085,0.13172677,-0.054123968,right,False,0.0005903399999999948
2015-06-17,SZ300140,0.13538006,-0.02014295,right,False,0.005479630000000013
2015-06-18,SZ300085,0.13547003,0.026478933,right,False,-0.0009396399999999638
2015-06-19,SZ300085,0.13710478,-0.047497187,right,False,0.009018340000000014
2015-06-23,SZ300085,0.14499326,-0.17302525,right,False,0.009157659999999984
2015-06-24,SZ300085,0.14638232,-0.049122807,right,False,-0.002644210000000008
2015-06-25,SZ300085,0.14899953,-0.19242859,right,False,-0.005930700000000011
2015-06-26,SZ300085,0.14691705,0.18547978,right,False,0.008463690000000024
2015-06-29,SZ300085,0.14620505,-0.122198425,right,False,0.0013601400000000097
2015-06-30,SZ300085,0.14713639,-0.14685315,right,False,0.01355265
2015-07-01,SH600727,0.20815226,0.091908656,left,True,0.027515099999999987
2015-07-02,SH600727,0.22487009,-0.39220244,left,True,0.04010521
2015-07-03,SZ300276,0.18331341,-0.11646703,left,True,0.03187704999999999
2015-07-06,SH600727,0.17176901,0.23645598,right,False,0.008005819999999997
2015-07-07,SH600727,0.23191267,0.21040621,left,True,0.017952709999999983
2015-07-08,SZ300033,0.15016949,0.08715626,right,False,0.00018597000000000752
2015-07-09,SZ300033,0.15104261,-2.0224235e-12,right,False,0.0002303000000000166
2015-07-10,SZ300380,0.14966236,-2.0224235e-12,right,False,0.00854262
2015-07-13,SZ300085,0.15529732,-0.26297358,right,False,0.010270469999999976
2015-07-14,SZ300140,0.15182461,0.0036481556,right,False,-0.01114873999999999
2015-07-15,SH600727,0.17379205,0.16099164,right,False,-0.01658604999999999
2015-07-16,SH600727,0.18041158,-0.021867765,right,False,-0.010246519999999981
2015-07-17,SH600727,0.18826945,0.041031037,right,False,-0.012740269999999998
2015-07-20,SH600727,0.18437621,0.014401212,right,True,-0.02165774000000001
2015-07-21,SH600727,0.18849835,0.10610212,right,True,-0.02430887000000001
2015-07-22,SH600727,0.190659,-0.11191173,right,True,-0.02849773
2015-07-23,SH600727,0.19329627,-0.24112575,right,True,-0.02721989999999999
2015-07-24,SH600727,0.19138882,0.13264284,right,True,-0.020468319999999984
2015-07-27,SH600727,0.18830614,0.09026549,right,True,-0.02077798
2015-07-28,SH600727,0.18746138,-0.038419914,right,False,-0.011462030000000012
2015-07-29,SH600727,0.1865971,-0.08806978,right,False,-0.010662429999999973
2015-07-30,SH600727,0.1868374,-0.054612774,right,False,-0.011383329999999997
2015-07-31,SH600727,0.19013084,0.13674934,right,False,-0.0072825900000000054
2015-08-03,SH600727,0.1904254,-0.05110537,right,False,-0.007590650000000004
2015-08-04,SH600727,0.18789364,0.055975795,right,False,0.002035339999999969
2015-08-05,SH600727,0.1818565,0.07507163,right,False,-0.0049437599999999915
2015-08-06,SH600727,0.26261082,0.08715352,left,True,0.021722320000000017
2015-08-07,SH600727,0.17068306,0.0017161069,right,False,0.004319050000000019
2015-08-10,SH600727,0.17381936,-0.029613314,right,False,0.0034549100000000055
2015-08-11,SH600727,0.25517562,0.12005044,left,True,0.018670980000000004
2015-08-12,SH600727,0.270768,-0.0047286646,left,True,0.03487923000000001
2015-08-13,SZ002506,0.29292673,0.099427626,left,True,0.022412150000000047
2015-08-14,SH600727,0.22960973,-0.20765139,left,True,0.02541462
2015-08-17,SZ002506,0.19751474,0.05021834,right,False,0.009391680000000013
2015-08-18,SZ002506,0.18461135,-0.14462924,right,False,0.003937139999999978
2015-08-19,SH600727,0.18239366,-0.1369606,right,False,0.00982909999999998
2015-08-20,SH600868,0.17673029,-0.13932443,right,False,0.014647009999999988
2015-08-21,SH600727,0.26619852,0.012246622,left,True,0.023377500000000023
2015-08-24,SH600727,0.2640591,-0.06508135,left,True,0.029132500000000006
2015-08-25,SH600727,0.24584045,0.1200357,left,True,0.024469620000000025
2015-08-26,SH600727,0.26248503,0.10199203,left,True,0.02572812000000002
2015-08-27,SZ002506,0.23278563,-0.154344,right,True,-0.02349519
2015-08-28,SH600727,0.2543362,-0.1847184,left,True,0.02505279000000002
2015-08-31,SH600727,0.19785187,0.034299515,right,False,-0.0011389300000000102
2015-09-01,SH600727,0.19741525,0.0032695003,right,False,0.002208549999999976
2015-09-02,SZ002506,0.27262574,0.017057253,left,True,0.017754040000000026
2015-09-07,SH600727,0.20650464,0.05444941,right,False,-0.0005035199999999795
2015-09-08,SZ002506,0.39611277,0.0066298344,left,True,0.12674961999999998
2015-09-09,SZ002506,0.3709102,-0.020993413,left,True,0.08735999000000003
2015-09-10,SZ002506,0.56853956,-0.14898388,left,True,0.30667379000000006
2015-09-11,SZ002506,0.2747027,-0.012681159,left,True,0.039978910000000006
2015-09-14,SH600727,0.20868076,0.15261708,right,False,0.00913905000000001
2015-09-15,SZ002506,0.3280808,-0.01213476,left,True,0.06954700999999999
2015-09-16,SZ002506,0.3558861,-0.0680459,left,True,0.08186411999999998
2015-09-17,SH600727,0.22712722,0.16585603,right,False,0.011046900000000026
2015-09-18,SH600727,0.22792588,0.1864831,right,False,-0.010932410000000004
2015-09-21,SH600727,0.23414741,0.032348804,right,False,-0.0074239599999999795
2015-09-22,SZ002506,0.3579923,0.004539559,left,True,0.08938624
