date,left_gap,right_gap,selected_source,confidence_edge,left_code,left_pred,left_true,right_code,right_pred,right_true,selected_code,selected_pred,selected_true,fold_year,disagreement,selected_is_left,selected_matches_left_pick,selected_matches_right_pick,top1_change_vs_left,top1_change_vs_right,selected_return,left_return,right_return,selector_alpha_vs_left,selector_alpha_vs_right,switch_from_prev,is_top_decile_day,is_bottom_decile_day
2015-01-29,0.004215120000000017,0.014933816000000003,right,-0.010718695999999986,SZ300085,0.13139938,0.0924795,SZ300162,0.10028573,0.034812883,SZ300162,0.10028573,0.034812883,2015,True,False,False,True,True,False,0.034812883,0.0924795,0.034812883,-0.057666617,0.0,False,False,False
2015-01-30,0.002467280000000016,0.012451840000000006,right,-0.00998455999999999,SZ300085,0.1282191,0.10509504,SZ300162,0.0968124,0.03195963,SZ300162,0.0968124,0.03195963,2015,True,False,False,True,True,False,0.03195963,0.10509504,0.03195963,-0.07313541,0.0,False,False,False
2015-02-02,0.0018925299999999756,0.010589479999999998,right,-0.008696950000000023,SZ300162,0.1297726,-0.021189895,SZ300162,0.09760026,-0.021189895,SZ300162,0.09760026,-0.021189895,2015,False,False,True,True,False,False,-0.021189895,-0.021189895,-0.021189895,0.0,0.0,False,False,False
2015-02-03,0.0072801700000000025,0.004666379999999998,left,0.0026137900000000047,SZ300085,0.13016383,0.090297654,SZ300085,0.09544907,0.090297654,SZ300085,0.13016383,0.090297654,2015,False,True,True,True,False,False,0.090297654,0.090297654,0.090297654,0.0,0.0,True,False,False
2015-02-04,0.011993370000000003,0.010612559999999993,left,0.00138081000000001,SZ300085,0.1315356,0.029268933,SZ300085,0.10155599,0.029268933,SZ300085,0.1315356,0.029268933,2015,False,True,True,True,False,False,0.029268933,0.029268933,0.029268933,0.0,0.0,False,False,False
2015-02-05,0.010329829999999984,0.014840023999999993,right,-0.004510194000000009,SZ300085,0.12780993,0.03289977,SZ300085,0.103395514,0.03289977,SZ300085,0.103395514,0.03289977,2015,False,False,True,True,False,False,0.03289977,0.03289977,0.03289977,0.0,0.0,True,False,False
2015-02-06,0.008850979999999994,0.0179222,right,-0.009071220000000005,SZ300085,0.1286038,0.018641975,SZ300085,0.10446729,0.018641975,SZ300085,0.10446729,0.018641975,2015,False,False,True,True,False,False,0.018641975,0.018641975,0.018641975,0.0,0.0,False,False,False
2015-02-09,0.013380780000000009,0.008845919999999993,left,0.0045348600000000155,SZ300085,0.1286451,-0.0015755666,SZ300085,0.10739161,-0.0015755666,SZ300085,0.1286451,-0.0015755666,2015,False,True,True,True,False,False,-0.0015755666,-0.0015755666,-0.0015755666,0.0,0.0,True,False,False
2015-02-10,0.00818571500000001,0.009124484000000002,right,-0.0009387689999999921,SZ300085,0.12786226,-0.028040787,SZ300085,0.109596744,-0.028040787,SZ300085,0.109596744,-0.028040787,2015,False,False,True,True,False,False,-0.028040787,-0.028040787,-0.028040787,0.0,0.0,True,False,False
2015-02-11,0.005854234999999985,0.01120549400000001,right,-0.005351259000000025,SZ300085,0.1256665,-0.0054951916,SZ300085,0.111855164,-0.0054951916,SZ300085,0.111855164,-0.0054951916,2015,False,False,True,True,False,False,-0.0054951916,-0.0054951916,-0.0054951916,0.0,0.0,False,False,False
2015-02-12,0.012307000000000012,0.018068490000000006,right,-0.005761489999999994,SZ300085,0.12810287,0.10724601,SZ300085,0.119038,0.10724601,SZ300085,0.119038,0.10724601,2015,False,False,True,True,False,False,0.10724601,0.10724601,0.10724601,0.0,0.0,False,False,False
2015-02-13,0.010645350000000012,0.017835344000000003,right,-0.007189993999999991,SZ300085,0.12503831,0.13655439,SZ300085,0.117842734,0.13655439,SZ300085,0.117842734,0.13655439,2015,False,False,True,True,False,False,0.13655439,0.13655439,0.13655439,0.0,0.0,False,True,False
2015-02-16,0.010159163999999998,0.019603770000000006,right,-0.009444606000000008,SZ300085,0.12642239,-0.1179523,SZ300085,0.12130581,-0.1179523,SZ300085,0.12130581,-0.1179523,2015,False,False,True,True,False,False,-0.1179523,-0.1179523,-0.1179523,0.0,0.0,False,False,True
2015-02-17,0.019456844000000015,0.014327324000000002,left,0.005129520000000012,SZ300085,0.12828895,-0.0031677792,SZ300085,0.119163394,-0.0031677792,SZ300085,0.12828895,-0.0031677792,2015,False,True,True,True,False,False,-0.0031677792,-0.0031677792,-0.0031677792,0.0,0.0,True,False,False
2015-02-25,0.01563531,0.020466519999999988,right,-0.004831209999999989,SZ300085,0.1290753,0.010214505,SZ300085,0.12586376,0.010214505,SZ300085,0.12586376,0.010214505,2015,False,False,True,True,False,False,0.010214505,0.010214505,0.010214505,0.0,0.0,True,False,False
2015-02-26,0.012090084000000015,0.01851525999999999,right,-0.006425175999999977,SZ300085,0.12669946,0.010672958,SZ300085,0.12857088,0.010672958,SZ300085,0.12857088,0.010672958,2015,False,False,True,True,False,False,0.010672958,0.010672958,0.010672958,0.0,0.0,False,False,False
2015-02-27,0.011263835999999985,0.014058139999999997,right,-0.0027943040000000113,SZ300085,0.12760828,-0.040462427,SZ300085,0.12997887,-0.040462427,SZ300085,0.12997887,-0.040462427,2015,False,False,True,True,False,False,-0.040462427,-0.040462427,-0.040462427,0.0,0.0,False,False,False
2015-03-02,0.00749553,0.017687036000000003,right,-0.010191506000000003,SZ300085,0.131854,-0.000115848,SZ300085,0.14070308,-0.000115848,SZ300085,0.14070308,-0.000115848,2015,False,False,True,True,False,False,-0.000115848,-0.000115848,-0.000115848,0.0,0.0,False,False,False
2015-03-03,0.010223806000000016,0.01905018400000001,right,-0.008826377999999996,SZ300085,0.12781015,-0.017379215,SZ300085,0.1384149,-0.017379215,SZ300085,0.1384149,-0.017379215,2015,False,False,True,True,False,False,-0.017379215,-0.017379215,-0.017379215,0.0,0.0,False,False,False
2015-03-04,0.008188540000000008,0.01889194000000001,right,-0.010703400000000002,SZ300085,0.12239529,-0.04905082,SZ300085,0.13852353,-0.04905082,SZ300085,0.13852353,-0.04905082,2015,False,False,True,True,False,False,-0.04905082,-0.04905082,-0.04905082,0.0,0.0,False,False,False
2015-03-05,0.0015925059999999935,0.017018679999999994,right,-0.015426174,SZ300085,0.115063526,0.056416616,SZ300085,0.13737944,0.056416616,SZ300085,0.13737944,0.056416616,2015,False,False,True,True,False,False,0.056416616,0.056416616,0.056416616,0.0,0.0,False,False,False
2015-03-06,0.003430085999999999,0.01635568500000001,right,-0.01292559900000001,SZ300085,0.120990366,0.017488264,SZ300085,0.14016579,0.017488264,SZ300085,0.14016579,0.017488264,2015,False,False,True,True,False,False,0.017488264,0.017488264,0.017488264,0.0,0.0,False,False,False
2015-03-09,0.003616584000000006,0.014387654,right,-0.010771069999999994,SZ300085,0.11849015,-0.029645866,SZ300085,0.1374544,-0.029645866,SZ300085,0.1374544,-0.029645866,2015,False,False,True,True,False,False,-0.029645866,-0.029645866,-0.029645866,0.0,0.0,False,False,False
2015-03-10,0.008475709999999997,0.015974000000000016,right,-0.0074982900000000186,SZ300085,0.11689797,-0.0036852115,SZ300085,0.13673866,-0.0036852115,SZ300085,0.13673866,-0.0036852115,2015,False,False,True,True,False,False,-0.0036852115,-0.0036852115,-0.0036852115,0.0,0.0,False,False,False
2015-03-11,0.006040669999999998,0.013004034000000012,right,-0.0069633640000000135,SZ300085,0.117162295,0.0906813,SZ300085,0.13425818,0.0906813,SZ300085,0.13425818,0.0906813,2015,False,False,True,True,False,False,0.0906813,0.0906813,0.0906813,0.0,0.0,False,False,False
2015-03-12,0.0012308800000000036,0.01094853400000001,right,-0.009717654000000006,SZ300085,0.11545244,0.03828903,SZ300085,0.13274626,0.03828903,SZ300085,0.13274626,0.03828903,2015,False,False,True,True,False,False,0.03828903,0.03828903,0.03828903,0.0,0.0,False,False,False
2015-03-13,0.007257395999999999,0.014719884000000003,right,-0.007462488000000003,SZ300085,0.12031872,-0.04035402,SZ300085,0.13536803,-0.04035402,SZ300085,0.13536803,-0.04035402,2015,False,False,True,True,False,False,-0.04035402,-0.04035402,-0.04035402,0.0,0.0,False,False,False
2015-03-16,0.0018069299999999983,0.012730489999999997,right,-0.010923559999999999,SZ300033,0.11193347,0.056082428,SZ300085,0.13470335,0.01899429,SZ300085,0.13470335,0.01899429,2015,True,False,False,True,True,False,0.01899429,0.056082428,0.01899429,-0.03708813799999999,0.0,False,False,False
2015-03-17,0.0026293500000000025,0.016959240000000014,right,-0.014329890000000012,SZ300380,0.11481601,0.024813896,SZ300085,0.13552019,0.022088137,SZ300085,0.13552019,0.022088137,2015,True,False,False,True,True,False,0.022088137,0.024813896,0.022088137,-0.0027257589999999977,0.0,False,False,False
2015-03-18,0.004701910000000004,0.010694619999999988,right,-0.0059927099999999844,SZ300085,0.10952075,0.11016235,SZ300085,0.12915142,0.11016235,SZ300085,0.12915142,0.11016235,2015,False,False,True,True,False,False,0.11016235,0.11016235,0.11016235,0.0,0.0,False,False,False
2015-03-19,0.0010536909999999955,0.0012533100000000075,right,-0.00019961900000001198,SH600446,0.099432625,0.06574034,SZ300085,0.12345991,0.028487323,SZ300085,0.12345991,0.028487323,2015,True,False,False,True,True,False,0.028487323,0.06574034,0.028487323,-0.037253017,0.0,False,False,False
2015-03-20,0.0018260499999999957,0.00521547,right,-0.003389420000000004,SZ300378,0.10368033,0.043411355,SZ300085,0.12817228,0.060012925,SZ300085,0.12817228,0.060012925,2015,True,False,False,True,True,False,0.060012925,0.043411355,0.060012925,0.016601570000000003,0.0,False,False,False
2015-03-23,0.0002211059999999987,0.002903095999999994,right,-0.002681989999999995,SZ300359,0.118289486,-0.18079141,SZ300085,0.12713848,0.12664402,SZ300085,0.12713848,0.12664402,2015,True,False,False,True,True,False,0.12664402,-0.18079141,0.12664402,0.30743543,0.0,False,True,False
2015-03-24,0.0009005599999999947,0.01509495999999999,right,-0.014194399999999996,SZ300380,0.11680286,-0.07544662,SZ300085,0.13344519,-0.054425977,SZ300085,0.13344519,-0.054425977,2015,True,False,False,True,True,False,-0.054425977,-0.07544662,-0.054425977,0.021020643000000006,0.0,False,False,False
2015-03-25,0.0054337,0.013666229999999988,right,-0.008232529999999988,SZ300359,0.12539254,0.02719463,SZ300085,0.13079886,0.17856267,SZ300085,0.13079886,0.17856267,2015,True,False,False,True,True,False,0.17856267,0.02719463,0.17856267,0.15136804,0.0,False,True,False
2015-03-26,0.0006897000000000014,0.02214166999999999,right,-0.021451969999999987,SZ300359,0.12046177,-0.037320647,SZ300085,0.13868998,-0.09739854,SZ300085,0.13868998,-0.09739854,2015,True,False,False,True,True,False,-0.09739854,-0.037320647,-0.09739854,-0.06007789300000001,0.0,False,False,False
2015-03-27,0.0004305299999999984,0.026418729999999988,right,-0.02598819999999999,SZ300359,0.1225491,0.038360257,SZ300085,0.14076075,0.009222965,SZ300085,0.14076075,0.009222965,2015,True,False,False,True,True,False,0.009222965,0.038360257,0.009222965,-0.029137292000000002,0.0,False,False,False
2015-03-30,0.0037945560000000045,0.025386400000000003,right,-0.021591844,SZ300359,0.12864284,0.059088055,SZ300085,0.1392787,0.141878,SZ300085,0.1392787,0.141878,2015,True,False,False,True,True,False,0.141878,0.059088055,0.141878,0.082789945,0.0,False,True,False
2015-03-31,0.001714779999999999,0.025710159999999996,right,-0.023995379999999997,SZ300359,0.12898679,-0.063271455,SZ300085,0.14088017,0.09977324,SZ300085,0.14088017,0.09977324,2015,True,False,False,True,True,False,0.09977324,-0.063271455,0.09977324,0.16304469500000002,0.0,False,False,False
2015-04-01,0.004654699999999984,0.024492180000000002,right,-0.01983748000000002,SZ300085,0.13176341,0.09981807,SZ300085,0.14086477,0.09981807,SZ300085,0.14086477,0.09981807,2015,False,False,True,True,False,False,0.09981807,0.09981807,0.09981807,0.0,0.0,False,False,False
2015-04-02,0.00013065000000000992,0.003744940000000002,right,-0.0036142899999999922,SZ300380,0.13016443,-0.016167887,SZ300380,0.11572713,-0.016167887,SZ300380,0.11572713,-0.016167887,2015,False,False,True,True,False,False,-0.016167887,-0.016167887,-0.016167887,0.0,0.0,False,False,False
2015-04-03,0.0008154439999999985,0.0016173499999999896,right,-0.0008019059999999911,SZ300380,0.123268984,-0.10462871,SZ300033,0.11117289,-0.049671028,SZ300033,0.11117289,-0.049671028,2015,True,False,False,True,True,False,-0.049671028,-0.10462871,-0.049671028,0.054957682,0.0,False,False,False
2015-04-07,0.00767499499999999,0.001639080000000001,left,0.006035914999999989,SZ300380,0.12818158,0.08477518,SZ300380,0.11681766,0.08477518,SZ300380,0.12818158,0.08477518,2015,False,True,True,True,False,False,0.08477518,0.08477518,0.08477518,0.0,0.0,True,False,False
2015-04-08,0.0033343999999999874,0.004888509999999999,right,-0.0015541100000000113,SZ300380,0.1319559,0.16449314,SZ300380,0.11917818,0.16449314,SZ300380,0.11917818,0.16449314,2015,False,False,True,True,False,False,0.16449314,0.16449314,0.16449314,0.0,0.0,True,True,False
2015-04-09,0.0065654500000000005,0.00613234,left,0.00043311000000000044,SZ300380,0.13439658,0.13114071,SZ300380,0.12392262,0.13114071,SZ300380,0.13439658,0.13114071,2015,False,True,True,True,False,False,0.13114071,0.13114071,0.13114071,0.0,0.0,True,True,False
2015-04-10,0.01662587,0.009745970000000007,left,0.006879899999999994,SZ300380,0.13807933,0.031284504,SZ300380,0.12490718,0.031284504,SZ300380,0.13807933,0.031284504,2015,False,True,True,True,False,False,0.031284504,0.031284504,0.031284504,0.0,0.0,False,False,False
2015-04-13,0.017492270000000004,0.005640320000000004,left,0.01185195,SZ300380,0.137018,-0.124946475,SZ300380,0.12322685,-0.124946475,SZ300380,0.137018,-0.124946475,2015,False,True,True,True,False,False,-0.124946475,-0.124946475,-0.124946475,0.0,0.0,False,False,True
2015-04-14,0.00785952999999999,0.002844066000000006,left,0.005015463999999983,SZ300380,0.12892546,0.020473918,SZ300380,0.120634586,0.020473918,SZ300380,0.12892546,0.020473918,2015,False,True,True,True,False,False,0.020473918,0.020473918,0.020473918,0.0,0.0,False,False,False
2015-04-15,0.0011711699999999992,0.0024137999999999937,right,-0.0012426299999999946,SZ300380,0.13487683,0.015906638,SZ300380,0.12209152,0.015906638,SZ300380,0.12209152,0.015906638,2015,False,False,True,True,False,False,0.015906638,0.015906638,0.015906638,0.0,0.0,True,False,False
2015-04-16,0.009380549999999988,0.0018325200000000041,left,0.007548029999999983,SZ300380,0.1392346,-0.05503757,SZ300380,0.12565687,-0.05503757,SZ300380,0.1392346,-0.05503757,2015,False,True,True,True,False,False,-0.05503757,-0.05503757,-0.05503757,0.0,0.0,True,False,False
2015-04-17,0.012057060000000008,0.004743264000000011,left,0.007313795999999997,SZ300380,0.1474823,0.09621149,SZ300380,0.1284673,0.09621149,SZ300380,0.1474823,0.09621149,2015,False,True,True,True,False,False,0.09621149,0.09621149,0.09621149,0.0,0.0,False,False,False
2015-04-20,0.003767859999999984,0.006009689999999984,right,-0.00224183,SZ300140,0.14511068,0.034275923,SZ300380,0.13232549,0.12342865,SZ300380,0.13232549,0.12342865,2015,True,False,False,True,True,False,0.12342865,0.034275923,0.12342865,0.089152727,0.0,True,True,False
2015-04-21,0.002925749999999977,0.005719200000000008,right,-0.0027934500000000306,SZ300140,0.14326735,-0.0094449045,SZ300380,0.13313498,0.1263987,SZ300380,0.13313498,0.1263987,2015,True,False,False,True,True,False,0.1263987,-0.0094449045,0.1263987,0.1358436045,0.0,False,True,False
2015-04-22,0.006566369999999988,0.00974678000000001,right,-0.0031804100000000224,SZ300380,0.14429767,-0.06905762,SZ300380,0.13161927,-0.06905762,SZ300380,0.13161927,-0.06905762,2015,False,False,True,True,False,False,-0.06905762,-0.06905762,-0.06905762,0.0,0.0,False,False,False
2015-04-23,0.015234520000000001,0.00426986,left,0.010964660000000001,SZ300380,0.14849897,-0.0354299,SZ300380,0.1277327,-0.0354299,SZ300380,0.14849897,-0.0354299,2015,False,True,True,True,False,False,-0.0354299,-0.0354299,-0.0354299,0.0,0.0,True,False,False
