score_name,state_column,threshold,bad_side,fallback,fallback_top_k,mean_of_year_means,median_of_year_means,mean_sharpe,negative_years,positive_years,worst_year_mean,best_year_mean,avg_gated_off_rate,year_2025_mean,year_2024_mean
style_neutral,market_amount_top10_share,0.7593413726342011,low,cash,3,0.005844449609461805,0.004493859186225611,1.629590100590519,0,8,0.00010031604958677566,0.02063833948607438,0.6000123233819115,0.00010031604958677566,0.006582755501244814
baseline,market_amplitude_mean,3.2558820921857476,low,cash,3,0.014604886719465228,0.003868481472614106,0.9291475650142084,1,7,-0.0009336045553718993,0.05702163934854772,0.5000066679621564,-0.0009336045553718993,0.05702163934854772
style_neutral,market_amount_top10_share,0.7508349180308138,low,cash,3,0.0067274327310760575,0.006819245327904565,1.822680067460635,1,7,-0.0014346697851239678,0.020678261972024794,0.500252985659436,-0.0014346697851239678,0.007694961003319505
style_neutral,market_amount_top10_share,0.7429131119272752,low,cash,3,0.006778030090488484,0.005420733592938378,1.7025568031196183,1,7,-0.00311384538429752,0.021491392992685956,0.40046369502759127,-0.00311384538429752,0.004720112634024899
baseline,market_amount_top10_share,0.7508349180308138,low,cash,3,0.01276019255541767,0.008138493229112687,1.3678295185145348,1,7,-0.0032816000293388425,0.04770823207438016,0.500252985659436,-0.0032816000293388425,0.02042421816887967
baseline,market_amount_top10_share,0.7593413726342011,low,cash,3,0.011480318802040933,0.005974315122871901,1.2259672965402904,1,7,-0.004695448950826446,0.050497883859504135,0.6000123233819115,-0.004695448950826446,0.017403021011203317
baseline,market_amplitude_mean,3.095808213553826,low,cash,3,0.017040639848978405,0.006115256382119256,1.0152651633912595,1,7,-0.005221988410743801,0.06250165958506224,0.40020060158425136,-0.005221988410743801,0.06250165958506224
baseline,market_amount_top10_share,0.7429131119272752,low,cash,3,0.017012034093656786,0.01135189247764326,1.2142300463555962,1,7,-0.006269344021074378,0.04922309138049793,0.40046369502759127,-0.006269344021074378,0.04922309138049793
baseline,market_cc_mean,0.003527426213847233,low,cash,3,0.013725476358937684,0.011277545126889844,1.102848701802349,1,7,-0.006727512124380167,0.04025067909543568,0.5998126461395039,-0.006727512124380167,0.04025067909543568
baseline,market_cc_mean,0.001191053737985551,low,cash,3,0.014601779120199276,0.01320583158134855,1.0888798450277686,1,7,-0.008535244859917357,0.04391789580082987,0.5000341953561913,-0.008535244859917357,0.04391789580082987
baseline,market_cc_std,0.022052693419258328,low,cash,3,0.016587513598812192,0.005703465596330446,0.8786674816600011,1,7,-0.008707307973140496,0.05951460599585063,0.4001580359951415,-0.008707307973140496,0.05951460599585063
baseline,market_cc_mean,-0.0013616080299575506,low,cash,3,0.015958712910723444,0.014577629346075852,1.0523513428510718,1,7,-0.011671566769173554,0.04622278879543568,0.4002450811254617,-0.011671566769173554,0.04622278879543568
baseline,market_amount_top10_share,0.7508349180308138,high,cash,3,0.004919591810250191,0.002235071390152368,0.19182647534633732,1,7,-0.011890666305537187,0.034929500294605814,0.499747014340564,-0.011890666305537187,0.034929500294605814
baseline,market_amplitude_mean,3.427573082844458,high,cash,3,0.005821595232379703,0.007958669564958679,0.8517943658668647,1,7,-0.01453279718859504,0.01608521691859504,0.40023007821060963,-0.01453279718859504,0.003086999932365148
baseline,none,,none,plain_top1,1,0.01767978436566786,0.012963114192986527,0.9582757625114632,1,7,-0.015172266334876032,0.05535371846348548,0.0,-0.015172266334876032,0.05535371846348548
baseline,market_amplitude_mean,3.427573082844458,low,cash,3,0.01185818913328816,0.001933183146419242,0.6229270977436738,2,6,-0.0008412555808677689,0.052266718531120325,0.5997699217893904,-0.0006394691462809891,0.052266718531120325
style_neutral,market_cc_mean,0.001191053737985551,low,cash,3,0.005726605634235324,0.005365547168709487,1.5713079274457653,2,6,-0.0016732233938016562,0.014351377505909094,0.5000341953561913,-0.0016732233938016562,-1.8660858506223452e-05
style_neutral,market_amplitude_mean,3.427573082844458,low,cash,3,0.0026074946316781574,0.0031486221874412754,0.8656016553360484,2,6,-0.0034643091336099556,0.006734284004938274,0.5997699217893904,-0.0019518101776859497,-0.0034643091336099556
style_neutral,market_cc_std,0.022052693419258328,high,cash,3,0.002966534989150766,0.0034111286215726296,0.9393890507392066,2,6,-0.0032456964421487627,0.009136807414937763,0.5998419640048585,-0.0019855257946281026,0.006270615170124482
baseline,market_cc_std,0.0241618756901682,low,cash,3,0.012733195141218134,0.0017215598767634844,0.6853354063892074,2,6,-0.0026299351421487597,0.0634488662406639,0.5997616662171966,-0.0026299351421487597,0.0634488662406639
style_neutral,market_amplitude_mean,3.2558820921857476,low,cash,3,0.00346565247434735,0.0042149274871060675,1.0210850401931075,2,6,-0.0031509144477178384,0.01040671846975207,0.5000066679621564,-0.0026335940123966926,-0.0031509144477178384
style_neutral,market_cc_mean,-0.0013616080299575506,low,cash,3,0.005085431311758317,0.0050668502578951145,1.2981786094299133,2,6,-0.00364883603692946,0.015510363557561989,0.4002450811254617,-0.003500268045867772,-0.00364883603692946
style_neutral,market_amplitude_mean,3.095808213553826,high,cash,3,0.0010695274647571362,0.002552488118713228,0.3084564485025524,2,6,-0.008287116486363637,0.006439383575103737,0.5997993984157486,-0.0037655152710743857,0.0032882251659751044
style_neutral,market_cc_std,0.0241618756901682,low,cash,3,0.0023352694995198518,0.0019377158310286036,0.6457102478997483,2,6,-0.004441422256198347,0.011750212673760333,0.5997616662171966,-0.004441422256198347,-0.0030044669232365128
baseline,market_cc_std,0.023118005490047062,low,cash,3,0.015376794454174,0.0042676585227003384,0.7589926753864926,2,6,-0.004948379035123968,0.05942545469294606,0.4999619943797194,-0.004948379035123968,0.05942545469294606
baseline,market_cc_mean,0.001191053737985551,high,cash,3,0.0030780052454685847,0.0013782299927787983,0.2373563367745153,2,6,-0.006637021474958673,0.01255426575661157,0.4999658046438087,-0.006637021474958673,0.011435822662655604
style_neutral,market_amplitude_mean,3.095808213553826,low,cash,3,0.004036684329270154,0.004783027711445228,1.0197383133885494,2,6,-0.006984667444214874,0.017717690928636367,0.40020060158425136,-0.006984667444214874,-0.0059202217659751
style_neutral,market_cc_mean,-0.0013616080299575506,high,cash,3,2.0780482268972778e-05,0.0014542733311547727,0.16672882000238706,2,6,-0.008754717453305786,0.005087912265702477,0.5997549188745384,-0.0072499146694214875,0.0010168394369294642
style_neutral,market_cc_std,0.022052693419258328,low,cash,3,0.002139676804876524,0.0028375462506722814,0.670490408371061,2,6,-0.008902611770124476,0.018299061438966945,0.4001580359951415,-0.008764656920661158,-0.008902611770124476
baseline,market_cc_std,0.023118005490047062,high,cash,3,0.0023029899114938614,0.002488537888636363,0.43689093127509254,2,6,-0.010223887299752063,0.014054455119753086,0.5000380056202807,-0.010223887299752063,-0.00407173622946058
baseline,market_amount_top10_share,0.7593413726342011,high,cash,3,0.0061994655636269285,0.004267517222296196,0.2771598691894518,2,6,-0.010476817384049585,0.03795069745228216,0.3999876766180886,-0.010476817384049585,0.03795069745228216
baseline,market_cc_std,0.0241618756901682,high,cash,3,0.004946589224449729,0.005375595062954545,0.5076277325997303,2,6,-0.01254233119272727,0.023537427511570248,0.4002383337828034,-0.01254233119272727,-0.008095147777178423
style_neutral,market_cc_mean,0.003527426213847233,low,cash,3,0.004719476797279193,0.005518883579394621,1.4304749514287503,3,5,-0.0006528382347107453,0.010343685662933888,0.5998126461395039,-0.0006528382347107453,-0.00020448376431535156
style_neutral,market_cc_std,0.023118005490047062,low,cash,3,0.0022829107721035477,0.0017476954636505958,0.6155645458378016,3,5,-0.005180196433884296,0.015337129855165292,0.4999619943797194,-0.005180196433884296,-0.0034700720493775913
style_neutral,market_cc_std,0.023118005490047062,high,cash,3,0.002823301021923742,0.003049610708738384,0.9469592267996291,3,5,-0.0055699862814049626,0.009478513894190873,0.5000380056202807,-0.0055699862814049626,0.0008380754493775957
