num_days,mean_return,cumulative_return,sharpe,switch_count,same_code_streak_days,avg_entry_cost_bps,avg_exit_cost_bps,year,score_name,state_column,threshold,bad_side,fallback,fallback_top_k,gated_off_rate
242,0.006755111960619836,-0.4315092329391147,0.7781645611171265,152,89,0.0,0.0,2018,baseline,none,,none,plain_top1,1,0.0
243,0.016996767948971196,7.680317932402151,2.061327380432001,107,135,0.0,0.0,2019,baseline,none,,none,plain_top1,1,0.0
242,0.015146047640495873,-0.0879623072797805,1.2765895064064137,112,129,0.0,0.0,2020,baseline,none,,none,plain_top1,1,0.0
242,0.04892835781818181,40.0088822362065,2.357733208348017,140,101,0.0,0.0,2021,baseline,none,,none,plain_top1,1,0.0
241,0.0026503566829875493,-0.3981855746200028,0.4302421276088188,145,95,0.0,0.0,2022,baseline,none,,none,plain_top1,1,0.0
241,0.01078018074547718,2.824386817212284,1.6075835944808263,136,104,0.0,0.0,2023,baseline,none,,none,plain_top1,1,0.0
241,0.05535371846348548,0.7335718137012446,1.6927017621255505,114,126,0.0,0.0,2024,baseline,none,,none,plain_top1,1,0.0
242,-0.015172266334876032,-0.9918221357227106,-2.538136040427048,173,68,0.0,0.0,2025,baseline,none,,none,plain_top1,1,0.0
242,0.0057499524768595016,0.45971347609226143,0.8441233907102087,156,85,0.0,0.0,2018,baseline,market_cc_mean,-0.0013616080299575506,high,cash,3,0.5578512396694215
243,-0.00032107582674896913,-0.534024347517087,-0.07213970129742603,128,114,0.0,0.0,2019,baseline,market_cc_mean,-0.0013616080299575506,high,cash,3,0.6255144032921811
242,-0.005489419696280991,-0.943032911210576,-0.8521644923549018,132,109,0.0,0.0,2020,baseline,market_cc_mean,-0.0013616080299575506,high,cash,3,0.5826446280991735
242,0.009194113205785124,0.06655450070608859,1.1911516426620685,136,105,0.0,0.0,2021,baseline,market_cc_mean,-0.0013616080299575506,high,cash,3,0.6115702479338843
241,6.20055485477186e-05,-0.3916537311615744,0.015235559476846143,128,112,0.0,0.0,2022,baseline,market_cc_mean,-0.0013616080299575506,high,cash,3,0.5933609958506224
241,-0.00105723417095436,-0.5130810148392838,-0.2770874402364702,146,94,0.0,0.0,2023,baseline,market_cc_mean,-0.0013616080299575506,high,cash,3,0.5684647302904564
241,0.009130929668049794,-0.6620520432133374,0.8046943432640612,141,99,0.0,0.0,2024,baseline,market_cc_mean,-0.0013616080299575506,high,cash,3,0.5892116182572614
242,-0.003500699565702475,-0.7379259181685408,-0.8721250837256498,121,120,0.0,0.0,2025,baseline,market_cc_mean,-0.0013616080299575506,high,cash,3,0.6694214876033058
242,0.0010051594837603326,-0.6105463322961369,0.1866445129244902,165,76,0.0,0.0,2018,baseline,market_cc_mean,-0.0013616080299575506,low,cash,3,0.44214876033057854
243,0.017317843775720165,17.628264987987667,2.496089528022592,157,85,0.0,0.0,2019,baseline,market_cc_mean,-0.0013616080299575506,low,cash,3,0.37448559670781895
242,0.020635467336776864,15.009905229518072,2.0805682284242306,148,93,0.0,0.0,2020,baseline,market_cc_mean,-0.0013616080299575506,low,cash,3,0.41735537190082644
242,0.03973424461239669,37.44987031516672,2.054666934708206,167,74,0.0,0.0,2021,baseline,market_cc_mean,-0.0013616080299575506,low,cash,3,0.3884297520661157
