bucket,count,mean_pred,mean_true,positive_share
1,9419,-0.0016248743495773435,-0.003445031002773117,0.43486569699543476
2,9439,-0.0003132092337763078,-0.0008096615302924042,0.4569339972454709
3,9442,2.5285897429239157e-05,-0.00072836734724211,0.45488244016098284
4,9435,0.00029264159364363556,-0.0010947750749231585,0.4512983571807101
5,9445,0.0005601351431195969,-0.001065955868785601,0.44849126521969296
6,9429,0.0008445759839163994,-0.0012496704633587867,0.4446919079435783
7,9435,0.0011636325114654498,-0.0020385023609231583,0.437413884472708
8,9442,0.0015528508760124973,-0.0010209809186746456,0.4599661088752383
9,9439,0.0020894217774594767,-0.0010270015124027969,0.45428541159021085
10,9450,0.003342113918105821,-5.538595022010601e-05,0.4706878306878307
