code,pick_count,mean_true,mean_pred
SZ000835,4,0.029864012500000002,0.0078306204
SH603789,3,0.013512184000000002,0.008350872666666667
SH600652,2,0.005927386,0.0074239006
SH603333,2,0.014071472499999998,0.00669550215
SZ000995,2,0.061882724,0.00933395
SZ002115,2,0.012677554,0.011234421500000001
SZ002258,2,0.0331145665,0.00443248175
SZ002853,2,-0.0040986825,0.008851224
SH600146,1,-0.043062203,0.0071813366
SH600165,1,0.066285536,0.0051015927
SH600260,1,-0.02952913,0.0088821715
SH600399,1,0.028992072,0.0047573615
SH600990,1,-0.010126099,0.00596001
SH601702,1,-0.07021605,0.005535174
SH603020,1,-0.010615711,0.010006498
SH603599,1,-0.048149105,0.0046410575
SZ000659,1,-0.05545977,0.008999428
SZ000720,1,-0.028909788,0.0046950313
SZ002216,1,-0.031194678,0.004786515
SZ002321,1,-0.029126214,0.009166413
