bucket,count,mean_pred,mean_true,positive_share
1,9411,-0.0038579687530655615,-0.00016187954810115832,0.4727446605036659
2,9427,-0.0023199993374138114,0.0021181777470857107,0.5049326402885329
3,9426,-0.001971014580691704,0.001876055826391895,0.49925737322300023
4,9426,-0.0017633408468311058,0.0019206841172278804,0.502652238489285
5,9432,-0.0015894110157941052,0.0022978292866173665,0.5137828668363019
6,9422,-0.001410959207582737,0.002174139478978561,0.5065803438760348
7,9421,-0.001209025376608587,0.0024977286817085237,0.514382761914871
8,9431,-0.0009646608955074627,0.002824112448293924,0.5123528788039444
9,9422,-0.0006202261640916106,0.002454638921819571,0.5003184037359372
10,9444,0.0002527513395929646,0.0022873607095132355,0.4936467598475222
