bucket,count,mean_pred,mean_true,positive_share
1,10113,0.0005339572268540739,-0.005573970248849006,0.4407198655196282
2,10130,0.002362880521355103,-0.002928010251077987,0.4443237907206318
3,10125,0.0032405808573600006,-0.002363600289352099,0.44385185185185183
4,10132,0.003974131462447691,-0.001371713869981544,0.4562771417291749
5,10137,0.004584419189493933,-0.0014411098155233297,0.4696655815329979
6,10122,0.005151244980116578,-0.0008939483541632088,0.47628927089508
7,10129,0.005700145416839766,-0.0017030036635541515,0.4725046895053806
8,10128,0.006267531102392377,-0.0024559424338773694,0.4677132701421801
9,10127,0.006919221557872262,-0.002335648291721142,0.4735854645995853
10,10147,0.008121881109413295,-0.0022262399552350457,0.4783679905390756
