code,pick_count,mean_true,positive_rate,mean_log_amount,mean_avg_amount_20,mean_turnover_rate,mean_avg_turnover_20,mean_amplitude,mean_avg_amplitude_20,mean_ret_20,mean_ret_60,mean_vol_20,mean_vol_60,mean_market_cc_mean,mean_market_amount_top10_share
SZ000889,44,0.028503749602272723,0.5909090909090909,17.382672117891122,33805397.62547727,2.4813636363636364,2.060511363636364,13.733636363636363,11.70125,0.06562542169815228,0.11019328704277263,0.1175314440211646,0.09628886769739911,-0.0005198902238041763,0.7492383703567177
SH600136,38,-0.010734502621052631,0.34210526315789475,17.444876975244757,44233746.28947368,3.714736842105263,3.168263157894737,9.607105263157894,8.509131578947368,-0.03209769082642339,0.2910096242087154,0.06534337739655217,0.06581426379076555,8.417054624224609e-05,0.7603922737977901
SH600781,18,-0.019445614111111106,0.4444444444444444,16.884534707339963,26104819.541666668,5.252222222222222,5.387666666666666,9.166111111111112,6.603638888888889,-0.23799826957328632,-0.592984347027978,0.059572735445037606,0.04880502461479641,0.0004362613816555315,0.7483755456050729
SZ000692,10,0.021500560000000002,0.6,17.05472233324768,24306462.2875,2.114,1.56065,12.297,7.7661500000000006,-0.08277970319178281,-0.171884220802389,0.04994889354811404,0.0465719531574988,-0.0015110642967363988,0.7607252856964127
SZ002855,10,0.06541118788,0.7,20.693868495107374,366106388.0573,17.163,6.92475,10.973,5.2036500000000006,1.6539719443805772,1.4594578315810685,0.05271793490514294,0.04160485254503818,-0.002168986312304704,0.7318934970384807
SZ000628,8,0.051634619550000004,0.75,19.161634692983704,207838785.022625,13.97,3.1389375,2.23125,1.9969374999999998,1.5207383460269077,1.4814464973326245,0.04793928485943323,0.039514010649713306,0.005923880429021449,0.7336412649176673
SZ000005,7,0.10940856785714285,0.5714285714285714,16.750108958498753,22946094.491785713,1.7128571428571429,1.8263571428571428,23.174285714285713,15.88292857142857,0.5712036869257736,-0.27222599772956346,0.1363294203691548,0.11194540536779243,0.00036555198879155844,0.7515780200567143
SH600198,6,0.018351616499999997,0.6666666666666666,18.432788314474518,79550999.24166666,2.5683333333333334,1.2741666666666667,14.883333333333335,8.544666666666666,-0.12133580478376221,-0.0859120029779762,0.06645264293707989,0.05596601014892488,0.007462688635890737,0.7618820245768889
SH600122,5,0.034897250000000005,0.8,16.6156035459033,29314865.939999998,1.1019999999999999,1.7565000000000002,7.272,7.7421999999999995,-0.042769337795971564,-0.2677716551307051,0.0596449649656285,0.051859747391252584,0.0015802569723182094,0.7751631351018481
SZ002576,5,0.068611612,1.0,20.603315820256114,233203856.8329,29.453999999999997,7.162899999999999,6.918000000000001,3.7237999999999998,0.8189785601450617,0.5897685303310143,0.04564271969811571,0.03485059011663115,0.0026944823024319772,0.7478959000104091
SH600178,4,0.04026558499999999,0.75,20.54782387320579,364184987.25,20.4125,7.769875000000001,12.9175,5.839125,1.2813120826574962,1.4767873106635632,0.06259412651782563,0.044169788618592845,-0.004372023264904815,0.703406393472781
SH600355,4,-0.0021646307500000003,0.5,18.400302542262878,116162845.85,14.565,5.437374999999999,2.58,3.072375,0.937610568204499,0.8799659313366798,0.04660979585699014,0.036938482305178405,0.0002944160371388389,0.74389620130455
SZ002229,4,0.0430749025,0.75,20.706048437427107,246535304.61237502,20.9825,5.351875,6.5175,4.2132499999999995,0.7082301735399658,0.6438205641166033,0.04371773415724532,0.034502972651448874,0.004904868116131463,0.7038871679752732
SH600250,3,0.032950567666666666,0.6666666666666666,19.877747841260568,94414243.75,17.013333333333332,3.2689999999999997,5.226666666666667,2.907,0.9454921459022637,1.009967833603563,0.04303316697479023,0.03216541330325808,0.0013803003605219752,0.7050081729366372
SH600532,3,0.024504794533333332,0.6666666666666666,17.36105053393028,39651291.48333333,11.603333333333333,2.7118333333333333,15.573333333333332,2.9458333333333333,-0.885216042112278,-0.9249110060789955,0.16111319918588976,0.10226203207631596,0.0009033743180692282,0.775829408598124
SH600630,3,0.056456884900000004,0.6666666666666666,21.615964480263926,827625747.5,39.35666666666666,17.784499999999998,17.173333333333336,11.123666666666667,0.960257590668632,1.5916484488105949,0.07694498483208884,0.07640396443210405,-0.001412054426877507,0.7067473445512388
SH600666,3,0.044740278,1.0,16.019694802324974,34009264.266666666,1.4800000000000002,1.2658333333333334,2.356666666666667,1.218333333333333,1.1294020619100473,0.978557345024838,0.0227023345735215,0.033392973521623515,-0.005567710559344814,0.7384345914826865
SH603660,3,-0.009355605333333334,0.3333333333333333,19.972848343942772,117353744.16666667,18.993333333333336,2.5553333333333335,4.51,2.4171666666666667,0.5542459457686498,0.6628218826626645,0.04715155607444904,0.03186600149197629,0.0009758266849257659,0.7062731828349379
SH603838,3,0.05458807333333334,0.6666666666666666,19.243014939792136,39632282.1,10.229999999999999,1.5986666666666665,11.583333333333334,3.9443333333333332,0.43522078561594335,0.34861095697584804,0.036157604232715475,0.025990529355564836,0.0026855352352508667,0.6958138155634392
SZ002835,3,-0.04504466766666667,0.3333333333333333,19.442774408834726,80844842.339,29.98,3.8976666666666664,4.61,2.2070000000000003,0.7921546993107497,0.5463961928289384,0.04471107154407677,0.03468059217566576,-0.0012435467612054512,0.716454553743271
