year,model,feature_set,seq_len,prediction_path,completed,top1_mean,top1_cum,top1_sharpe,top3_mean,top3_cum,top3_sharpe,top5_mean,top5_cum,top5_sharpe,ic,rank_ic,unique,max_rep,debias015_top1_mean,debias015_top1_sharpe,num_days,yearly_metrics
2024,TimesNet,A,20,/huanghb28/aigc/cv_banc/zsw/zhuangcailin/project/Time-Series-Library2/test_results/long_term_forecast_market_2024_stage2topheavy_topk_csrank_topq_v2_TimesNet_TimesNet_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_stage2topheavy_topk_csrank_topq_v2_0/top1_predictions.csv,True,-0.010577786996514524,-0.9738885192031115,-1.8086232389549628,-0.009121883962918395,-0.9276931423311844,-2.4884835860238774,-0.007535765650863072,-0.8784050318110527,-2.4947863551633525,-0.0013360999799614593,-0.010598477913994863,173.0,7.0,-0.013572679455186724,-2.5149892813928716,241.0,"[{""year"": 2024, ""top1_num_days"": 241, ""top1_mean_return"": -0.010577786996514524, ""top1_cumulative_return"": -0.9738885192031115, ""top1_sharpe"": -1.8086232389549628, ""top1_positive_rate"": 0.45228215767634855, ""top3_num_days"": 241, ""top3_mean_return"": -0.009121883962918395, ""top3_cumulative_return"": -0.9276931423311844, ""top3_sharpe"": -2.4884835860238774, ""top3_positive_rate"": 0.45228215767634855, ""top5_num_days"": 241, ""top5_mean_return"": -0.007535765650863072, ""top5_cumulative_return"": -0.8784050318110527, ""top5_sharpe"": -2.4947863551633525, ""top5_positive_rate"": 0.45228215767634855}]"
2024,iTransformer,A,20,/huanghb28/aigc/cv_banc/zsw/zhuangcailin/project/Time-Series-Library2/test_results/long_term_forecast_market_2024_stage2topheavy_topk_csrank_topq_v2_iTransformer_iTransformer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_stage2topheavy_topk_csrank_topq_v2_0/top1_predictions.csv,True,-0.014023341750746888,-0.9845584531288982,-2.8857868076046294,-0.010265649118312585,-0.9365367665266962,-3.4824802564246236,-0.009695021237419086,-0.9207222159668508,-3.9410719169291304,-0.014559154749143915,-0.022816493728757416,197.0,4.0,-0.012984204304564316,-2.88250248155938,241.0,"[{""year"": 2024, ""top1_num_days"": 241, ""top1_mean_return"": -0.014023341750746888, ""top1_cumulative_return"": -0.9845584531288982, ""top1_sharpe"": -2.8857868076046294, ""top1_positive_rate"": 0.36929460580912865, ""top3_num_days"": 241, ""top3_mean_return"": -0.010265649118312585, ""top3_cumulative_return"": -0.9365367665266962, ""top3_sharpe"": -3.4824802564246236, ""top3_positive_rate"": 0.3651452282157676, ""top5_num_days"": 241, ""top5_mean_return"": -0.009695021237419086, ""top5_cumulative_return"": -0.9207222159668508, ""top5_sharpe"": -3.9410719169291304, ""top5_positive_rate"": 0.3775933609958506}]"
2024,FreTS,A,20,/huanghb28/aigc/cv_banc/zsw/zhuangcailin/project/Time-Series-Library2/test_results/long_term_forecast_market_2024_stage2topheavy_topk_csrank_topq_v2_FreTS_FreTS_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_stage2topheavy_topk_csrank_topq_v2_0/top1_predictions.csv,False,,,,,,,,,,,,,,,,,
2025,TimesNet,A,20,/huanghb28/aigc/cv_banc/zsw/zhuangcailin/project/Time-Series-Library2/test_results/long_term_forecast_market_2025_stage2topheavy_topk_csrank_topq_v2_TimesNet_TimesNet_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_stage2topheavy_topk_csrank_topq_v2_0/top1_predictions.csv,True,-0.00312910740855372,-0.8134872873507357,-0.5743673258499528,-0.00276519737130854,-0.6171363337138625,-0.9007620232276092,-0.002028291062884298,-0.48267254868151477,-0.8683651736878324,-0.0032361895022215747,-0.011598364630882603,199.0,4.0,-0.003253534477975206,-0.6355609037251652,242.0,"[{""year"": 2025, ""top1_num_days"": 242, ""top1_mean_return"": -0.00312910740855372, ""top1_cumulative_return"": -0.8134872873507357, ""top1_sharpe"": -0.5743673258499528, ""top1_positive_rate"": 0.4834710743801653, ""top3_num_days"": 242, ""top3_mean_return"": -0.00276519737130854, ""top3_cumulative_return"": -0.6171363337138625, ""top3_sharpe"": -0.9007620232276092, ""top3_positive_rate"": 0.4380165289256198, ""top5_num_days"": 242, ""top5_mean_return"": -0.002028291062884298, ""top5_cumulative_return"": -0.48267254868151477, ""top5_sharpe"": -0.8683651736878324, ""top5_positive_rate"": 0.47107438016528924}]"
2025,WPMixer,A,20,/huanghb28/aigc/cv_banc/zsw/zhuangcailin/project/Time-Series-Library2/test_results/long_term_forecast_market_2025_stage2topheavy_topk_csrank_topq_v2_WPMixer_WPMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_stage2topheavy_topk_csrank_topq_v2_0/top1_predictions.csv,True,-0.007779079194214876,-0.9019497147887328,-2.0746332399015013,-0.00380658127369146,-0.6583097786803085,-1.7108115505780215,-0.004304980632561984,-0.6829882732539168,-2.327420347168554,-0.020386945832347503,-0.045943233558049586,217.0,3.0,-0.006893774430578511,-2.0384048980024234,242.0,"[{""year"": 2025, ""top1_num_days"": 242, ""top1_mean_return"": -0.007779079194214876, ""top1_cumulative_return"": -0.9019497147887328, ""top1_sharpe"": -2.0746332399015013, ""top1_positive_rate"": 0.33884297520661155, ""top3_num_days"": 242, ""top3_mean_return"": -0.00380658127369146, ""top3_cumulative_return"": -0.6583097786803085, ""top3_sharpe"": -1.7108115505780215, ""top3_positive_rate"": 0.4049586776859504, ""top5_num_days"": 242, ""top5_mean_return"": -0.004304980632561984, ""top5_cumulative_return"": -0.6829882732539168, ""top5_sharpe"": -2.327420347168554, ""top5_positive_rate"": 0.4132231404958678}]"
2025,TimeMixer,A,20,/huanghb28/aigc/cv_banc/zsw/zhuangcailin/project/Time-Series-Library2/test_results/long_term_forecast_market_2025_stage2topheavy_topk_csrank_topq_v2_TimeMixer_TimeMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_stage2topheavy_topk_csrank_topq_v2_0/top1_predictions.csv,True,-0.00952406146694215,-0.9375686256366088,-2.4606625989547233,-0.0065273330209366385,-0.8272779585115835,-2.7644709652454535,-0.004528264753057851,-0.7037000989290101,-2.306606038073561,-0.022841178338418394,-0.042483744901774874,220.0,4.0,-0.008462810486776861,-2.3200424568014704,242.0,"[{""year"": 2025, ""top1_num_days"": 242, ""top1_mean_return"": -0.00952406146694215, ""top1_cumulative_return"": -0.9375686256366088, ""top1_sharpe"": -2.4606625989547233, ""top1_positive_rate"": 0.34297520661157027, ""top3_num_days"": 242, ""top3_mean_return"": -0.0065273330209366385, ""top3_cumulative_return"": -0.8272779585115835, ""top3_sharpe"": -2.7644709652454535, ""top3_positive_rate"": 0.36363636363636365, ""top5_num_days"": 242, ""top5_mean_return"": -0.004528264753057851, ""top5_cumulative_return"": -0.7037000989290101, ""top5_sharpe"": -2.306606038073561, ""top5_positive_rate"": 0.39669421487603307}]"
2025,PatchTST,A,20,/huanghb28/aigc/cv_banc/zsw/zhuangcailin/project/Time-Series-Library2/test_results/long_term_forecast_market_2025_stage2topheavy_topk_csrank_topq_v2_PatchTST_PatchTST_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_stage2topheavy_topk_csrank_topq_v2_0/top1_predictions.csv,False,,,,,,,,,,,,,,,,,
2025,iTransformer,A,20,/huanghb28/aigc/cv_banc/zsw/zhuangcailin/project/Time-Series-Library2/test_results/long_term_forecast_market_2025_stage2topheavy_topk_csrank_topq_v2_iTransformer_iTransformer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_stage2topheavy_topk_csrank_topq_v2_0/top1_predictions.csv,False,,,,,,,,,,,,,,,,,
2025,Transformer,A,20,/huanghb28/aigc/cv_banc/zsw/zhuangcailin/project/Time-Series-Library2/test_results/long_term_forecast_market_2025_stage2topheavy_topk_csrank_topq_v2_Transformer_Transformer_market_daily_ftMS_sl20_ll0_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_stage2topheavy_topk_csrank_topq_v2_0/top1_predictions.csv,False,,,,,,,,,,,,,,,,,
2025,FreTS,A,20,/huanghb28/aigc/cv_banc/zsw/zhuangcailin/project/Time-Series-Library2/test_results/long_term_forecast_market_2025_stage2topheavy_topk_csrank_topq_v2_FreTS_FreTS_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_stage2topheavy_topk_csrank_topq_v2_0/top1_predictions.csv,False,,,,,,,,,,,,,,,,,
