model,years,avg_top1_mean,avg_top1_cum,avg_top1_sharpe,avg_top3_mean,avg_top3_cum,avg_top3_sharpe,avg_top5_mean,avg_top5_cum,avg_top5_sharpe,avg_ic,avg_rank_ic,avg_unique,avg_max_rep,avg_debias015_top1_mean,min_top1_mean,min_top1_sharpe
Transformer,4,0.03322516024871404,20.884089088723954,1.4323768109780028,0.012618623388282624,25.879881509932837,1.2638451429144213,0.009318347976952196,12.028876578417371,1.445996982607531,0.010607304952586175,-0.00974251881098745,66.75,48.75,0.02417620939342894,0.0003170109572614119,0.051617685768494244
TimesNet,5,-0.0007162265208263093,1.4286230662802306,0.023211521002207802,-0.0019502768864426228,0.8381591286362677,-0.4502728280924237,-0.0011581089915357775,0.8824767150608868,-0.6190227645678674,0.0035604759672886246,-0.0006413313189277209,186.8,5.8,-0.001008891522847193,-0.010577786996514524,-1.8086232389549628
PatchTST,4,-0.003015628546856332,-0.47410063069805025,-0.6547279785662229,-0.0037702731827546493,-0.45289296789443606,-1.3907467500179462,-0.0037897076812761655,-0.49349111108509003,-1.7665851116425042,-0.007274595812135331,-0.01727210642823364,222.0,2.5,-0.0017656081630773551,-0.007731558345228215,-1.7401337983774503
WPMixer,5,-0.0035089089355007036,-0.6261169930755136,-0.8065605489156187,-0.004331150624439262,-0.6778504359815005,-1.7081188545814008,-0.004248658543305271,-0.6378665289833131,-1.9582201316166092,-0.011252435916658383,-0.024011373498685384,217.4,3.0,-0.0010035633798399569,-0.007779079194214876,-2.0746332399015013
iTransformer,4,-0.004399231003975429,-0.5695012650878025,-0.9550724586578141,-0.004391894763192591,-0.5499862001050173,-1.6281756783453305,-0.004190269538847853,-0.4475452699307678,-1.8826427211549472,-0.008009335825378359,-0.021091013786884147,215.5,2.75,-0.0022566490583454347,-0.014023341750746888,-2.8857868076046294
TimeMixer,5,-0.0058191529593901795,-0.7817790797827515,-1.3989606326239574,-0.004560908115860235,-0.635146989718011,-1.7620818962850162,-0.004502473157398628,-0.6212013727342113,-2.0586638224347817,-0.012287322961953276,-0.02352544772346887,219.4,3.0,-0.0035469360278044997,-0.010097393198340248,-2.4606625989547233
