year,model,top1_mean,top1_sharpe,unique,max_rep,debias015_top1_mean
2021,Transformer,0.05031485413966942,2.428760616874094,65.0,46.0,0.017933838974504127
2022,Transformer,0.0003170109572614119,0.051617685768494244,81.0,62.0,0.0020695683941908704
2023,Transformer,0.007317583973858921,1.1296921080243931,73.0,39.0,0.002015453163941908
2024,Transformer,0.0749511919240664,2.11943683324503,48.0,48.0,0.07468597704107885
2025,TimesNet,-0.00312910740855372,-0.5743673258499528,199.0,4.0,-0.003253534477975206
