code,pick_count,mean_true,mean_pred
SH603377,7,-0.017499803485714286,0.009450799357142858
SZ002144,5,-0.00968775862,0.0104443793
SH600291,4,-0.0098463895,0.01003096875
SH603976,3,0.01912415166666667,0.010205842833333333
SH600695,2,0.12059084249999999,0.00992475675
SH603617,2,0.0030296000000000003,0.009749022999999999
SH600198,1,0.65384614,0.011396179
SH600340,1,-0.01300405,0.0077739046
SH601888,1,-0.0044918386,0.0096401805
SH603259,1,0.0021843996,0.009463607
SH603439,1,0.02147651,0.00978228
SZ000333,1,-0.028417557,0.008459908
SZ000667,1,-0.018833257,0.0090302415
SZ002096,1,0.09220872,0.008791966
SZ002166,1,0.0089489715,0.0090939505
SZ002795,1,-0.031700287,0.009010139
SZ002858,1,-0.011009174,0.009731148
