bucket,count,mean_pred,mean_true,positive_share
1,7863,-0.0017680614394893666,-0.0037111694781597356,0.4385094747551825
2,7878,-0.00014983071323445548,-0.0014597973950977406,0.4480832698654481
3,7881,0.0003786903206946517,-0.0008255887754871211,0.4514655500570994
4,7878,0.0007831730288877721,-0.0005814586488898201,0.4614115257679614
5,7887,0.001162951310141879,-0.0008818372077385574,0.45251679979713455
6,7871,0.001553324257965951,-0.0004809519953436667,0.4657603862279253
7,7878,0.001984093800587713,1.4978759837490545e-07,0.46877380045696876
8,7881,0.002512835412323309,-0.0009147318672903182,0.46745336886181954
9,7878,0.0032610619639121606,-0.0005421874618908354,0.4697892866209698
10,7895,0.004933164160379988,-0.00012988102539214679,0.4721975934135529
