year,model,feature_set,seq_len,prediction_path,completed,top1_mean,top1_sharpe,top3_mean,top5_mean,ic,rank_ic,unique,max_rep,debias015_top1_mean,debias015_top1_sharpe,num_days
2023,WPMixer,A,20,/huanghb28/aigc/cv_banc/zsw/zhuangcailin/project/Time-Series-Library2/test_results/long_term_forecast_market_2023_20_fsA_WPMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_backbone_baseline_0/top1_predictions.csv,True,0.010352127417842324,1.8044865578241933,0.003344503932448133,0.0026271540492614105,-0.012590802863177942,-0.06104631921273252,15,95,0.010357471447302905,1.843897068682462,241
2023,PatchTST,A,20,/huanghb28/aigc/cv_banc/zsw/zhuangcailin/project/Time-Series-Library2/test_results/long_term_forecast_market_2023_20_fsA_PatchTST_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_backbone_baseline_0/top1_predictions.csv,True,0.009134935756846475,1.5849299373445003,0.002658808149322268,0.002587792888514523,-0.012392909047580034,-0.0606811487087299,16,88,0.00973323272946058,1.7584441500258672,241
2023,TimeMixer,A,20,/huanghb28/aigc/cv_banc/zsw/zhuangcailin/project/Time-Series-Library2/test_results/long_term_forecast_market_2023_20_fsA_TimeMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_market_backbone_baseline_0/top1_predictions.csv,True,0.008778665304564314,1.5187156187124435,0.0025969627877178423,0.0018547788726639002,-0.012639308524069052,-0.06094618447218465,15,86,0.01148045350207469,2.049486780527464,241
2023,TimesNet,A,20,/huanghb28/aigc/cv_banc/zsw/zhuangcailin/project/Time-Series-Library2/test_results/long_term_forecast_market_2023_20_fsA_TimesNet_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_market_backbone_baseline_0/top1_predictions.csv,True,0.007356061691701243,1.1109909033597645,0.0031970076777316733,0.0032278071720580914,0.0022082096698787974,-0.0318367364564642,17,151,0.007656504942323652,1.172369278505285,241
2023,iTransformer,A,20,/huanghb28/aigc/cv_banc/zsw/zhuangcailin/project/Time-Series-Library2/test_results/long_term_forecast_market_2023_20_fsA_iTransformer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_backbone_baseline_0/top1_predictions.csv,True,0.006591637624232364,0.8588136659879648,0.0055478502474965415,0.0021666778183651453,-0.00903800736642184,-0.05509175524813264,18,90,0.005625221199751038,0.8885006959632579,241
2024,WPMixer,A,20,/huanghb28/aigc/cv_banc/zsw/zhuangcailin/project/Time-Series-Library2/test_results/long_term_forecast_market_2024_20_fsA_WPMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_backbone_baseline_0/top1_predictions.csv,True,0.0784076366514523,2.1633279058786297,0.03233034756721992,0.021734383292199174,0.009912255940329719,-0.04889172379665332,8,77,0.07885057803485479,2.1496277482773767,241
2024,iTransformer,A,20,/huanghb28/aigc/cv_banc/zsw/zhuangcailin/project/Time-Series-Library2/test_results/long_term_forecast_market_2024_20_fsA_iTransformer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_backbone_baseline_0/top1_predictions.csv,True,0.07792508269709546,2.137959824904926,0.033450506499170134,0.02115341698884647,0.019504209088681803,-0.03625931474338275,12,78,0.07769016354024898,2.127877360893352,241
2024,PatchTST,A,20,/huanghb28/aigc/cv_banc/zsw/zhuangcailin/project/Time-Series-Library2/test_results/long_term_forecast_market_2024_20_fsA_PatchTST_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_backbone_baseline_0/top1_predictions.csv,True,0.07693006454356847,2.1201262224767015,0.03361033186058091,0.022367267730539417,0.009468396801097888,-0.047891379010656904,9,70,0.07791686054356846,2.1222359211067996,241
2024,TimeMixer,A,20,/huanghb28/aigc/cv_banc/zsw/zhuangcailin/project/Time-Series-Library2/test_results/long_term_forecast_market_2024_20_fsA_TimeMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_market_backbone_baseline_0/top1_predictions.csv,True,0.07353616729460581,2.0261932499385864,0.03156868666528354,0.022653859922157675,0.010234254796196713,-0.04870599381102651,9,66,0.07083880044564315,1.946998891420204,241
2024,TimesNet,A,20,/huanghb28/aigc/cv_banc/zsw/zhuangcailin/project/Time-Series-Library2/test_results/long_term_forecast_market_2024_20_fsA_TimesNet_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_market_backbone_baseline_0/top1_predictions.csv,True,0.05984898123029047,1.73546081505278,0.03577335918699862,0.024647240438589214,0.02923565982799422,-0.017806425184877836,12,65,0.06453236014522823,1.8647681152326436,241
