year,model,top1_mean,top1_sharpe,unique,max_rep,debias015_top1_mean
2021,TimesNet,0.041298720857438014,1.9691888083662434,20,123,0.043803350452479344
2022,TimesNet,0.0029064805219917015,0.6361206140026809,26,82,0.004711869759751037
2023,WPMixer,0.010352127417842324,1.8044865578241933,15,95,0.010357471447302905
2024,WPMixer,0.0784076366514523,2.1633279058786297,8,77,0.07885057803485479
