model,years,avg_top1_mean,avg_top1_sharpe,avg_top3_mean,avg_top5_mean,avg_ic,avg_rank_ic,avg_unique,avg_max_rep,avg_debias015_top1_mean,min_top1_mean,min_top1_sharpe
WPMixer,4,0.029809465807591307,1.0461405612447878,0.01245670419842618,0.008808948537464003,-0.001851550468771189,-0.05040904720208368,12.75,96.5,0.03123218934957992,-0.008185347280912863,-1.620830380432451
iTransformer,4,0.02963059425058246,1.131724977080029,0.01426273092050916,0.008401243777357265,0.003389013395334785,-0.04248274113765008,17.0,91.0,0.02990345721275797,-0.0005737658975103728,-0.12008547545002544
TimeMixer,4,0.029561293429358135,1.1938991685881883,0.012324619186406646,0.008808168337356991,-0.0015919322830397088,-0.05016458852755297,12.75,89.75,0.029550328758636106,-0.003035694780497922,-0.6189499316233965
PatchTST,4,0.02879740465882986,0.9553116924755696,0.012470807816215264,0.008702080907249185,-0.0017106036288589447,-0.0498851707182134,13.5,90.75,0.030039207327027365,-0.008317809353112032,-1.6629638263016573
TimesNet,4,0.02785256107535536,1.3629402851953671,0.015854418208427853,0.011323467297196573,0.015268991280821698,-0.02207246404754664,18.75,105.25,0.030176021324945568,0.0029064805219917015,0.6361206140026809
