strategy_name,year,gated_off_rate,num_days,mean_return,cumulative_return,sharpe,switch_count,same_code_streak_days,avg_entry_cost_bps,avg_exit_cost_bps
baseline_amplitude_low_cash,2018,0.41735537190082644,242,0.0012917544273966927,-0.6022105033472736,0.21699431328587498,126,115,0.0,0.0
baseline_amplitude_low_cash,2019,0.49794238683127573,243,0.0071330247592592605,0.5036566807120633,1.0781071531878819,106,136,0.0,0.0
baseline_amplitude_low_cash,2020,0.2768595041322314,242,0.012702210839256203,0.05286559091909937,1.208317221354629,115,126,0.0,0.0
baseline_amplitude_low_cash,2021,0.045454545454545456,242,0.050150599725206614,61.833187159329334,2.428741187938258,150,91,0.0,0.0
baseline_amplitude_low_cash,2022,0.0954356846473029,241,0.0026703698614107844,-0.3446012751132643,0.4494483135411282,156,84,0.0,0.0
baseline_amplitude_low_cash,2023,0.8630705394190872,241,0.00509748800497925,1.8673398626747701,2.0905459810408797,45,195,0.0,0.0
baseline_amplitude_low_cash,2024,0.3278008298755187,241,0.06250165958506224,116.60858515546721,1.9779011581494415,110,130,0.0,0.0
baseline_amplitude_low_cash,2025,0.6776859504132231,242,-0.005221988410743801,-0.8255121285189345,-1.3279340213680162,98,143,0.0,0.0
baseline_plain_top1,2018,0.0,242,0.006755111960619836,-0.4315092329391147,0.7781645611171265,152,89,0.0,0.0
baseline_plain_top1,2019,0.0,243,0.016996767948971196,7.680317932402151,2.061327380432001,107,135,0.0,0.0
baseline_plain_top1,2020,0.0,242,0.015146047640495873,-0.0879623072797805,1.2765895064064137,112,129,0.0,0.0
baseline_plain_top1,2021,0.0,242,0.04892835781818181,40.0088822362065,2.357733208348017,140,101,0.0,0.0
baseline_plain_top1,2022,0.0,241,0.0026503566829875493,-0.3981855746200028,0.4302421276088188,145,95,0.0,0.0
baseline_plain_top1,2023,0.0,241,0.01078018074547718,2.824386817212284,1.6075835944808263,136,104,0.0,0.0
baseline_plain_top1,2024,0.0,241,0.05535371846348548,0.7335718137012446,1.6927017621255505,114,126,0.0,0.0
baseline_plain_top1,2025,0.0,242,-0.015172266334876032,-0.9918221357227106,-2.538136040427048,173,68,0.0,0.0
style_neutral_amountshare_low_cash,2018,0.36363636363636365,242,0.002810640383553719,0.4257700880934492,0.8484647747620567,144,97,0.0,0.0
style_neutral_amountshare_low_cash,2019,0.37448559670781895,243,0.006121354551851856,2.059803440973766,1.7588682649299998,101,141,0.0,0.0
style_neutral_amountshare_low_cash,2020,0.2024793388429752,242,0.002633073142561986,-0.5112235194701623,0.4150413068643186,132,109,0.0,0.0
style_neutral_amountshare_low_cash,2021,0.06198347107438017,242,0.021491392992685956,92.56894673215808,4.692311795249255,136,105,0.0,0.0
style_neutral_amountshare_low_cash,2022,0.7053941908713693,241,0.010855156984854772,9.303855143931802,3.6049265202549226,68,172,0.0,0.0
style_neutral_amountshare_low_cash,2023,0.4730290456431535,241,0.0087063554186722,4.23598627347444,2.1929740757634004,116,124,0.0,0.0
style_neutral_amountshare_low_cash,2024,0.49377593360995853,241,0.004720112634024899,0.37138642833797597,0.9027342668508177,119,121,0.0,0.0
style_neutral_amountshare_low_cash,2025,0.5289256198347108,242,-0.00311384538429752,-0.708115576205819,-0.794866579717823,81,160,0.0,0.0
