strategy_name,mean_return_avg,cumulative_return_final,sharpe_avg,switch_count_total,same_code_streak_days_total,gated_off_rate_avg
baseline_amplitude_low_cash,0.017040639848978405,1524.9948107660653,1.0152651633912595,906,1020,0.40020060158425136
baseline_plain_top1,0.01767978436566786,5.022210183321028,0.9582757625114632,1079,847,0.0
style_neutral_amountshare_low_cash,0.006778030090488484,4307.777612199781,1.7025568031196183,897,1029,0.40046369502759127
