family,w_itrans,num_days,mean_return,cumulative_return,sharpe,switch_count,same_code_streak_days,avg_entry_cost_bps,avg_exit_cost_bps,quantile,threshold
weighted_mean,0.3,2340,0.011478781893665703,-0.985055070133909,0.6257438546892864,532,1807,1.8222222222222222,2.9611111111111112,,
weighted_mean,0.4,2340,0.012010853683323242,-0.9278064272202649,0.6560316832943683,589,1750,2.017094017094017,3.2777777777777777,,
weighted_mean,0.5,2340,0.012577185042838234,-0.7937536012857169,0.6849920583262993,721,1618,2.4683760683760685,4.011111111111111,,
weighted_mean,0.6,2340,0.012286701912551955,0.01634540139773577,0.6785617880584836,775,1564,2.652991452991453,4.311111111111111,,
weighted_mean,0.7,2340,0.011405937384060288,-0.8504786091779476,0.6304793707943558,875,1464,2.994871794871795,4.866666666666666,,
gated_right,,2340,0.014637872995587824,-0.746999670639978,0.7344007650349251,662,1677,2.2666666666666666,3.683333333333333,0.4,0.01206071
gated_right,,2340,0.014955633988320808,-0.529108345199597,0.7501713043646059,625,1714,2.14017094017094,3.477777777777778,0.5,0.017487471500000008
gated_right,,2340,0.014891144510674853,-0.5925749175936703,0.7469645580083174,590,1749,2.0205128205128204,3.283333333333333,0.6,0.024925435999999978
