strategy,fold_year,num_days,top1_mean_return,top1_cumulative_return,top1_sharpe,top5_mean_return,top5_cumulative_return,top5_sharpe,top10_mean_return,top10_cumulative_return,top10_sharpe,ic,rank_ic,decile_spread_mean,top_decile_positive_share,bottom_decile_negative_share
itransformer+patchtst/gated_q50_left,2015,243,0.00537267774308642,0.2965680448024919,0.933016070331128,0.00537267774308642,0.2965680448024919,0.933016070331128,0.00537267774308642,0.2965680448024919,0.933016070331128,0.0,0.0,0.0,0.5637860082304527,0.43621399176954734
itransformer+patchtst/gated_q50_left,2016,243,0.007695598216831276,3.3232999782182535,2.110935473630079,0.007695598216831276,3.3232999782182535,2.110935473630079,0.007695598216831276,3.3232999782182535,2.110935473630079,0.0,0.0,0.0,0.5390946502057613,0.4609053497942387
itransformer+patchtst/gated_q50_left,2017,243,-0.005198975750082305,-0.7751446387604816,-1.9273276948067062,-0.005198975750082305,-0.7751446387604816,-1.9273276948067062,-0.005198975750082305,-0.7751446387604816,-1.9273276948067062,0.0,0.0,0.0,0.4897119341563786,0.5102880658436214
itransformer+patchtst/gated_q50_left,2018,242,0.005139563152892561,0.03448312375047946,0.7688659000900342,0.005139563152892561,0.03448312375047946,0.7688659000900342,0.005139563152892561,0.03448312375047946,0.7688659000900342,0.0,0.0,0.0,0.47520661157024796,0.5247933884297521
itransformer+patchtst/gated_q50_left,2019,243,-0.006670006306172837,-0.9870528765876865,-0.8202028078192372,-0.006670006306172837,-0.9870528765876865,-0.8202028078192372,-0.006670006306172837,-0.9870528765876865,-0.8202028078192372,0.0,0.0,0.0,0.46502057613168724,0.5349794238683128
itransformer+patchtst/gated_q50_left,2020,242,0.048349741799173555,3.7775492285366887,1.0981014249660497,0.048349741799173555,3.7775492285366887,1.0981014249660497,0.048349741799173555,3.7775492285366887,1.0981014249660497,0.0,0.0,0.0,0.4380165289256198,0.5619834710743802
itransformer+patchtst/gated_q50_left,2021,242,0.009422862606611574,-0.8121362880272779,0.84809926206748,0.009422862606611574,-0.8121362880272779,0.84809926206748,0.009422862606611574,-0.8121362880272779,0.84809926206748,0.0,0.0,0.0,0.49586776859504134,0.5041322314049587
itransformer+patchtst/gated_q50_left,2022,241,0.00974074343651452,1.0062693849196305,0.9982391957668802,0.00974074343651452,1.0062693849196305,0.9982391957668802,0.00974074343651452,1.0062693849196305,0.9982391957668802,0.0,0.0,0.0,0.48132780082987553,0.5186721991701245
itransformer+patchtst/gated_q50_left,2023,241,-0.00372726162780083,-0.804472927727763,-0.7668052470639415,-0.00372726162780083,-0.804472927727763,-0.7668052470639415,-0.00372726162780083,-0.804472927727763,-0.7668052470639415,0.0,0.0,0.0,0.43983402489626555,0.5601659751037344
itransformer+patchtst/gated_q50_left,2024,160,0.052557317668750006,0.28640573459715024,1.4419606211990834,0.052557317668750006,0.28640573459715024,1.4419606211990834,0.052557317668750006,0.28640573459715024,1.4419606211990834,0.0,0.0,0.0,0.4875,0.5125
wpmixer+timemixer+timesnet/zscore_mean,2015,243,0.003979065520864198,-0.07611567323975788,0.6878674792986587,0.0075524691819547326,2.7318526239277423,1.8611341681955238,0.006744424976923869,2.2108089631763255,1.7477482856523752,0.026642365347540747,0.004287795069647244,0.0021124409016416864,0.5489074940570592,0.4435033892271554
wpmixer+timemixer+timesnet/zscore_mean,2016,243,-0.0009270786314814826,-0.4551863521666668,-0.26183553691526473,-0.0011669884302551443,-0.3794517327950858,-0.46791979787709287,-0.001129881538720165,-0.3493006941875122,-0.506359103670743,0.0012259774882252682,-0.022739592323620814,-0.0006026484474497099,0.5204340029885641,0.4336779743415899
wpmixer+timemixer+timesnet/zscore_mean,2017,243,-0.005912746457366253,-0.8148343007784007,-2.0992407696413555,-0.0038761649005761315,-0.6500488508381765,-2.1006437425336197,-0.002514778242152264,-0.49974264008073765,-1.5610525351507945,-0.009283876400903996,-0.02438650528657587,-0.0013006601931609524,0.5250443150253635,0.4121058756580014
wpmixer+timemixer+timesnet/zscore_mean,2018,242,0.00707627941157025,0.5367997103571356,1.0263366364180615,0.0002627609436611569,-0.20049442120382788,0.08456468531150663,-0.0015667838835165288,-0.42089301584767025,-0.6700098956104359,0.0009234195831668089,-0.02108948684008964,-0.00037749779615230025,0.4882236546825354,0.5025880079266208
wpmixer+timemixer+timesnet/zscore_mean,2019,243,-0.01017769077654321,-0.9957066227574632,-1.2140324117345507,-0.0001486002814897122,-0.26680762042606365,-0.05007419121322745,0.0012468712016502062,0.15854558227137172,0.5544867368777144,0.0038905491858748707,-0.018781803563626506,0.00021015303246397357,0.5226268273358317,0.43390100957736555
wpmixer+timemixer+timesnet/zscore_mean,2020,242,0.052242185340082646,12.717218402694337,1.1893091056776512,0.012240986709553717,3.973138060187809,1.2986259051992552,0.005715273702388429,1.268569356304024,1.1052459290390102,0.004446189107468083,-0.027045234991231563,0.0005787099001775031,0.4908100466944527,0.49826839599481626
wpmixer+timemixer+timesnet/zscore_mean,2021,242,0.013886604108512399,-0.5534246725322798,1.2143953054990833,0.004587901434115703,1.1555502127791244,1.3636839693140075,0.0027211590264338854,0.6686469731686135,1.2415591096864071,0.0024859450009713283,-0.0358967522549046,-4.700149304936267e-05,0.4761468701666246,0.5038720584429398
wpmixer+timemixer+timesnet/zscore_mean,2022,241,0.012180378475103736,2.3932428990496204,1.2339193532840558,-0.0029139102252448137,-0.6247212921820677,-0.9437359737742022,-0.0025077684129502075,-0.5275577796791653,-1.1449307606003492,-0.009564838919067018,-0.04558493923406079,-0.000937431042967269,0.46591375220426595,0.4991821936543453
wpmixer+timemixer+timesnet/zscore_mean,2023,241,0.006986737166390041,0.9615884993374635,1.2031658376897407,-0.0007009351579253111,-0.28234608793486826,-0.30091459708825047,-0.0007840575393112032,-0.2555776532926338,-0.4172842001607183,-0.010103833753333907,-0.054803083656547506,-0.0006288245385066722,0.4662279936305559,0.4900370820807367
wpmixer+timemixer+timesnet/zscore_mean,2024,160,0.04909422871875001,-0.40619327636368163,1.340277673060529,0.012526797679625001,1.1047788542051942,1.3452369959040549,0.00746510306945625,0.9087460182170641,1.3272175318345343,0.0055237264484508984,-0.042602858842480155,-0.0008898943312832168,0.48112172128045766,0.481646045291917
