strategy,fold_year,top1_mean,top1_cum,top1_sharpe,top5_mean,top5_cum,top5_sharpe,top10_mean,top10_cum,top10_sharpe,ic,rank_ic,decile_spread,top_decile_pos,bottom_decile_neg
itransformer+patchtst/gated_q50_left,2015,0.00425004254159349,0.005491353029361434,0.7519705160622997,0.007772044704311211,2.7006892100804976,1.794938150271034,0.006678569392599742,2.1200264104640776,1.7006856119079692,0.025622770331465317,0.002482343067889418,0.002051331521423942,0.5447236178914355,0.4457190565246558
itransformer+patchtst/gated_q50_left,2016,0.0071486512113606,2.834867239741733,1.9909798583081366,0.000820963384920784,0.02934523910214004,0.34962701800883406,5.279245451648184e-06,-0.1340881526577603,0.0024389260490969037,0.000554043202218739,-0.025286362468377045,-0.0005725287025319476,0.4886163108860432,0.5080206703055554
itransformer+patchtst/gated_q50_left,2017,-0.005926156214039806,-0.8105026939815163,-2.225578340929818,-0.0022393935729376323,-0.47602392411599825,-1.238231904662281,-0.002503341162113562,-0.49756061304731436,-1.5673251891319293,-0.011054999739987519,-0.03145638632513823,-0.0013759648406877745,0.48474404517268804,0.4768845682565342
itransformer+patchtst/gated_q50_left,2018,0.00037969814174076234,-0.6427859541003673,0.06162220690288034,0.0012297468128129325,0.02868303946088835,0.4079850102221808,-0.00020946471052311636,-0.18339744723562434,-0.09362585210724418,-0.0027614189221107847,-0.024759182795445044,-0.0005458425593986263,0.46373080071079525,0.5528136136185777
itransformer+patchtst/gated_q50_left,2019,-0.0007932038031382132,-0.9500832542500034,-0.09364346688856584,0.002042304972079611,0.29596981153315705,0.7387596184142549,0.0019225068609207475,0.3919508445630835,0.9156653227695165,0.004669717780806608,-0.022517843466707637,0.00019436166669253152,0.4880976321360344,0.5145320398754301
itransformer+patchtst/gated_q50_left,2020,0.04661680117425976,2.733819940223709,1.0601294564116923,0.012520635924127927,4.1309423928147,1.3173455744051459,0.004993732379380549,0.9255170814740834,0.9807597972106997,0.005975554281308452,-0.021968695176866476,0.0005348728342810789,0.47928642930529397,0.5426027321791128
itransformer+patchtst/gated_q50_left,2021,0.013623296634044428,-0.5183066579550084,1.2073070340112857,0.004436664494311046,1.1140388404734431,1.3535637139470102,0.0013703309568101538,0.21411358976226236,0.6450732527700245,-0.00022234834197023894,-0.03611339806574434,-0.00010018202212501762,0.47219514314758926,0.5341782294876712
itransformer+patchtst/gated_q50_left,2022,0.0004185628067854721,-0.4308684529340806,0.08848798310190396,-0.001565744917725639,-0.443754295970457,-0.5973353142339828,-0.002202553978352443,-0.48268834277548955,-1.0771218388058625,-0.0072537041236740854,-0.042031554583387816,-0.0007170096860566427,0.4584614948759818,0.5362581211076152
itransformer+patchtst/gated_q50_left,2023,-0.0012565621848907279,-0.6651577908069783,-0.250929644206208,-0.002749322029947162,-0.5531152384062392,-1.2744522520514951,-0.0018328717405658342,-0.4169948367362445,-1.0233724469317336,-0.010794156484419552,-0.05414772411521831,-0.0006172011403416126,0.4631474438956066,0.47520046968653656
itransformer+patchtst/gated_q50_left,2024,0.050541783833504016,-0.3100870338950986,1.3860658989357484,0.019058597207408535,4.493306631290199,1.9676592673572466,0.009210391401128218,1.508286766219404,1.626794172223858,0.0035584380008151202,-0.038662443736717865,-0.0007184737080204154,0.45705652823655296,0.5469883301478158
wpmixer+timemixer+timesnet/zscore_mean,2015,0.003979065520864198,-0.07611567323975788,0.6878674792986587,0.0075524691819547326,2.7318526239277423,1.8611341681955238,0.006744424976923869,2.2108089631763255,1.7477482856523752,0.026642365347540744,0.004287795069647244,0.0022085741496371764,0.5488203699877111,0.44410510952324866
wpmixer+timemixer+timesnet/zscore_mean,2016,-0.0009270786314814826,-0.4551863521666668,-0.26183553691526473,-0.0011669884302551443,-0.3794517327950858,-0.46791979787709287,-0.001129881538720165,-0.3493006941875122,-0.506359103670743,0.0012259774882252708,-0.022739592323620814,-0.000612732323832159,0.5204130202826204,0.4337363900114575
wpmixer+timemixer+timesnet/zscore_mean,2017,-0.005912746457366253,-0.8148343007784007,-2.0992407696413555,-0.0038761649005761315,-0.6500488508381765,-2.1006437425336197,-0.002514778242152264,-0.49974264008073765,-1.5610525351507945,-0.009283876400904,-0.02438650528657587,-0.0013228599235041276,0.5248787739509169,0.4121622140159203
