year,variant,slice_col,median,low_mean,high_mean,low_n,high_n
2021,headreg_lossstop_fullyear,market_cc_mean,0.0024429587236120868,-0.000911464107933885,0.010996395021735533,121,121
2021,headreg_lossstop_fullyear,market_amount_top10_share,0.7927941220159342,0.003984108532479338,0.006100822381322312,121,121
2021,stage2topheavy_lossstop_fullyear,market_cc_mean,0.0024429587236120868,0.000811100340826447,0.009285894943801654,121,121
2021,stage2topheavy_lossstop_fullyear,market_amount_top10_share,0.7927941220159342,0.0027458565818181814,0.007351138702809917,121,121
2022,headreg_lossstop_fullyear,market_cc_mean,0.001275121388641687,-0.0019418882239669428,-0.0003257844558333336,121,120
2022,headreg_lossstop_fullyear,market_amount_top10_share,0.730269427519987,-0.0052591317942148755,0.0030191028108333333,121,120
2022,stage2topheavy_lossstop_fullyear,market_cc_mean,0.001275121388641687,-0.003967442471900828,-0.0009079403391666666,121,120
2022,stage2topheavy_lossstop_fullyear,market_amount_top10_share,0.730269427519987,-0.005220167395867769,0.00035522395916666726,121,120
2023,headreg_lossstop_fullyear,market_cc_mean,-7.666174262824802e-05,-0.007104218692561983,0.005939222750833332,121,120
2023,headreg_lossstop_fullyear,market_amount_top10_share,0.7447401275142981,0.004392210395041322,-0.005653009912499996,121,120
2023,stage2topheavy_lossstop_fullyear,market_cc_mean,-7.666174262824802e-05,-0.0034975503570247924,0.010937576000583333,121,120
2023,stage2topheavy_lossstop_fullyear,market_amount_top10_share,0.7447401275142981,0.003060863042975207,0.0043245091555833325,121,120
2024,headreg_lossstop_fullyear,market_cc_mean,0.0009408715120226871,0.010113925615702481,0.028968104212499998,121,120
2024,headreg_lossstop_fullyear,market_amount_top10_share,0.74374878987563,-0.0016279751851239694,0.040807854186666666,121,120
2024,stage2topheavy_lossstop_fullyear,market_cc_mean,0.0009408715120226871,0.014584906423966947,-0.002457775378583336,121,120
2024,stage2topheavy_lossstop_fullyear,market_amount_top10_share,0.74374878987563,-1.1615114297522005e-05,0.012260383839166666,121,120
