year,variant,mode,top1_mean,top1_cum,top3_mean,top5_mean,ic,rank_ic,unique,max_rep
2021,baseline,debias015,0.0226866949117647,0.7980879322821235,0.007270498408823528,0.002713339984117647,0.026020484954978693,0.02220665542614937,17,8
2021,baseline,raw,0.022514674764705877,0.7877845333266138,0.005112027576470588,3.58733061764705e-05,0.02599954068390047,0.020664131482263728,17,7
2021,stage2topheavy,debias015,0.0185548514617647,0.5495370125566226,0.004857867156862744,0.002653859681176469,0.019770494528733005,0.013252766892552195,21,7
2021,stage2topheavy,raw,0.02327906037941176,0.8385489830880182,0.003960984680392157,0.001604712871764705,0.01833835401342334,0.010615398431556608,19,8
2021,stage2topheavy_topk,debias015,0.0002720767411764668,-0.3284325325461246,0.00272270073607843,0.004467057107176471,0.006790307321476296,-0.016578926591566675,22,6
2021,stage2topheavy_topk,raw,0.011910837026470585,-0.014110546386607137,0.0029698925507843123,0.00047062073164706004,0.004698700535016336,-0.02019809328824588,21,6
2023,baseline,debias015,0.001028737957142858,0.01665377367120824,-0.0020841537571428567,-0.0018947446540571427,0.043587458020655695,0.020691288208123455,23,6
2023,baseline,raw,-0.004362248848571428,-0.16255708088501442,-0.0011987829733333332,-0.0009176296003428569,0.04493360378326022,0.021151222162637824,22,7
2023,stage2topheavy,debias015,0.007718777785714285,0.2631389919790019,0.008055853860952382,-0.0006025698849714281,0.03702291121209743,0.01005501044984502,23,10
2023,stage2topheavy,raw,0.007335396528571426,0.2500249436180326,0.004916962919047618,0.0002876760835999995,0.03800765335981081,0.010066680800303925,24,11
2023,stage2topheavy_topk,debias015,0.004782350491428573,0.09023715195205817,0.003627093959047619,-0.0030026808057142854,0.015536351031369534,-0.0009154319622532835,14,13
2023,stage2topheavy_topk,raw,0.011021028082857143,0.3351682142295289,0.0031846161552380944,0.0003919460988571439,0.015498583576614289,-0.0025607991546246563,11,16
2024,baseline,debias015,-0.013713590533333335,-0.48472400423172424,-0.006050847689814815,-0.0013290980444444435,0.06389123306870587,0.05133305728479688,27,3
2024,baseline,raw,-0.002691299811111112,-0.21887020503507992,-0.005159282398148149,0.0008796664799999997,0.064147748252176,0.05205581380577624,24,4
2024,stage2topheavy,debias015,0.03396551283611112,0.44085697466358087,0.02314982323518518,0.01326846145911111,0.07806567207087209,0.06379364353236235,23,4
2024,stage2topheavy,raw,0.04065030058611111,0.9029769422685896,0.01998094268888889,0.01611038557944444,0.07964584799909924,0.06641356319303426,22,4
2024,stage2topheavy_topk,debias015,0.025730123566666672,-0.11245418889904568,0.0023886797962962944,0.0014193743961111133,0.055548338359156915,0.06049149313188135,13,10
2024,stage2topheavy_topk,raw,0.029320210277777783,0.01606019075042986,0.0030380989981481474,0.0018453099738888895,0.055034791933349474,0.05929537546232214,11,13
