kind,name,fold_year,members,method,num_days,mean_return,cumulative_return,sharpe,top_picks,ic,rank_ic
pair,2015_zscore_mean_dlinear_a01_y2015+timesnet_hbce_a01_y2015,2015,dlinear_a01_y2015+timesnet_hbce_a01_y2015,zscore_mean,243,0.0037237461358113847,0.2804511297927559,0.8041689344367065,"[('2015-01-05', 'SZ300250'), ('2015-01-06', 'SZ000923'), ('2015-01-07', 'SH600381'), ('2015-01-08', 'SH600727'), ('2015-01-09', 'SZ002488'), ('2015-01-12', 'SH600381'), ('2015-01-13', 'SH600381'), ('2015-01-14', 'SH600458'), ('2015-01-15', 'SZ000008'), ('2015-01-16', 'SZ300139'), ('2015-01-19', 'SZ002189'), ('2015-01-20', 'SH600212'), ('2015-01-21', 'SZ300085'), ('2015-01-22', 'SH600052'), ('2015-01-23', 'SH600588'), ('2015-01-26', 'SZ002240'), ('2015-01-27', 'SH600381'), ('2015-01-28', 'SZ300059'), ('2015-01-29', 'SZ000627'), ('2015-01-30', 'SH600381'), ('2015-02-02', 'SZ000627'), ('2015-02-03', 'SZ000627'), ('2015-02-04', 'SZ000627'), ('2015-02-05', 'SZ000627'), ('2015-02-06', 'SZ000627'), ('2015-02-09', 'SZ000509'), ('2015-02-10', 'SH600381'), ('2015-02-11', 'SZ300350'), ('2015-02-12', 'SH600381'), ('2015-02-13', 'SH601519'), ('2015-02-16', 'SH601519'), ('2015-02-17', 'SH600381'), ('2015-02-25', 'SH600381'), ('2015-02-26', 'SH601519'), ('2015-02-27', 'SH600381'), ('2015-03-02', 'SH600381'), ('2015-03-03', 'SZ300278'), ('2015-03-04', 'SH600381'), ('2015-03-05', 'SZ000728'), ('2015-03-06', 'SZ300380'), ('2015-03-09', 'SH600212'), ('2015-03-10', 'SZ000626'), ('2015-03-11', 'SH600829'), ('2015-03-12', 'SZ300081'), ('2015-03-13', 'SH600381'), ('2015-03-16', 'SZ300343'), ('2015-03-17', 'SH600381'), ('2015-03-18', 'SZ300081'), ('2015-03-19', 'SZ002270'), ('2015-03-20', 'SH600661'), ('2015-03-23', 'SZ002312'), ('2015-03-24', 'SZ300013'), ('2015-03-25', 'SZ002439'), ('2015-03-26', 'SH600804'), ('2015-03-27', 'SZ300144'), ('2015-03-30', 'SZ300159'), ('2015-03-31', 'SZ002657'), ('2015-04-01', 'SZ002657'), ('2015-04-02', 'SZ300377'), ('2015-04-03', 'SZ002354'), ('2015-04-07', 'SH600381'), ('2015-04-08', 'SZ300159'), ('2015-04-09', 'SZ300131'), ('2015-04-10', 'SZ002123'), ('2015-04-13', 'SZ002123'), ('2015-04-14', 'SZ300018'), ('2015-04-15', 'SZ300131'), ('2015-04-16', 'SH600381'), ('2015-04-17', 'SZ002044'), ('2015-04-20', 'SZ002044'), ('2015-04-21', 'SH600381'), ('2015-04-22', 'SZ002044'), ('2015-04-23', 'SZ002044'), ('2015-04-24', 'SZ002625'), ('2015-04-27', 'SZ002625'), ('2015-04-28', 'SZ002625'), ('2015-04-29', 'SZ300059'), ('2015-04-30', 'SZ300353'), ('2015-05-04', 'SZ002446'), ('2015-05-05', 'SZ002261'), ('2015-05-06', 'SZ002517'), ('2015-05-07', 'SZ000889'), ('2015-05-08', 'SZ000889'), ('2015-05-11', 'SZ002517'), ('2015-05-12', 'SZ300063'), ('2015-05-13', 'SZ300271'), ('2015-05-14', 'SZ300010'), ('2015-05-15', 'SZ000755'), ('2015-05-18', 'SZ300063'), ('2015-05-19', 'SZ002555'), ('2015-05-20', 'SZ002421'), ('2015-05-21', 'SZ300348'), ('2015-05-22', 'SZ002555'), ('2015-05-25', 'SZ300248'), ('2015-05-26', 'SZ002119'), ('2015-05-27', 'SZ002119'), ('2015-05-28', 'SZ002491'), ('2015-05-29', 'SZ000626'), ('2015-06-01', 'SZ000692'), ('2015-06-02', 'SZ000638'), ('2015-06-03', 'SZ002659'), ('2015-06-04', 'SZ300233'), ('2015-06-05', 'SZ002349'), ('2015-06-08', 'SZ002255'), ('2015-06-09', 'SH600076'), ('2015-06-10', 'SH600076'), ('2015-06-11', 'SH600076'), ('2015-06-12', 'SZ002188'), ('2015-06-15', 'SZ002188'), ('2015-06-16', 'SH600797'), ('2015-06-17', 'SZ002188'), ('2015-06-18', 'SZ000719'), ('2015-06-19', 'SZ000938'), ('2015-06-23', 'SZ002188'), ('2015-06-24', 'SZ300299'), ('2015-06-25', 'SZ300350'), ('2015-06-26', 'SZ300110'), ('2015-06-29', 'SZ002488'), ('2015-06-30', 'SZ300220'), ('2015-07-01', 'SZ300348'), ('2015-07-02', 'SZ300131'), ('2015-07-03', 'SZ002679'), ('2015-07-06', 'SZ002380'), ('2015-07-07', 'SZ300011'), ('2015-07-08', 'SZ300120'), ('2015-07-09', 'SH600476'), ('2015-07-10', 'SZ300106'), ('2015-07-13', 'SZ002540'), ('2015-07-14', 'SZ002631'), ('2015-07-15', 'SZ300212'), ('2015-07-16', 'SZ300386'), ('2015-07-17', 'SH600810'), ('2015-07-20', 'SH600810'), ('2015-07-21', 'SZ002679'), ('2015-07-22', 'SZ300066'), ('2015-07-23', 'SH600868'), ('2015-07-24', 'SH600727'), ('2015-07-27', 'SH600727'), ('2015-07-28', 'SH600749'), ('2015-07-29', 'SZ300268'), ('2015-07-30', 'SZ000790'), ('2015-07-31', 'SZ002723'), ('2015-08-03', 'SZ300018'), ('2015-08-04', 'SZ002342'), ('2015-08-05', 'SH600313'), ('2015-08-06', 'SZ002322'), ('2015-08-07', 'SZ002151'), ('2015-08-10', 'SH600052'), ('2015-08-11', 'SZ300097'), ('2015-08-12', 'SZ000796'), ('2015-08-13', 'SZ300252'), ('2015-08-14', 'SZ300032'), ('2015-08-17', 'SZ002334'), ('2015-08-18', 'SZ002506'), ('2015-08-19', 'SZ002395'), ('2015-08-20', 'SZ002506'), ('2015-08-21', 'SZ002506'), ('2015-08-24', 'SZ300182'), ('2015-08-25', 'SZ002506'), ('2015-08-26', 'SZ300375'), ('2015-08-27', 'SZ002506'), ('2015-08-28', 'SZ300375'), ('2015-08-31', 'SZ002506'), ('2015-09-01', 'SH600730'), ('2015-09-02', 'SZ002506'), ('2015-09-07', 'SZ002506'), ('2015-09-08', 'SZ300363'), ('2015-09-09', 'SZ002506'), ('2015-09-10', 'SZ300385'), ('2015-09-11', 'SZ002410'), ('2015-09-14', 'SH600810'), ('2015-09-15', 'SH600052'), ('2015-09-16', 'SZ300126'), ('2015-09-17', 'SZ002506'), ('2015-09-18', 'SZ002506'), ('2015-09-21', 'SZ002076'), ('2015-09-22', 'SZ300011'), ('2015-09-23', 'SZ000632'), ('2015-09-24', 'SZ300011'), ('2015-09-25', 'SZ002488'), ('2015-09-28', 'SZ002373'), ('2015-09-29', 'SZ000615'), ('2015-09-30', 'SH600191'), ('2015-10-08', 'SZ002111'), ('2015-10-09', 'SZ002506'), ('2015-10-12', 'SZ002506'), ('2015-10-13', 'SZ000025'), ('2015-10-14', 'SZ002030'), ('2015-10-15', 'SZ002617'), ('2015-10-16', 'SZ300353'), ('2015-10-19', 'SZ000426'), ('2015-10-20', 'SZ002474'), ('2015-10-21', 'SZ000571'), ('2015-10-22', 'SZ002445'), ('2015-10-23', 'SZ002506'), ('2015-10-26', 'SZ002702'), ('2015-10-27', 'SZ000676'), ('2015-10-28', 'SH600593'), ('2015-10-29', 'SZ002506'), ('2015-10-30', 'SZ002506'), ('2015-11-02', 'SZ000676'), ('2015-11-03', 'SZ002506'), ('2015-11-04', 'SZ300191'), ('2015-11-05', 'SZ000676'), ('2015-11-06', 'SH600754'), ('2015-11-09', 'SZ002343'), ('2015-11-10', 'SZ002166'), ('2015-11-11', 'SZ002600'), ('2015-11-12', 'SZ002343'), ('2015-11-13', 'SZ002343'), ('2015-11-16', 'SZ002506'), ('2015-11-17', 'SZ002506'), ('2015-11-18', 'SZ300157'), ('2015-11-19', 'SZ002506'), ('2015-11-20', 'SZ002343'), ('2015-11-23', 'SH600226'), ('2015-11-24', 'SZ300010'), ('2015-11-25', 'SZ002506'), ('2015-11-26', 'SZ300010'), ('2015-11-27', 'SH600610'), ('2015-11-30', 'SZ002506'), ('2015-12-01', 'SZ002506'), ('2015-12-02', 'SH600053'), ('2015-12-03', 'SH600053'), ('2015-12-04', 'SH600165'), ('2015-12-07', 'SZ002506'), ('2015-12-08', 'SH600053'), ('2015-12-09', 'SH600053'), ('2015-12-10', 'SZ002506'), ('2015-12-11', 'SZ002506'), ('2015-12-14', 'SZ002506'), ('2015-12-15', 'SZ002506'), ('2015-12-16', 'SZ300134'), ('2015-12-17', 'SZ002506'), ('2015-12-18', 'SZ002506'), ('2015-12-21', 'SZ002506'), ('2015-12-22', 'SZ002094'), ('2015-12-23', 'SZ000048'), ('2015-12-24', 'SZ000520'), ('2015-12-25', 'SZ002719'), ('2015-12-28', 'SZ000595'), ('2015-12-29', 'SZ000520'), ('2015-12-30', 'SZ002602')]",0.0209883020882538,0.03180806027631075
pair,2015_mean_dlinear_a01_y2015+timesnet_hbce_a01_y2015,2015,dlinear_a01_y2015+timesnet_hbce_a01_y2015,mean,243,0.0029982797498061273,0.06034181699218477,0.6394115594435942,"[('2015-01-05', 'SZ300250'), ('2015-01-06', 'SH600784'), ('2015-01-07', 'SH600381'), ('2015-01-08', 'SH600495'), ('2015-01-09', 'SZ002488'), ('2015-01-12', 'SZ300059'), ('2015-01-13', 'SZ300226'), ('2015-01-14', 'SH601766'), ('2015-01-15', 'SZ000008'), ('2015-01-16', 'SZ300139'), ('2015-01-19', 'SZ000631'), ('2015-01-20', 'SZ300224'), ('2015-01-21', 'SZ300085'), ('2015-01-22', 'SH600052'), ('2015-01-23', 'SH601766'), ('2015-01-26', 'SZ002496'), ('2015-01-27', 'SH601766'), ('2015-01-28', 'SZ300059'), ('2015-01-29', 'SZ000627'), ('2015-01-30', 'SH600381'), ('2015-02-02', 'SZ000627'), ('2015-02-03', 'SZ000627'), ('2015-02-04', 'SZ000627'), ('2015-02-05', 'SZ300011'), ('2015-02-06', 'SH601519'), ('2015-02-09', 'SZ000509'), ('2015-02-10', 'SH600381'), ('2015-02-11', 'SH601519'), ('2015-02-12', 'SH600381'), ('2015-02-13', 'SH601519'), ('2015-02-16', 'SH601519'), ('2015-02-17', 'SH600381'), ('2015-02-25', 'SH601519'), ('2015-02-26', 'SH601519'), ('2015-02-27', 'SZ000509'), ('2015-03-02', 'SZ000509'), ('2015-03-03', 'SZ002195'), ('2015-03-04', 'SH601519'), ('2015-03-05', 'SZ002195'), ('2015-03-06', 'SZ000626'), ('2015-03-09', 'SH600318'), ('2015-03-10', 'SZ000626'), ('2015-03-11', 'SH600829'), ('2015-03-12', 'SZ300081'), ('2015-03-13', 'SH600381'), ('2015-03-16', 'SZ300343'), ('2015-03-17', 'SZ002312'), ('2015-03-18', 'SZ300081'), ('2015-03-19', 'SZ002270'), ('2015-03-20', 'SH600661'), ('2015-03-23', 'SZ002312'), ('2015-03-24', 'SZ300013'), ('2015-03-25', 'SZ300081'), ('2015-03-26', 'SH600804'), ('2015-03-27', 'SZ300159'), ('2015-03-30', 'SZ300159'), ('2015-03-31', 'SZ300159'), ('2015-04-01', 'SZ300159'), ('2015-04-02', 'SZ300159'), ('2015-04-03', 'SZ002354'), ('2015-04-07', 'SZ002123'), ('2015-04-08', 'SZ300159'), ('2015-04-09', 'SZ300131'), ('2015-04-10', 'SZ002123'), ('2015-04-13', 'SZ300018'), ('2015-04-14', 'SZ300018'), ('2015-04-15', 'SZ300131'), ('2015-04-16', 'SZ002044'), ('2015-04-17', 'SZ002044'), ('2015-04-20', 'SZ002044'), ('2015-04-21', 'SZ002044'), ('2015-04-22', 'SZ002044'), ('2015-04-23', 'SZ002044'), ('2015-04-24', 'SZ002625'), ('2015-04-27', 'SZ002625'), ('2015-04-28', 'SH603003'), ('2015-04-29', 'SZ300059'), ('2015-04-30', 'SH603003'), ('2015-05-04', 'SZ300059'), ('2015-05-05', 'SZ002261'), ('2015-05-06', 'SZ002517'), ('2015-05-07', 'SZ000796'), ('2015-05-08', 'SZ002517'), ('2015-05-11', 'SZ002517'), ('2015-05-12', 'SZ300063'), ('2015-05-13', 'SZ300339'), ('2015-05-14', 'SZ000796'), ('2015-05-15', 'SZ002491'), ('2015-05-18', 'SZ002421'), ('2015-05-19', 'SZ300348'), ('2015-05-20', 'SZ002421'), ('2015-05-21', 'SZ300348'), ('2015-05-22', 'SZ002171'), ('2015-05-25', 'SZ002491'), ('2015-05-26', 'SZ002119'), ('2015-05-27', 'SZ002119'), ('2015-05-28', 'SZ002491'), ('2015-05-29', 'SZ000584'), ('2015-06-01', 'SZ000692'), ('2015-06-02', 'SZ000584'), ('2015-06-03', 'SZ002659'), ('2015-06-04', 'SH600076'), ('2015-06-05', 'SZ002349'), ('2015-06-08', 'SH600076'), ('2015-06-09', 'SH600076'), ('2015-06-10', 'SH600076'), ('2015-06-11', 'SZ002036'), ('2015-06-12', 'SZ002188'), ('2015-06-15', 'SZ002188'), ('2015-06-16', 'SZ002188'), ('2015-06-17', 'SZ002188'), ('2015-06-18', 'SZ000938'), ('2015-06-19', 'SZ000938'), ('2015-06-23', 'SZ000411'), ('2015-06-24', 'SZ300078'), ('2015-06-25', 'SZ300350'), ('2015-06-26', 'SZ000938'), ('2015-06-29', 'SZ300078'), ('2015-06-30', 'SZ002312'), ('2015-07-01', 'SZ300348'), ('2015-07-02', 'SZ300131'), ('2015-07-03', 'SZ002587'), ('2015-07-06', 'SZ300011'), ('2015-07-07', 'SZ300011'), ('2015-07-08', 'SZ300120'), ('2015-07-09', 'SH600070'), ('2015-07-10', 'SH600751'), ('2015-07-13', 'SH601058'), ('2015-07-14', 'SZ002055'), ('2015-07-15', 'SZ002520'), ('2015-07-16', 'SH600810'), ('2015-07-17', 'SH600810'), ('2015-07-20', 'SH600810'), ('2015-07-21', 'SZ002679'), ('2015-07-22', 'SH600727'), ('2015-07-23', 'SH600810'), ('2015-07-24', 'SZ300378'), ('2015-07-27', 'SH600727'), ('2015-07-28', 'SH600749'), ('2015-07-29', 'SH600165'), ('2015-07-30', 'SZ002587'), ('2015-07-31', 'SZ002723'), ('2015-08-03', 'SZ002723'), ('2015-08-04', 'SZ300248'), ('2015-08-05', 'SH600313'), ('2015-08-06', 'SZ300063'), ('2015-08-07', 'SZ002151'), ('2015-08-10', 'SH600052'), ('2015-08-11', 'SZ300232'), ('2015-08-12', 'SH600749'), ('2015-08-13', 'SZ002675'), ('2015-08-14', 'SZ300032'), ('2015-08-17', 'SZ002334'), ('2015-08-18', 'SZ002506'), ('2015-08-19', 'SZ002395'), ('2015-08-20', 'SZ002506'), ('2015-08-21', 'SZ002506'), ('2015-08-24', 'SZ300182'), ('2015-08-25', 'SZ002115'), ('2015-08-26', 'SZ300375'), ('2015-08-27', 'SZ002506'), ('2015-08-28', 'SZ300375'), ('2015-08-31', 'SZ002506'), ('2015-09-01', 'SH600730'), ('2015-09-02', 'SZ002506'), ('2015-09-07', 'SZ002506'), ('2015-09-08', 'SZ300363'), ('2015-09-09', 'SZ002506'), ('2015-09-10', 'SZ300385'), ('2015-09-11', 'SZ002027'), ('2015-09-14', 'SH600810'), ('2015-09-15', 'SH600052'), ('2015-09-16', 'SZ002261'), ('2015-09-17', 'SZ002506'), ('2015-09-18', 'SZ002517'), ('2015-09-21', 'SH600052'), ('2015-09-22', 'SZ300011'), ('2015-09-23', 'SZ000632'), ('2015-09-24', 'SZ300011'), ('2015-09-25', 'SZ002488'), ('2015-09-28', 'SZ002631'), ('2015-09-29', 'SZ300287'), ('2015-09-30', 'SH600191'), ('2015-10-08', 'SZ002111'), ('2015-10-09', 'SZ002506'), ('2015-10-12', 'SZ002506'), ('2015-10-13', 'SZ000025'), ('2015-10-14', 'SZ002030'), ('2015-10-15', 'SZ002617'), ('2015-10-16', 'SZ000426'), ('2015-10-19', 'SZ000426'), ('2015-10-20', 'SZ002474'), ('2015-10-21', 'SZ000571'), ('2015-10-22', 'SZ002445'), ('2015-10-23', 'SZ002506'), ('2015-10-26', 'SZ000676'), ('2015-10-27', 'SZ000676'), ('2015-10-28', 'SH600593'), ('2015-10-29', 'SZ002506'), ('2015-10-30', 'SZ002506'), ('2015-11-02', 'SZ000676'), ('2015-11-03', 'SZ000676'), ('2015-11-04', 'SZ300191'), ('2015-11-05', 'SZ000676'), ('2015-11-06', 'SZ002600'), ('2015-11-09', 'SZ002343'), ('2015-11-10', 'SZ002166'), ('2015-11-11', 'SZ002600'), ('2015-11-12', 'SZ002343'), ('2015-11-13', 'SZ002343'), ('2015-11-16', 'SZ000011'), ('2015-11-17', 'SZ002506'), ('2015-11-18', 'SZ300157'), ('2015-11-19', 'SZ002506'), ('2015-11-20', 'SZ002343'), ('2015-11-23', 'SH600226'), ('2015-11-24', 'SZ002343'), ('2015-11-25', 'SZ002506'), ('2015-11-26', 'SH600226'), ('2015-11-27', 'SZ000670'), ('2015-11-30', 'SZ002506'), ('2015-12-01', 'SZ002224'), ('2015-12-02', 'SH600053'), ('2015-12-03', 'SH600053'), ('2015-12-04', 'SH600165'), ('2015-12-07', 'SH600053'), ('2015-12-08', 'SH600053'), ('2015-12-09', 'SH600053'), ('2015-12-10', 'SZ002506'), ('2015-12-11', 'SZ002506'), ('2015-12-14', 'SZ002667'), ('2015-12-15', 'SZ002506'), ('2015-12-16', 'SZ002667'), ('2015-12-17', 'SZ002667'), ('2015-12-18', 'SZ002506'), ('2015-12-21', 'SZ002506'), ('2015-12-22', 'SZ002094'), ('2015-12-23', 'SZ000048'), ('2015-12-24', 'SZ000520'), ('2015-12-25', 'SZ002602'), ('2015-12-28', 'SZ002602'), ('2015-12-29', 'SZ000520'), ('2015-12-30', 'SZ002602')]",0.02316174867282773,0.025822103961564896
pair,2015_rank_mean_dlinear_a01_y2015+timesnet_hbce_a01_y2015,2015,dlinear_a01_y2015+timesnet_hbce_a01_y2015,rank_mean,243,0.0008995706231364884,-0.32320182864456093,0.20195681305065968,"[('2015-01-05', 'SZ300250'), ('2015-01-06', 'SH600155'), ('2015-01-07', 'SZ000680'), ('2015-01-08', 'SH600727'), ('2015-01-09', 'SH600495'), ('2015-01-12', 'SZ002673'), ('2015-01-13', 'SH600490'), ('2015-01-14', 'SH600458'), ('2015-01-15', 'SZ300296'), ('2015-01-16', 'SZ300220'), ('2015-01-19', 'SZ000736'), ('2015-01-20', 'SZ002496'), ('2015-01-21', 'SZ300380'), ('2015-01-22', 'SZ300029'), ('2015-01-23', 'SZ300290'), ('2015-01-26', 'SZ002240'), ('2015-01-27', 'SZ000779'), ('2015-01-28', 'SZ300059'), ('2015-01-29', 'SZ000547'), ('2015-01-30', 'SH600381'), ('2015-02-02', 'SZ002103'), ('2015-02-03', 'SH600490'), ('2015-02-04', 'SZ000627'), ('2015-02-05', 'SZ000059'), ('2015-02-06', 'SH600685'), ('2015-02-09', 'SZ000509'), ('2015-02-10', 'SH600381'), ('2015-02-11', 'SH600381'), ('2015-02-12', 'SH600381'), ('2015-02-13', 'SZ300221'), ('2015-02-16', 'SZ000786'), ('2015-02-17', 'SZ002657'), ('2015-02-25', 'SZ000728'), ('2015-02-26', 'SH600318'), ('2015-02-27', 'SZ000609'), ('2015-03-02', 'SH600381'), ('2015-03-03', 'SZ300085'), ('2015-03-04', 'SZ002084'), ('2015-03-05', 'SZ000728'), ('2015-03-06', 'SZ300380'), ('2015-03-09', 'SH600212'), ('2015-03-10', 'SH600571'), ('2015-03-11', 'SZ300109'), ('2015-03-12', 'SZ300380'), ('2015-03-13', 'SH600381'), ('2015-03-16', 'SH600753'), ('2015-03-17', 'SZ300109'), ('2015-03-18', 'SZ002208'), ('2015-03-19', 'SZ000892'), ('2015-03-20', 'SH600661'), ('2015-03-23', 'SH600095'), ('2015-03-24', 'SZ000615'), ('2015-03-25', 'SZ002439'), ('2015-03-26', 'SH600095'), ('2015-03-27', 'SZ002193'), ('2015-03-30', 'SZ300248'), ('2015-03-31', 'SH600423'), ('2015-04-01', 'SZ002657'), ('2015-04-02', 'SH600423'), ('2015-04-03', 'SZ002354'), ('2015-04-07', 'SZ300111'), ('2015-04-08', 'SZ002631'), ('2015-04-09', 'SZ002583'), ('2015-04-10', 'SH600552'), ('2015-04-13', 'SZ300168'), ('2015-04-14', 'SZ300131'), ('2015-04-15', 'SZ300131'), ('2015-04-16', 'SZ300140'), ('2015-04-17', 'SZ000899'), ('2015-04-20', 'SZ000721'), ('2015-04-21', 'SZ300073'), ('2015-04-22', 'SH601766'), ('2015-04-23', 'SH600380'), ('2015-04-24', 'SZ000078'), ('2015-04-27', 'SZ000517'), ('2015-04-28', 'SZ002625'), ('2015-04-29', 'SZ002625'), ('2015-04-30', 'SZ300353'), ('2015-05-04', 'SH600238'), ('2015-05-05', 'SZ002446'), ('2015-05-06', 'SH601012'), ('2015-05-07', 'SZ002675'), ('2015-05-08', 'SZ000889'), ('2015-05-11', 'SH600858'), ('2015-05-12', 'SZ300063'), ('2015-05-13', 'SZ300271'), ('2015-05-14', 'SZ300010'), ('2015-05-15', 'SZ000755'), ('2015-05-18', 'SZ300063'), ('2015-05-19', 'SZ300059'), ('2015-05-20', 'SH600560'), ('2015-05-21', 'SZ000555'), ('2015-05-22', 'SZ300383'), ('2015-05-25', 'SZ300248'), ('2015-05-26', 'SZ002169'), ('2015-05-27', 'SZ300314'), ('2015-05-28', 'SZ002491'), ('2015-05-29', 'SZ002426'), ('2015-06-01', 'SZ002119'), ('2015-06-02', 'SZ000638'), ('2015-06-03', 'SZ002513'), ('2015-06-04', 'SZ300233'), ('2015-06-05', 'SZ300032'), ('2015-06-08', 'SZ000717'), ('2015-06-09', 'SH600076'), ('2015-06-10', 'SH600076'), ('2015-06-11', 'SZ002349'), ('2015-06-12', 'SZ300383'), ('2015-06-15', 'SZ000722'), ('2015-06-16', 'SZ000603'), ('2015-06-17', 'SZ002356'), ('2015-06-18', 'SZ002517'), ('2015-06-19', 'SH600797'), ('2015-06-23', 'SZ300040'), ('2015-06-24', 'SZ300226'), ('2015-06-25', 'SZ300171'), ('2015-06-26', 'SH600599'), ('2015-06-29', 'SZ300242'), ('2015-06-30', 'SZ300242'), ('2015-07-01', 'SZ300248'), ('2015-07-02', 'SZ300131'), ('2015-07-03', 'SZ002679'), ('2015-07-06', 'SZ002380'), ('2015-07-07', 'SZ300159'), ('2015-07-08', 'SZ300354'), ('2015-07-09', 'SH600476'), ('2015-07-10', 'SZ300106'), ('2015-07-13', 'SZ300370'), ('2015-07-14', 'SZ002631'), ('2015-07-15', 'SZ300212'), ('2015-07-16', 'SZ300386'), ('2015-07-17', 'SZ000816'), ('2015-07-20', 'SH600070'), ('2015-07-21', 'SZ002679'), ('2015-07-22', 'SZ300066'), ('2015-07-23', 'SH600868'), ('2015-07-24', 'SH600727'), ('2015-07-27', 'SH600727'), ('2015-07-28', 'SZ300247'), ('2015-07-29', 'SZ300268'), ('2015-07-30', 'SZ000509'), ('2015-07-31', 'SZ300086'), ('2015-08-03', 'SH600728'), ('2015-08-04', 'SZ002342'), ('2015-08-05', 'SZ300063'), ('2015-08-06', 'SZ002322'), ('2015-08-07', 'SZ002686'), ('2015-08-10', 'SH600052'), ('2015-08-11', 'SZ300097'), ('2015-08-12', 'SZ000796'), ('2015-08-13', 'SZ000615'), ('2015-08-14', 'SZ300032'), ('2015-08-17', 'SZ000560'), ('2015-08-18', 'SZ002506'), ('2015-08-19', 'SZ002024'), ('2015-08-20', 'SZ002130'), ('2015-08-21', 'SZ002506'), ('2015-08-24', 'SZ300182'), ('2015-08-25', 'SZ300188'), ('2015-08-26', 'SZ300375'), ('2015-08-27', 'SZ300302'), ('2015-08-28', 'SZ002446'), ('2015-08-31', 'SZ002506'), ('2015-09-01', 'SH600730'), ('2015-09-02', 'SZ002506'), ('2015-09-07', 'SH600381'), ('2015-09-08', 'SZ000628'), ('2015-09-09', 'SZ300363'), ('2015-09-10', 'SZ300385'), ('2015-09-11', 'SZ002410'), ('2015-09-14', 'SZ300350'), ('2015-09-15', 'SH600052'), ('2015-09-16', 'SH600571'), ('2015-09-17', 'SZ002651'), ('2015-09-18', 'SH600359'), ('2015-09-21', 'SZ002076'), ('2015-09-22', 'SZ300011'), ('2015-09-23', 'SZ002279'), ('2015-09-24', 'SZ300011'), ('2015-09-25', 'SZ002488'), ('2015-09-28', 'SZ002373'), ('2015-09-29', 'SZ000615'), ('2015-09-30', 'SH600191'), ('2015-10-08', 'SZ002631'), ('2015-10-09', 'SZ300184'), ('2015-10-12', 'SH600576'), ('2015-10-13', 'SZ002589'), ('2015-10-14', 'SZ002036'), ('2015-10-15', 'SH600731'), ('2015-10-16', 'SZ300353'), ('2015-10-19', 'SZ002114'), ('2015-10-20', 'SZ300141'), ('2015-10-21', 'SZ000571'), ('2015-10-22', 'SZ002445'), ('2015-10-23', 'SH600391'), ('2015-10-26', 'SH600599'), ('2015-10-27', 'SZ300096'), ('2015-10-28', 'SH600593'), ('2015-10-29', 'SZ002506'), ('2015-10-30', 'SZ002506'), ('2015-11-02', 'SH600604'), ('2015-11-03', 'SZ300101'), ('2015-11-04', 'SZ000938'), ('2015-11-05', 'SZ300191'), ('2015-11-06', 'SH600754'), ('2015-11-09', 'SH600661'), ('2015-11-10', 'SZ002166'), ('2015-11-11', 'SZ002149'), ('2015-11-12', 'SZ000567'), ('2015-11-13', 'SH600587'), ('2015-11-16', 'SH600243'), ('2015-11-17', 'SZ300109'), ('2015-11-18', 'SZ300157'), ('2015-11-19', 'SZ002301'), ('2015-11-20', 'SZ000670'), ('2015-11-23', 'SH600610'), ('2015-11-24', 'SZ300010'), ('2015-11-25', 'SH600610'), ('2015-11-26', 'SZ300010'), ('2015-11-27', 'SH600610'), ('2015-11-30', 'SZ000812'), ('2015-12-01', 'SZ000670'), ('2015-12-02', 'SZ002072'), ('2015-12-03', 'SH600392'), ('2015-12-04', 'SZ002301'), ('2015-12-07', 'SH600303'), ('2015-12-08', 'SH600338'), ('2015-12-09', 'SH600338'), ('2015-12-10', 'SH603128'), ('2015-12-11', 'SZ300288'), ('2015-12-14', 'SH603128'), ('2015-12-15', 'SH600666'), ('2015-12-16', 'SH600094'), ('2015-12-17', 'SZ300093'), ('2015-12-18', 'SH600110'), ('2015-12-21', 'SZ002629'), ('2015-12-22', 'SZ002094'), ('2015-12-23', 'SH600745'), ('2015-12-24', 'SZ000520'), ('2015-12-25', 'SZ002719'), ('2015-12-28', 'SZ002642'), ('2015-12-29', 'SZ000520'), ('2015-12-30', 'SZ300020')]",0.021708169471872978,0.030868063453686666
