date,n,n_tradable,top1_code,top1_true,top1_pred_gap,best_true_all,best_true_tradable,regret_vs_best_tradable,top3_mean,top5_mean,score_std,score_max_prob,score_entropy,hit_top1_in_true10,hit_top1_in_true20,overlap_pred10_true10,overlap_pred10_true20,overlap_pred20_true10,overlap_pred20_true20
2025-01-02,2816,2815,SZ000759,-0.22204587,0.002188299999999921,0.21021126,0.21021126,0.43225713,-0.071028298,-0.0988624868,0.0045968708532262365,0.0003647192707623108,7.943062108786323,0,0,1,1,1,1
2025-01-03,2816,2814,SH600693,-0.14428881,0.007187359999999976,0.2352438,0.2352438,0.37953261,-0.12162505,-0.13763891,0.004934019810239241,0.00036703186837186257,7.94306049520968,0,0,0,0,1,1
2025-01-06,2815,2812,SZ002184,0.13788188,0.0008497899999999614,0.259366,0.259366,0.12148411999999997,0.02088734,0.0255105268,0.005425915322146424,0.00036452816930101974,7.942702772638534,0,1,1,2,2,3
2025-01-07,2815,2812,SH603007,-0.015765384,0.0035574999999999912,0.268431,0.268431,0.28419638399999997,0.09642812333333332,0.07893019199999998,0.00574974643663284,0.00036506113395768215,7.942700951245856,0,0,1,2,1,2
2025-01-08,2813,2809,SZ002184,-0.06371369,0.004335500000000048,0.21383102,0.21383102,0.27754471000000003,-0.09672361333333335,-0.062993202,0.005075215984701664,0.0003659451731833188,7.941993874994788,0,0,0,0,0,1
2025-01-09,2812,2810,SZ000573,0.06213018,0.001134659999999954,0.17037037,0.17037037,0.10824018999999999,-0.11318507133333333,-0.111689632,0.005526217973480109,0.0003659048588414155,7.9416359290690455,0,0,0,0,1,1
2025-01-10,2806,2806,SH600858,0.060576294,0.0031639500000000265,0.22695035,0.22695035,0.166374056,0.012050724666666665,0.031413814799999995,0.005765113279635423,0.000367350151276496,7.939498581647934,0,0,0,1,1,2
2025-01-13,2801,2800,SZ002571,-0.06126482,0.0009156399999999953,0.321513,0.321513,0.38277782,0.038639134,0.0621485284,0.0052581151073446564,0.0003663494268735184,7.937717902179093,0,0,1,3,1,4
2025-01-14,2802,2801,SZ000820,-0.010512483,9.273999999992455e-05,0.21091582,0.21091582,0.221428303,-0.034801284333333335,0.000932793400000001,0.005546485140518717,0.0003662673528371324,7.938073300467847,0,0,1,1,1,1
2025-01-15,2796,2795,SH600156,-0.0053003533,2.9500000000015625e-05,0.1855346,0.1855346,0.1908349533,-0.0023713254333333337,-0.00478476146,0.005339175116299724,0.0003662460677090893,7.935930801690434,0,0,0,0,1,2
2025-01-16,2794,2794,SZ002917,0.07891276,0.0010621000000000658,0.21182728,0.21182728,0.13291452,0.027022644133333332,0.04052685148,0.005644369807615793,0.0003680149873415323,7.935213555355311,0,0,0,1,0,1
2025-01-17,2794,2793,SH603177,-0.18656716,0.0011132999999999837,0.23642612,0.23642612,0.42299328,-0.11393742333333333,-0.064262407,0.005379747008277406,0.0003690471686467786,7.935215011314091,0,0,0,0,0,1
2025-01-20,2794,2793,SH600076,-0.05226481,0.0005071100000000328,0.17252111,0.17252111,0.22478592,-0.04543745700000001,-0.0634981082,0.005296746568442554,0.00036751361809233033,7.935215470372578,0,0,1,1,1,1
2025-01-21,2784,2783,SZ002730,0.13780987,0.001538029999999968,0.2795367,0.2795367,0.14172683000000003,0.11460571833333334,0.04850995240000001,0.005075157840279938,0.00037024049092798325,7.931631098717318,1,1,3,3,3,4
2025-01-22,2782,2780,SH600076,0.015873017,0.00181180000000003,0.19532324,0.19532324,0.17945022300000002,-0.097572391,-0.0721229266,0.004908373258096741,0.0003701437876113191,7.93091328493201,0,0,0,1,3,5
2025-01-23,2785,2785,SH600076,-0.015625,9.9200000000077e-05,0.21381268,0.21381268,0.22943768,0.0034761946666666634,0.027061902199999998,0.004992032248487054,0.0003704781309027832,7.931990642851722,0,0,0,1,0,1
2025-01-24,2783,2781,SZ000856,-0.010513546,0.00024210000000002285,0.20379147,0.20379147,0.21430501600000001,0.007315571999999999,-0.011905206800000002,0.004659067269051052,0.00036885172585647183,7.931273865777701,0,0,1,1,1,1
2025-01-27,2786,2784,SZ000856,-0.10993053,0.007501250000000015,0.20375247,0.20375247,0.313683,-0.056991712666666666,-0.028106947599999998,0.004891241010594635,0.00037284605981575985,7.932350149008714,0,0,1,1,1,1
2025-02-05,2784,2782,SH600076,0.030303031,0.0005365000000000508,0.24803665,0.24803665,0.217733619,0.043697538333333334,0.0304523732,0.004673667218037206,0.00036971196488302645,7.931633063794487,0,0,0,0,1,1
2025-02-06,2781,2780,SH600076,0.113970585,0.0028364499999999904,0.21101178,0.21101178,0.09704119500000001,0.08818268600000001,0.05447656320000001,0.004801007879216716,0.00036973186711394433,7.930554290589731,0,0,0,0,1,2
2025-02-07,2785,2781,SH600076,0.07920792,0.004025660000000042,0.21157786,0.21157786,0.13236994000000002,0.011505216666666667,0.014378524999999998,0.005173796776981205,0.0003704624285897991,7.931989723082301,0,0,0,0,0,1
2025-02-10,2785,2781,SH600076,-0.048929665,0.0005988500000000396,0.19823031,0.19823031,0.24715997499999998,-0.03658766633333333,-0.0435141986,0.005475080733137299,0.00036895294906357277,7.93198811495574,0,0,1,1,1,1
