date,n,n_tradable,top1_code,top1_true,top1_pred_gap,best_true_all,best_true_tradable,regret_vs_best_tradable,top3_mean,top5_mean,score_std,score_max_prob,score_entropy,hit_top1_in_true10,hit_top1_in_true20,overlap_pred10_true10,overlap_pred10_true20,overlap_pred20_true10,overlap_pred20_true20
2024-01-02,2783,2782,SZ000692,-0.033707865,0.0033924499999999913,0.20687538,0.20687538,0.240583245,-0.043487834,-0.019024177800000003,0.003311008358846898,0.0003674270948618094,7.931279263851168,0,0,0,0,0,0
2024-01-03,2788,2787,SH603333,-0.1029106,0.0018272999999999762,0.20669056,0.20669056,0.30960116,-0.03802169666666667,-0.0378278698,0.0032802361001801534,0.00036600703732422445,7.933074374659425,0,0,0,1,0,1
2024-01-04,2787,2787,SZ000820,-0.20454545,0.001211540000000011,0.22803836,0.22803836,0.43258381,-0.11384243166666667,-0.07193793770000001,0.0033194149700607445,0.00036588570032435703,7.932715502502475,0,0,0,1,1,2
2024-01-05,2791,2790,SZ000820,-0.05595238,0.002771500000000038,0.19753498,0.19753498,0.25348736,0.0023389366666666613,0.03852665279999999,0.0032404825886462696,0.0003661966866359646,7.934149969875198,0,0,2,2,2,2
2024-01-08,2792,2792,SH603099,0.0984764,0.001699460000000097,0.20354523,0.20354523,0.10506882999999999,0.023285554333333333,0.0429660552,0.003087263679966671,0.00036493567764769923,7.934508683826329,0,0,0,1,0,1
2024-01-09,2787,2787,SH600198,-0.16867469,0.008646429999999983,0.1949918,0.1949918,0.36366648999999995,0.0034953243333333364,-0.013413970639999998,0.0031514252579575735,0.0003685767789056324,7.932716047000744,0,0,2,2,2,3
2024-01-10,2788,2786,SH603099,-0.06755895,0.0003468600000000599,0.19764508,0.19764508,0.26520403000000004,0.018272338,0.004353105199999999,0.0032198826796881724,0.0003651020313315459,7.933074572321502,0,0,0,1,1,3
2024-01-11,2788,2787,SH600744,0.3815029,0.0017812799999999962,0.3815029,0.3815029,0.0,0.041500543333333334,0.041227508,0.0032129001223058823,0.0003660634120442939,7.933074593411634,1,1,2,3,3,4
2024-01-12,2787,2786,SH600744,-0.09874477,0.002784310000000012,0.20607029,0.20607029,0.30481505999999997,0.057041911333333334,0.033324964,0.003330282055444208,0.0003671952377823493,7.932715465287018,0,0,2,2,3,3
2024-01-15,2787,2786,SH600744,-0.070566386,0.004929779999999995,0.21861087,0.21861087,0.289177256,0.01567770133333334,0.0031121210000000037,0.003237077650777898,0.00036855085754096173,7.932715769232917,0,0,1,3,1,3
2024-01-16,2791,2791,SZ000017,0.069424964,0.0002676400000000134,0.2798574,0.2798574,0.21043243599999997,-0.005752499333333332,-0.07061821559999999,0.003245413767697675,0.0003651632323553772,7.934149951854788,0,1,0,1,0,2
2024-01-17,2792,2791,SZ000017,0.050163936,0.0042016000000000275,0.23047318,0.23047318,0.180309244,-0.008065946333333332,-0.0109530348,0.0031872902165740774,0.0003665557629197123,7.934508368602756,0,0,0,1,2,3
2024-01-18,2806,2805,SZ000017,0.1539182,0.007821540000000016,0.17290322,0.17290322,0.01898501999999999,-0.004323365333333329,-0.0725810832,0.003125950223225144,0.0003671720759731023,7.939510359778195,1,1,2,3,2,3
2024-01-19,2803,2802,SZ000017,0.13041125,0.003079639999999939,0.20972973,0.20972973,0.07931848,-0.03552464333333333,-0.059498285399999996,0.003218034901062782,0.0003642304251414695,7.9384403586834225,1,1,2,2,2,2
2024-01-22,2813,2812,SH600198,0.08791209,0.004002869999999992,0.2071066,0.2071066,0.11919451,-0.01984923166666667,-0.0378957511,0.0033885445786482065,0.0003637231388388941,7.942001062484419,0,0,0,0,0,0
2024-01-23,2817,2816,SH603958,0.14819351,0.001963300000000001,0.28027868,0.28027868,0.13208517,0.060623516666666676,0.03985803240000001,0.0035072258397370534,0.00036461522464579555,7.943421606004758,1,1,2,2,2,2
2024-01-24,2822,2819,SH600198,0.2139535,0.0054203400000000235,0.21882352,0.21882352,0.004870020000000003,0.13127085833333332,0.10112431020000001,0.0037435237176260514,0.000363428751329112,7.945194116753584,1,1,1,1,1,1
2024-01-25,2822,2820,SH600198,0.07279693,0.012268900000000027,0.2113276,0.2113276,0.13853067000000002,-0.0009834356666666665,-0.0186443106,0.0038841446802785552,0.00036572515971650116,7.945193576507487,0,0,0,1,1,2
2024-01-26,2824,2824,SH600198,-0.14285715,0.0021742299999999437,0.19125684,0.19125684,0.33411398999999997,-0.13523006666666668,-0.09314358860000001,0.003904443811993909,0.0003631492892503694,7.945901956010463,0,0,1,1,2,4
2024-01-29,2823,2822,SH600198,-0.20833333,0.006393670000000018,0.19202393,0.19202393,0.40035726000000005,-0.11321569666666668,-0.04872258480000001,0.0035385289072439752,0.0003629609099639712,7.945549151333299,0,0,1,1,1,2
2024-01-30,2822,2821,SH600198,-0.23157895,0.003933400000000087,0.19472362,0.19472362,0.42630257,-0.17558665866666667,-0.1461059792,0.003430381051673781,0.00036320198034227124,7.945195234473026,0,0,1,1,1,3
2024-01-31,2822,2822,SZ000889,-0.15714286,0.0015417999999999266,0.24152543,0.24152543,0.39866829000000004,-0.11780754666666667,-0.08981587399999999,0.0040158800029493685,0.000365831026028843,7.945193052739816,0,0,0,0,0,0
2024-02-01,2823,2822,SH600198,-0.030534351,0.014013439999999933,0.14691943,0.14691943,0.17745378099999998,-0.156532847,-0.1603751022,0.0041484324961556214,0.0003664930350563602,7.945546806959641,0,0,0,1,0,1
2024-02-02,2825,2825,SH600198,-0.48818898,0.015827099999999983,0.13191573,0.13191573,0.62010471,-0.39572039,-0.369652266,0.005252547425230879,0.00037139347977937863,7.946249811315761,0,0,0,0,0,0
2024-02-05,2824,2823,SH600744,0.17028986,0.009834260000000095,0.27464157,0.27464157,0.10435171000000001,0.09960818666666667,0.0713368532,0.00560262511421262,0.00037375186241067973,7.945893846456418,0,1,0,1,3,4
2024-02-06,2828,2828,SH600076,-0.1865285,0.0060652300000000325,0.23489477,0.23489477,0.42142327,-0.13009603333333333,-0.13242657260000001,0.005651258383621611,0.000371569624248224,7.947309012465561,0,0,0,0,1,1
2024-02-07,2833,2831,SH600076,0.24840765,0.009323100000000029,1.6875,1.6875,1.43909235,0.81240437,0.651213712,0.006500549951794545,0.00037792751537911944,7.949070220967238,0,1,7,8,8,12
2024-02-08,2835,2831,SH600198,0.13953489,0.006930459999999972,0.20721312,0.20721312,0.06767823,0.13196556666666667,0.11967646000000001,0.006626654193845149,0.00036979473218840735,7.949775194795848,0,1,1,2,1,2
2024-02-19,2836,2834,SH600076,0.055555556,0.004102260000000024,0.2257251,0.2257251,0.170169544,-0.006424791333333335,0.015296480699999998,0.006614839201626201,0.0003666649725069069,7.95012795207869,0,0,1,1,1,1
2024-02-20,2835,2833,SZ000889,0.11574074,0.005153230000000009,0.2571304,0.2571304,0.14138965999999997,0.10136085533333333,0.10523334840000001,0.006075058168523715,0.00036521765849484273,7.949778701946682,0,0,1,2,2,3
2024-02-21,2837,2835,SH600076,0.014925373,0.003166800000000025,0.205298,0.205298,0.19037262700000002,0.04090703066666667,0.0608978644,0.006199341820394335,0.00036389038167913487,7.9504831624942724,0,0,2,2,2,2
2024-02-22,2837,2832,SH600198,0.2747253,0.0027514399999999384,0.2747253,0.2747253,0.0,0.15916854166666666,0.141213539,0.005422667550599701,0.0003627319125130032,7.950487689252643,1,1,2,2,3,4
2024-02-23,2836,2833,SH600198,-0.06465517,6.344999999996492e-05,0.22778167,0.22778167,0.29243684,-0.006795764,-0.003882373800000001,0.005515554530218577,0.00036127313009015003,7.950134641793172,0,0,0,0,0,0
2024-02-26,2839,2838,SH600198,0.22119816,0.00017169999999999686,0.3043478,0.3043478,0.08314964,0.24987078333333335,0.17545026000000002,0.0055469367390875435,0.0003604275203264845,7.951191745352018,1,1,3,3,5,6
