month,top1_mean,top3_mean,top5_mean,hit20,regret,max_prob
2024-01,-0.006173622772727275,-0.020826562196969697,-0.022076814292727273,0.2727272727272727,0.22760704095454545,0.0003655317041320117
2024-02,0.02777744653333333,0.05108923488888888,0.037304529180000004,0.3333333333333333,0.2994898108,0.0003661959738828192
2024-03,-0.034338933,-0.008456863377777778,-0.01003768666952381,0.09523809523809523,0.2842868396666667,0.0003633796476163572
2024-04,0.4107940538,0.12610952260833333,0.06758887347,0.35,0.23446191170000003,0.00036895746642168486
2024-05,0.008346757350000001,-0.0051283228333333306,-0.017293910125,0.3,0.21455224914999999,0.0003679397697845968
2024-06,0.016523928894736844,0.05786340263157894,0.03350063189473684,0.3157894736842105,0.38029458689473683,0.00038757316254453165
2024-07,0.023880104000000003,0.025439784028985505,0.029996009521739135,0.43478260869565216,0.36373975556521737,0.00042451364885190515
2024-08,0.005526979454545453,0.013225417136363634,0.01585273061363636,0.13636363636363635,0.3100236587272727,0.0004290039541223398
2024-09,0.021339371894736846,0.03913119791228071,0.06036923624947368,0.3684210526315789,0.4786113631578947,0.0004282563510548255
2024-10,0.15708468972222223,0.06550296701851852,0.06396775038333333,0.3888888888888889,0.31393539916666663,0.0003672308990537265
2024-11,0.031160122666666668,-0.0030034559365079362,-0.005906948852380957,0.23809523809523808,0.23409520161904762,0.00036164587162830947
2024-12,-0.040650026457142864,-0.04745096329523809,-0.030071427107619047,0.14285714285714285,0.30201536502857146,0.00036160229489502364
