strategy,combo,size,variant_kind,variant_method,scenario,num_days,gross_mean_return,gross_cumulative_return,gross_sharpe,mean_return,cumulative_return,sharpe,switch_count,same_code_streak_days,avg_entry_cost_bps,avg_exit_cost_bps
itransformer+patchtst::combo::mean,itransformer+patchtst,2,combo,mean,base,2340,0.013230671652786114,-0.05978051109819349,0.7205085218944888,0.012577185042838234,-0.7937536012857169,0.6849920583262993,721,1618,2.4683760683760685,4.011111111111111
itransformer+timemixer::gated::gated_q50_left,itransformer+timemixer,2,gated,gated_q50_left,base,2340,0.01297135951547782,-0.9708589561692712,0.6595453125848345,0.012130732282980578,-0.9958360339628155,0.6173796323965887,925,1414,3.1658119658119657,5.144444444444445
itransformer+patchtst::gated::gated_q50_right,itransformer+patchtst,2,gated,gated_q50_right,base,2340,0.012940566223214437,-0.11032080827564295,0.7273747681070661,0.01235687778091858,-0.7696013054352302,0.6947993640469102,642,1697,2.1982905982905985,3.5722222222222224
itransformer+dlinear_a01::combo::mean,itransformer+dlinear_a01,2,combo,mean,base,2340,0.012929853513047007,3.4466093388226495,0.7146314053535965,0.011677294381246652,-0.757795511872814,0.6460822967893508,1384,955,4.735042735042735,7.694444444444445
"patchtst+wpmixer::weighted_rank::{""dominant"": ""patchtst"", ""weights"": [0.6, 0.4]}",patchtst+wpmixer,2,weighted_rank,"{""dominant"": ""patchtst"", ""weights"": [0.6, 0.4]}",base,2340,0.01292503809133906,-0.3540565366475137,0.7251827474593441,0.012425459933160975,-0.7949045668370347,0.6977538514481597,545,1794,1.8666666666666667,3.033333333333333
"itransformer+patchtst::weighted_rank::{""dominant"": ""patchtst"", ""weights"": [0.4, 0.6]}",itransformer+patchtst,2,weighted_rank,"{""dominant"": ""patchtst"", ""weights"": [0.4, 0.6]}",base,2340,0.012924359467738983,3.8938024623323253,0.7154375261854039,0.01226367017330241,0.05118296084766083,0.6788965845708119,731,1608,2.5025641025641026,4.066666666666666
itransformer+timesnet::selector::top1_gap,itransformer+timesnet,2,selector,top1_gap,base,2340,0.012822954540938406,-0.6655202663468549,0.699917013705406,0.01178733704143999,-0.969706182079153,0.6439617093886589,1142,1197,3.9076923076923076,6.35
itransformer+patchtst::combo::zscore_mean,itransformer+patchtst,2,combo,zscore_mean,base,2340,0.012791428007986256,-0.6542331257944678,0.6966448448785284,0.012157462597819848,-0.9207309727500779,0.6621812602941433,700,1639,2.3965811965811965,3.8944444444444444
itransformer+timesnet::combo::zscore_mean,itransformer+timesnet,2,combo,zscore_mean,base,2340,0.012764434067732413,0.33357170262670044,0.7013179954974208,0.011902532312042215,-0.8191971270765662,0.6545325551960459,950,1389,3.2512820512820513,5.283333333333333
"itransformer+timesnet::weighted_rank::{""dominant"": ""itransformer"", ""weights"": [0.6, 0.4]}",itransformer+timesnet,2,weighted_rank,"{""dominant"": ""itransformer"", ""weights"": [0.6, 0.4]}",base,2340,0.012631092964055846,0.6979859670328272,0.6951550899232557,0.011652297686093358,-0.8233372718716236,0.6418777060458133,1076,1263,3.682051282051282,5.983333333333333
"patchtst+wpmixer::weighted_rank::{""dominant"": ""wpmixer"", ""weights"": [0.4, 0.6]}",patchtst+wpmixer,2,weighted_rank,"{""dominant"": ""wpmixer"", ""weights"": [0.4, 0.6]}",base,2340,0.012611889469627527,-0.7922268998752959,0.7045955675339006,0.012092680258066802,-0.9375366663801304,0.675826306786065,571,1768,1.9555555555555555,3.1777777777777776
"wpmixer+timemixer::weighted_rank::{""dominant"": ""timemixer"", ""weights"": [0.4, 0.6]}",wpmixer+timemixer,2,weighted_rank,"{""dominant"": ""timemixer"", ""weights"": [0.4, 0.6]}",base,2340,0.01256081485302034,-0.9900772606458222,0.6392234366958011,0.011985324063918822,-0.9974140761075557,0.6100620681110548,639,1700,2.1880341880341883,3.5555555555555554
"itransformer+wpmixer::weighted_rank::{""dominant"": ""wpmixer"", ""weights"": [0.4, 0.6]}",itransformer+wpmixer,2,weighted_rank,"{""dominant"": ""wpmixer"", ""weights"": [0.4, 0.6]}",base,2340,0.012556349046192706,0.6364895285003807,0.692447860578787,0.011770737871733411,-0.7402583810930956,0.6491287655551337,875,1464,2.994871794871795,4.866666666666666
itransformer+wpmixer::combo::zscore_mean,itransformer+wpmixer,2,combo,zscore_mean,base,2340,0.012530441433532177,-0.540777545787825,0.6894431761350154,0.011845526099332229,-0.9071906406704783,0.6517849062158148,760,1579,2.601709401709402,4.227777777777778
itransformer+timemixer::gated::gated_q50_right,itransformer+timemixer,2,gated,gated_q50_right,base,2340,0.01252652460379226,-0.9913704407591163,0.6363244013220962,0.011892319177974243,-0.9980299206906186,0.6042472022790178,702,1637,2.4034188034188033,3.9055555555555554
patchtst+timemixer::gated::gated_q50_right,patchtst+timemixer,2,gated,gated_q50_right,base,2340,0.012523778524350654,-0.9941778460760672,0.6345270647818617,0.012019890934731084,-0.9982012022176465,0.6091433872043142,558,1781,1.9111111111111112,3.1055555555555556
patchtst+wpmixer::gated::gated_q50_left,patchtst+wpmixer,2,gated,gated_q50_left,base,2340,0.012468181080871414,-0.7571305957614372,0.6998673055590057,0.01198179952392342,-0.9205837023770649,0.673146388638052,531,1808,1.8188034188034188,2.9555555555555557
itransformer+timesnet::gated::gated_q50_left,itransformer+timesnet,2,gated,gated_q50_left,base,2340,0.012421213254380947,-0.8157884345646046,0.6795383447456292,0.011410296056462073,-0.9823420914312848,0.624787096765011,1115,1224,3.8153846153846156,6.2
itransformer+timesnet::gated::gated_q50_right,itransformer+timesnet,2,gated,gated_q50_right,base,2340,0.0123756651032647,-0.8971611669291154,0.6756676283451303,0.01128756839076331,-0.9917891171349981,0.6168035927777894,1202,1137,4.112820512820512,6.683333333333334
"patchtst+timemixer::weighted_rank::{""dominant"": ""patchtst"", ""weights"": [0.6, 0.4]}",patchtst+timemixer,2,weighted_rank,"{""dominant"": ""patchtst"", ""weights"": [0.6, 0.4]}",base,2340,0.01229530551042256,-0.7977867899329791,0.6905279531853007,0.011812944010587386,-0.9338779434802854,0.6636576198552213,531,1808,1.8188034188034188,2.9555555555555557
patchtst+wpmixer::combo::rank_mean,patchtst+wpmixer,2,combo,rank_mean,base,2340,0.012294052274706365,-0.8834108433022635,0.6888470274102123,0.01179530021803488,-0.9632912543867068,0.6611144904916575,549,1790,1.8803418803418803,3.0555555555555554
itransformer+timesnet::combo::mean,itransformer+timesnet,2,combo,mean,base,2340,0.0122789882787789,-0.575773389992039,0.6747094620412012,0.011403484861274417,-0.9443857011899957,0.6271473044808415,966,1373,3.305982905982906,5.372222222222222
patchtst+timemixer::gated::gated_q50_left,patchtst+timemixer,2,gated,gated_q50_left,base,2340,0.0122622730774957,-0.8860400953962964,0.6873668877623151,0.01178700186113893,-0.9617041487277926,0.661319433030579,518,1821,1.7743589743589743,2.8833333333333333
itransformer+timemixer::selector::top1_gap,itransformer+timemixer,2,selector,top1_gap,base,2340,0.012193384206910648,-0.9962569839811763,0.6194054146720888,0.011470258853169421,-0.9993059722587373,0.5828057383849722,801,1538,2.741880341880342,4.455555555555556
patchtst,patchtst,1,single,patchtst,base,2340,0.012151635418213945,-0.8686295444708665,0.6826012354047161,0.011725943694012067,-0.950549157678363,0.6592567300456832,464,1875,1.5897435897435896,2.5833333333333335
timemixer+dlinear_a01::combo::zscore_mean,timemixer+dlinear_a01,2,combo,zscore_mean,base,2340,0.012076284340692307,-0.17485852373105182,0.6621742016929594,0.01029515061745211,-0.9866573430966143,0.5654628879664644,1962,377,6.711111111111111,10.905555555555555
itransformer+wpmixer::combo::mean,itransformer+wpmixer,2,combo,mean,base,2340,0.012075441742805679,-0.8413636072546014,0.6644889024669591,0.011383146543305727,-0.9685399967985014,0.6264144584446436,769,1570,2.6324786324786325,4.277777777777778
itransformer+dlinear_a01::gated::gated_q50_left,itransformer+dlinear_a01,2,gated,gated_q50_left,base,2340,0.012002274818418802,-0.03788523842071467,0.6669271920725449,0.010789659364070862,-0.9427591428350666,0.6001699026484097,1342,997,4.591452991452991,7.461111111111111
itransformer+dlinear_a01::gated::gated_q50_right,itransformer+dlinear_a01,2,gated,gated_q50_right,base,2340,0.011981832596846155,195.4222518112591,0.7590239698297463,0.010406781154453213,4.063899554241548,0.6600520723346308,1740,599,5.952136752136752,9.672222222222222
wpmixer,wpmixer,1,single,wpmixer,base,2340,0.011961103823868967,-0.8721760056486974,0.6735832444570713,0.011293964928467723,-0.9730012247267983,0.6362252169359972,739,1600,2.52991452991453,4.111111111111111
timemixer+timesnet::combo::mean,timemixer+timesnet,2,combo,mean,base,2340,0.011915702514178108,-0.9806809564063925,0.6488760467023302,0.011112605802473488,-0.9970037630016886,0.6056645205617462,886,1453,3.0324786324786324,4.927777777777778
itransformer+dlinear_a01::combo::zscore_mean,itransformer+dlinear_a01,2,combo,zscore_mean,base,2340,0.011859061289598289,5.27918545166759,0.6619142458588638,0.010074142557667521,-0.8999471330910421,0.5632182098297618,1969,370,6.735042735042735,10.944444444444445
patchtst+wpmixer::combo::zscore_mean,patchtst+wpmixer,2,combo,zscore_mean,base,2340,0.011652427567753464,-0.9670357211674365,0.6538622411133472,0.011223930996160517,-0.9877469440048943,0.6300364403369053,470,1869,1.6102564102564103,2.6166666666666667
timemixer+timesnet::combo::zscore_mean,timemixer+timesnet,2,combo,zscore_mean,base,2340,0.011645670025709817,-0.9895838047071388,0.6342132097216441,0.010854462229758683,-0.9983397921013638,0.5916350617017049,873,1466,2.988034188034188,4.855555555555555
itransformer+wpmixer::gated::gated_q50_right,itransformer+wpmixer,2,gated,gated_q50_right,base,2340,0.011635605576947185,-0.9404130872785743,0.6556851384797863,0.010915090459139687,-0.9888815664888686,0.6152883145471478,798,1541,2.7316239316239317,4.438888888888889
